1	в том смысле что	2	3
2	в то же время	5	3
3	не что иное как	1	3
4	есть не что иное	1	2
5	не говоря уже о	1	2
6	не выходя за пределы	1	2
7	иметь в виду что	1	2
8	все более и более	1	1
9	то же и в	1	1
10	и в то же	3	1
11	в самом деле с	1	1
12	во что бы то	1	1
13	что бы то ни	1	1
14	и до сих пор	1	1
15	все новые и новые	1	1
16	с самого начала что	1	1
17	же в таком случае	1	1
18	и то и другое	2	1
19	в связи с этим	3	1
20	не в том что	1	1
21	сам по себе а	2	1
22	быть во что бы	1	1
23	бы то ни стало	1	1
