N	3gram	Nazirov_Tr_1	Morfolog
1	в этом случае	1	9
2	в связи с	1	8
3	не может быть	1	8
4	тем не менее	1	4
5	как и в	1	3
6	не могут быть	1	3
7	но все же	2	3
8	в том что	2	2
9	в обоих случаях	1	2
10	с того что	1	2
11	точно так же	2	2
12	с самого начала	1	1
13	в то же	5	1
14	к тому что	1	1
15	бросается в глаза	2	1
16	о том что	2	1
17	то что он	1	1
18	том что он	1	1
19	вместо того чтобы	1	1
20	она все же	1	1
21	то же время	5	1
22	в точности соответствует	1	1
23	в применении к	1	1
24	в третий раз	1	1
25	во всяком случае	1	1
26	в данном случае	2	1
