N	2gram	Nazirov_Tr_1	Freidism
1	таким образом	1	24
2	и не	7	23
3	не может	5	20
4	прежде всего	4	18
5	в этом	9	15
6	в его	3	15
7	с помощью	1	14
8	в душе	2	13
9	может быть	7	13
10	и его	6	12
11	все эти	3	11
12	как и	5	11
13	– в	1	11
14	как бы	7	11
15	то что	4	11
16	самом деле	1	10
17	но в	6	10
18	его в	2	10
19	с ним	3	10
20	как мы	1	10
21	так и	5	10
22	и потому	1	10
23	с его	2	9
24	во всех	1	9
25	и в	18	9
26	то же	5	8
27	не только	8	8
28	он не	2	8
29	в своей	1	8
30	еще не	4	8
31	что он	6	8
32	только в	1	8
33	все это	4	8
34	и все	4	8
35	в самом	2	7
36	отношение к	2	7
37	и наконец	1	7
38	ни в	2	7
39	к нему	3	7
40	один из	3	7
41	всяком случае	1	7
42	во всяком	1	7
43	в ней	1	6
44	за пределы	1	6
45	к смерти	1	6
46	так сказать	1	6
47	и с	7	6
48	и ее	2	6
49	того что	1	6
50	для него	3	6
51	никогда не	2	6
52	хотя бы	1	6
53	совершенно не	1	6
54	я и	1	5
55	и на	7	5
56	он сам	7	5
57	в чем	1	5
58	в этой	4	5
59	не в	2	5
60	в то	5	5
61	с сознанием	1	5
62	могут быть	1	5
63	но мы	1	5
64	по мнению	2	5
65	но и	4	5
66	в период	1	5
67	что в	4	5
68	и за	2	4
69	той же	1	4
70	в которой	1	4
71	я не	4	4
72	но не	1	4
73	все же	5	4
74	не было	1	4
75	в нем	4	4
76	на этом	1	4
77	при этом	3	4
78	об этом	4	4
79	не менее	1	4
80	же время	6	4
81	потому что	2	4
82	к тому	2	4
83	того чтобы	1	4
84	данном случае	2	4
85	с самого	1	4
86	с ними	1	4
87	уже не	2	4
88	в котором	1	4
89	и др	1	4
90	в данном	2	4
91	и о	1	4
92	в таком	2	4
93	человека и	1	3
94	и есть	1	3
95	на себя	1	3
96	он был	2	3
97	с отцом	1	3
98	в общем	1	3
99	как в	3	3
100	– но	1	3
101	и как	3	3
102	в себе	4	3
103	и вот	1	3
104	и по	1	3
105	что все	2	3
106	конечно в	1	3
107	отца и	2	3
108	очень важный	1	3
109	отцом и	2	3
110	тому что	1	3
111	самого начала	1	3
112	одна из	2	3
113	к себе	1	3
114	не могут	2	3
115	она не	1	3
116	с ее	3	3
117	и что	4	3
118	и она	1	3
119	человека с	1	3
120	у него	6	3
121	в них	1	3
122	ребенка в	2	3
123	на этот	1	3
124	о себе	1	3
125	вместе с	1	3
126	и от	1	3
127	но это	4	3
128	не является	1	3
129	это как	1	3
130	в голову	1	3
131	по поводу	2	3
132	ли мы	1	2
133	чтобы не	1	2
134	в такой	1	2
135	и то	2	2
136	это и	1	2
137	в первом	2	2
138	и до	2	2
139	высшей степени	1	2
140	объясняется и	1	2
141	откуда же	1	2
142	между собой	1	2
143	в ее	2	2
144	но как	1	2
145	отличие от	2	2
146	большое значение	1	2
147	значение для	1	2
148	всю эту	1	2
149	чем же	1	2
150	опирается на	1	2
151	в своем	3	2
152	что это	5	2
153	человек не	1	2
154	что она	2	2
155	но все	2	2
156	на всю	1	2
157	это было	1	2
158	это не	5	2
159	только о	2	2
160	этом мы	1	2
161	этого не	1	2
162	всю жизнь	1	2
163	которой он	1	2
164	на две	1	2
165	приходит в	1	2
166	том что	4	2
167	но если	1	2
168	и при	1	2
169	в отличие	2	2
170	как это	3	2
171	на работу	1	2
172	что с	3	2
173	и притом	1	2
174	только не	1	2
175	тем не	1	2
176	и теперь	1	2
177	является по	1	2
178	в области	1	2
179	в момент	1	2
180	что оно	1	2
181	образы и	1	2
182	в виду	1	2
183	роль в	1	2
184	вспомнить о	1	2
185	в глаза	2	2
186	стремление к	1	2
187	в прошлое	1	2
188	о нем	1	2
189	в другом	1	2
190	это желание	1	2
191	нуждается в	1	2
192	что и	2	2
193	в настоящей	1	2
194	всего этого	1	2
195	для ребенка	1	2
196	мы видим	1	2
197	даже если	2	2
198	с одной	1	2
199	на всем	2	2
200	уже в	3	2
201	только на	1	2
202	в конце	3	2
203	с этими	1	2
204	рядом с	1	2
205	и даже	4	2
206	в высшей	1	2
207	чем он	2	2
208	социальной жизни	1	2
209	до конца	2	2
210	ничем не	2	2
211	а не	1	2
212	так же	4	2
213	матери и	1	2
214	для понимания	1	2
215	в развитии	1	2
216	в основном	3	2
217	всех людей	1	2
218	это уже	2	2
219	в силах	2	2
220	для нас	1	2
221	конце концов	1	2
222	с сыном	1	2
223	из тех	1	2
224	шутки и	1	2
225	есть и	1	2
226	рот и	1	2
227	во сне	2	2
228	эта новая	1	1
229	ту же	1	1
230	но особенно	2	1
231	и т	1	1
232	одним из	1	1
233	всех видах	1	1
234	а из	1	1
235	за то	1	1
236	психика не	1	1
237	всему что	1	1
238	в мыслях	1	1
239	века в	1	1
240	намек на	1	1
241	а как	2	1
242	сильное впечатление	1	1
243	вопрос о	2	1
244	отцом является	1	1
245	поле в	1	1
246	ему в	1	1
247	в целом	4	1
248	но от	1	1
249	не способен	1	1
250	затем он	1	1
251	было до	1	1
252	не был	2	1
253	отказ от	1	1
254	силы и	1	1
255	в настоящем	1	1
256	к сожалению	1	1
257	в истории	1	1
258	как говорит	2	1
259	вызывает в	1	1
260	человеческой личности	2	1
261	в центре	1	1
262	эти образы	1	1
263	она даже	1	1
264	вот как	1	1
265	его поведения	1	1
266	это был	2	1
267	что когда	1	1
268	и хотя	1	1
269	но эта	2	1
270	бы и	2	1
271	говорили что	1	1
272	он в	1	1
273	бы не	1	1
274	это тот	1	1
275	протест против	1	1
276	общеизвестно что	1	1
277	только один	1	1
278	как он	1	1
279	если он	1	1
280	вообще не	1	1
281	идей и	1	1
282	по-видимому не	1	1
283	в переводе	1	1
284	перенес в	1	1
285	страдания и	1	1
286	теперь еще	1	1
287	а затем	1	1
288	им как	1	1
289	она находит	1	1
290	не нашел	1	1
291	ни разу	1	1
292	во многом	1	1
293	на свои	1	1
294	со своими	1	1
295	он и	2	1
296	с принципиальной	1	1
297	обратимся к	1	1
298	не мог	2	1
299	этом случае	1	1
300	наших дней	1	1
301	где мы	1	1
302	почти не	1	1
303	с больным	1	1
304	страсти я	1	1
305	не к	1	1
306	миф о	1	1
307	понятно что	1	1
308	душу и	1	1
309	в одном	2	1
310	умирает и	1	1
311	страха и	1	1
312	с такими	1	1
313	желание в	1	1
314	любовь к	1	1
315	называет его	1	1
316	раз и	2	1
317	так ли	1	1
318	это чувство	1	1
319	и должно	1	1
320	отметить что	1	1
321	друг друга	2	1
322	и непосредственного	1	1
323	словами о	1	1
324	на путях	1	1
325	это мы	1	1
326	ужас и	1	1
327	его речи	1	1
328	или как	1	1
329	к ней	1	1
330	она хочет	1	1
331	но теперь	1	1
332	что на	1	1
333	ли это	1	1
334	и далее	1	1
335	и здесь	2	1
336	больное место	1	1
337	его за	2	1
338	сходство с	1	1
339	его с	1	1
340	за что	1	1
341	всего что	1	1
342	в поле	3	1
343	по сравнению	1	1
344	как некое	1	1
345	своего отца	3	1
346	о том	2	1
347	и это	2	1
348	но при	2	1
349	на другой	1	1
350	в душу	1	1
351	мысль о	1	1
352	в дальнейшем	5	1
353	таком виде	1	1
354	и сам	3	1
355	в мире	3	1
356	на нее	1	1
357	больше в	1	1
358	отождествляется с	1	1
359	мог бы	3	1
360	с собой	1	1
361	в результате	1	1
362	жизнь и	3	1
363	в эпоху	1	1
364	своего происхождения	1	1
365	собою но	1	1
366	ничего не	2	1
367	похожим на	1	1
368	часто и	1	1
369	на все	1	1
370	то есть	3	1
371	взрослого человека	1	1
372	а также	1	1
373	самое сильное	1	1
374	под маской	1	1
375	после того	1	1
376	только за	1	1
377	в сфере	1	1
378	первый объект	1	1
379	нет это	1	1
380	при которой	1	1
381	русской литературы	2	1
382	ко всей	1	1
383	в форме	1	1
384	все время	1	1
385	о своих	1	1
386	у которого	1	1
387	одному человеку	1	1
388	был более	1	1
389	в третий	1	1
390	бросается в	2	1
391	в двух	1	1
392	оказалось что	1	1
393	согласиться с	1	1
394	дело с	1	1
395	он еще	1	1
396	своих прежних	1	1
397	во всем	1	1
398	который в	2	1
399	в обществе	1	1
