N	3gram	Tiupa_Hudo_1	formyVre
1	то же время	5	9
2	человека и его	1	7
3	в то же	5	6
4	и того же	2	5
5	одного и того	2	5
6	и в то	1	5
7	в связи с	1	5
8	для того чтобы	2	5
9	как раз в	1	4
10	в том числе	2	4
11	по отношению к	9	3
12	с самим собою	1	3
13	одно и то	3	3
14	не могло быть	2	3
15	не может быть	3	3
16	в то время	1	3
17	и то же	3	3
18	и в сущности	1	2
19	в этом мире	2	2
20	в соответствии с	1	2
21	с точки зрения	3	2
22	не было и	1	2
23	в отличие от	7	2
24	том числе и	1	2
25	с самим собой	1	2
26	и др в	1	2
27	так же как	1	2
28	с одной стороны	2	2
29	может быть и	2	2
30	все то что	1	2
31	жизни то есть	1	2
32	пространственных и временных	1	2
33	и прежде всего	1	2
34	той или иной	4	2
35	в том что	7	2
36	как и в	1	2
37	к тому же	1	2
38	примет в осмысленном	1	1
39	по своей природе	2	1
40	то есть для	1	1
41	раз в том	1	1
42	мы видим в	1	1
43	в той или	2	1
44	самим собою в	1	1
45	в данный момент	2	1
46	одном и том	1	1
47	в виду что	1	1
48	прежде всего в	1	1
49	друг другу и	1	1
50	имеем в виду	3	1
51	так и его	1	1
52	в осмысленном и	1	1
53	между собой в	1	1
54	одно из проявлений	1	1
55	не входит в	1	1
56	слияние пространственных и	1	1
57	но он не	2	1
58	автора и читателей	2	1
59	ни в мире	3	1
60	он ни был	1	1
61	и временных примет	1	1
62	и конкретном целом	1	1
63	в одном и	1	1
64	до известной степени	2	1
65	в значительной степени	1	1
66	осмысленном и конкретном	1	1
67	в особенности в	1	1
68	и со всеми	1	1
69	в самом начале	1	1
70	имеет место слияние	1	1
71	в основе его	1	1
72	и т.д эта	1	1
73	таким образом и	1	1
74	и том же	1	1
75	все без исключения	1	1
76	не могут быть	1	1
77	но и прежде	1	1
78	события частной жизни	1	1
79	для себя и	1	1
80	его то есть	1	1
81	временных примет в	1	1
82	и в том	1	1
83	том специфическом значении	1	1
84	было и не	1	1
85	внешних и внутренних	1	1
86	место в событии	1	1
87	в свою очередь	2	1
88	та или иная	1	1
89	в этом случае	1	1
90	о том что	1	1
91	никогда не бывает	1	1
92	и в самом	1	1
93	человека с самим	1	1
94	во времени и	1	1
95	себя только в	1	1
96	что он должен	1	1
97	место слияние пространственных	1	1
98	мы говорим о	1	1
99	хронотопе имеет место	1	1
100	мы имеем в	3	1
101	сама по себе	2	1
102	в том специфическом	1	1
103	и не могло	2	1
104	в своей жизни	1	1
