N	2gram	Propp_Russ_1	Sotsiolo
1	все это	6	7
2	в том	17	5
3	в этом	12	5
4	для нас	6	3
5	не только	22	3
6	и в	36	3
7	в его	2	3
8	как только	1	2
9	но и	16	2
10	и мы	1	2
11	было бы	1	2
12	к которому	1	2
13	исторического развития	1	2
14	должна быть	1	2
15	только в	4	2
16	дело не	1	2
17	далеко не	3	2
18	том что	19	2
19	в частности	2	2
20	как будто	5	2
21	то что	6	2
22	главным образом	2	2
23	и что	4	2
24	еще не	4	2
25	только как	1	2
26	таким образом	6	2
27	им не	1	2
28	отношению к	1	2
29	что в	19	2
30	может быть	8	2
31	как бы	5	2
32	по отношению	1	2
33	очевидно что	1	2
34	по существу	4	2
35	то же	3	2
36	что все	1	1
37	же не	2	1
38	противном случае	1	1
39	быть не	1	1
40	наконец в	1	1
41	так называемым	1	1
42	в этой	1	1
43	тому что	4	1
44	отнюдь не	2	1
45	и должны	1	1
46	какие же	2	1
47	которая должна	1	1
48	на все	2	1
49	ни одно	2	1
50	его в	1	1
51	только для	2	1
52	на определенных	1	1
53	с ним	2	1
54	это не	10	1
55	на этот	3	1
56	в чем	1	1
57	все же	5	1
58	в противном	1	1
59	один из	8	1
60	перед нами	1	1
61	в то	1	1
62	хотелось бы	1	1
63	тем же	1	1
64	и наконец	1	1
65	еще и	1	1
66	а с	4	1
67	тем что	4	1
68	и как	2	1
69	всего не	1	1
70	что эти	1	1
71	будто говорит	1	1
72	что он	1	1
73	в них	6	1
74	так и	7	1
75	не было	2	1
76	те же	1	1
77	и не	6	1
78	в любой	1	1
79	полагает что	6	1
80	на тех	2	1
81	на основании	1	1
82	мы не	6	1
83	это как	1	1
84	со своими	1	1
85	ничего не	3	1
86	мы еще	1	1
87	и о	1	1
88	связь между	2	1
89	все эти	2	1
90	как и	10	1
91	между собой	2	1
92	или нет	1	1
93	для этого	2	1
94	этом не	1	1
95	в настоящее	3	1
96	мы должны	2	1
97	их на	4	1
98	в труде	1	1
99	но она	2	1
100	в связи	4	1
101	и его	1	1
102	в этих	3	1
103	место в	1	1
104	связи с	4	1
105	утверждение будто	1	1
106	дерево или	1	1
107	или не	1	1
108	в целом	2	1
109	для наших	2	1
110	не может	4	1
111	только тогда	1	1
112	а в	9	1
113	должны служить	1	1
114	что она	2	1
115	можно будет	1	1
116	о том	8	1
117	не дает	1	1
118	в области	3	1
119	к изучению	1	1
120	и потому	2	1
121	настоящее время	3	1
122	представить себе	1	1
123	никак не	1	1
124	между ними	1	1
125	на что	2	1
126	всяком случае	1	1
127	собой не	1	1
128	в силу	2	1
129	в область	1	1
130	должно было	2	1
131	не без	1	1
132	что это	3	1
133	у которых	2	1
134	ли не	1	1
135	может служить	1	1
136	в заключение	1	1
137	но не	2	1
138	у него	2	1
139	в виде	6	1
140	в данном	1	1
141	между тем	7	1
142	и по	8	1
143	что на	4	1
144	и более	2	1
145	и стало	1	1
146	нет его	1	1
147	во всяком	1	1
148	в каждом	2	1
149	они не	1	1
