N	2gram	Vinokur_Ku_2	Otkroven
1	у него	3	22
2	и в	23	19
3	у достоевского	1	19
4	но и	7	13
5	и не	16	13
6	в этом	18	12
7	не в	8	11
8	не только	20	11
9	может быть	15	11
10	а не	10	11
11	вопрос о	9	10
12	в нем	4	10
13	и все	2	10
14	в самой	2	9
15	прежде всего	8	9
16	не было	4	9
17	никогда не	2	9
18	потому что	25	9
19	он был	1	8
20	и он	1	8
21	в его	5	7
22	он не	3	7
23	лишь в	5	7
24	до конца	3	7
25	но он	1	7
26	как и	2	6
27	все это	5	6
28	отношение к	1	5
29	в том	19	5
30	в самом	12	5
31	в этой	6	5
32	для него	1	5
33	достоевского и	2	5
34	а в	3	5
35	то что	9	5
36	с его	1	4
37	все эти	12	4
38	его мысли	1	4
39	что не	6	4
40	не может	9	4
41	т е	22	4
42	того чтобы	11	4
43	и его	3	4
44	что в	10	4
45	и есть	2	3
46	различие между	3	3
47	быть может	1	3
48	о том	1	3
49	еще не	5	3
50	к нему	2	3
51	было бы	15	3
52	того что	3	3
53	когда он	1	3
54	что он	5	3
55	в себе	1	3
56	о природе	1	3
57	и вот	5	3
58	не могут	5	3
59	для того	9	3
60	это не	6	3
61	могут быть	4	3
62	как бы	4	3
63	и от	2	3
64	в этих	1	3
65	хотя бы	9	3
66	в своих	2	3
67	и с	7	2
68	те которые	1	2
69	и то	5	2
70	в ее	1	2
71	на западе	1	2
72	что у	2	2
73	так и	4	2
74	и о	4	2
75	по себе	10	2
76	вместо того	1	2
77	их не	2	2
78	и на	6	2
79	не все	3	2
80	что и	3	2
81	что они	2	2
82	как к	1	2
83	в своем	2	2
84	все же	7	2
85	и к	1	2
86	не очень	1	2
87	и потому	2	2
88	должен был	1	2
89	в которой	1	2
90	в уста	1	2
91	так что	1	2
92	уже в	3	2
93	что для	2	2
94	одно из	1	2
95	же это	1	2
96	ведь это	1	2
97	так как	15	2
98	и никогда	1	2
99	тем что	3	2
100	в других	1	2
101	даже и	2	2
102	в другом	2	2
103	одного только	1	2
104	сказать что	4	2
105	с тем	2	2
106	чем в	3	2
107	должно быть	4	2
108	подойти к	1	2
109	том что	11	2
110	что есть	1	2
111	для всякого	1	2
112	к этому	4	2
113	что же	5	2
114	и там	1	2
115	то к	1	2
116	можно ли	4	2
117	ничего кроме	1	2
118	не имеет	4	2
119	и для	2	2
120	ничего не	4	2
121	ли сказать	1	2
122	не есть	1	2
123	в своей	2	2
124	что все	5	2
125	всего в	3	2
126	к этой	3	2
127	хотя и	4	2
128	все еще	1	2
129	но в	11	2
130	всегда в	1	1
131	смысле слова	2	1
132	народ в	1	1
133	и это	3	1
134	отношения к	2	1
135	в обычном	2	1
136	также и	5	1
137	чтобы не	2	1
138	дело что	1	1
139	в виду	3	1
140	сам по	1	1
141	совершенно новый	1	1
142	все возможности	1	1
143	на самом	2	1
144	с каким	1	1
145	характер и	2	1
146	тем же	2	1
147	уже с	1	1
148	это для	1	1
149	и до	2	1
150	должна быть	5	1
151	и когда	1	1
152	природе своей	1	1
153	можно было	9	1
154	имею в	1	1
155	к чему	1	1
156	из всех	1	1
157	не с	1	1
158	есть не	1	1
159	по природе	1	1
160	которая была	1	1
161	мы не	1	1
162	ту же	6	1
163	уверен что	1	1
164	представляется мне	1	1
165	по сравнению	2	1
166	связан с	1	1
167	в первый	3	1
168	если бы	12	1
169	в эпоху	1	1
170	в сущности	9	1
171	но может	1	1
172	толстого как	1	1
173	находится в	1	1
174	бы даже	1	1
175	себе что	1	1
176	это я	1	1
177	не исчезнет	1	1
178	в ней	3	1
179	на примере	2	1
180	и что	8	1
181	почему же	1	1
182	не стоит	1	1
183	в руководстве	1	1
184	после того	2	1
185	вот это-то	1	1
186	с того	1	1
187	все его	1	1
188	не приходит	1	1
189	вопросу о	3	1
190	самом деле	9	1
191	иных случаях	1	1
192	которого не	1	1
193	но не	6	1
194	которых в	1	1
195	то он	1	1
196	в противоречии	1	1
197	сравнению с	1	1
198	но нет	1	1
199	нуждается в	2	1
200	себе и	1	1
201	отметить что	1	1
202	на ограниченном	1	1
203	в форме	3	1
204	идет у	1	1
205	вообще и	2	1
206	не самое	1	1
207	и я	1	1
208	толстого и	1	1
209	в том-то	1	1
210	как в	3	1
211	по содержанию	1	1
212	что как	1	1
213	как например	1	1
214	в частности	2	1
215	он что	1	1
216	что нет	1	1
217	ли нам	1	1
218	один из	5	1
219	мысли не	1	1
220	что только	1	1
221	это представляется	1	1
222	и как	1	1
223	в благородный	1	1
224	с ними	2	1
225	от этого	2	1
226	чего же	1	1
227	не идет	1	1
228	то в	1	1
229	за собой	2	1
230	европе и	1	1
231	и раньше	1	1
232	не хочет	2	1
233	бы и	4	1
234	что это	7	1
235	за это	1	1
236	не оставляет	1	1
237	других писателей	1	1
238	первый период	2	1
239	это единственная	1	1
240	одно время	2	1
