N	3gram	Berdyaev_M_1	Literetu
1	не может быть	17	7
2	в том что	1	5
3	по отношению к	2	3
4	о том что	1	2
5	и т п	1	2
6	это прежде всего	1	2
7	не так как	1	2
8	нет и не	1	1
9	может быть названа	1	1
10	в русской поэзии	1	1
11	он не может	2	1
12	тем что в	1	1
13	и не может	2	1
14	свобода есть свобода	1	1
15	вместе с тем	5	1
16	что он не	2	1
17	в отличие от	1	1
18	в себе и	1	1
19	не могут быть	2	1
20	ни с какой	1	1
21	можно было бы	1	1
22	у него нет	1	1
23	жизни и в	1	1
24	быть может наиболее	1	1
25	он преодолевается как	1	1
26	что человек всегда	1	1
27	для него как	1	1
28	в конце концов	2	1
29	и не было	1	1
30	во всех этих	1	1
31	не в том	1	1
32	прежде всего в	2	1
33	не мог бы	1	1
34	с первого дня	1	1
35	имел в виду	1	1
36	жизни а не	1	1
37	но и он	1	1
38	себя в них	1	1
39	во многих отношениях	1	1
40	для того чтобы	2	1
