N	4gram	Berdyaev_O_1	VelikijI
1	все что есть необычайного	1	3
2	есть необычайного гадательного и	1	3
3	что есть необычайного гадательного	1	3
4	необычайного гадательного и неопределенного	1	2
5	нет нам дороги и	1	2
6	дороги лишь десятки тысяч	1	2
7	как бы и не	1	2
8	лишь десятки тысяч великих	1	2
9	тебе дороги лишь десятки	1	2
10	поступил как бы и	1	2
11	бы и не любя	1	2
12	и сильных? нет нам	1	2
13	великих и сильных? нет	1	2
14	десятки тысяч великих и	1	2
15	путь которым можно было	1	2
16	вместо того чтобы овладеть	1	2
17	легенда о великом инквизиторе	2	2
18	сильных? нет нам дороги	1	2
19	обетом свободы которого они	1	1
20	они и страшатся ибо	1	1
21	порочны ничтожны и бунтовщики	1	1
22	им ее еще больше	1	1
23	вечно порочного и вечно	1	1
24	опять-таки не захотел поработить	1	1
25	а не рабских восторгов	1	1
26	с каким-то обетом свободы	1	1
27	этих детей свободы свободной	1	1
28	был устроен бунтовщиком разве	1	1
29	но может ли он	1	1
30	в простоте своей и	1	1
31	взял все что есть	1	1
32	легенде о великом инквизиторе	3	1
33	ибо конечно они невольники	1	1
34	свободой людей ты увеличил	1	1
35	не по силам людей	1	1
36	осмыслить которого боятся они	1	1
37	что могучие? чем виновата	1	1
38	нам дороги и слабые	1	1
39	для человека и для	1	1
40	жертвы их во имя	1	1
41	может ли он сравниться	1	1
42	небесный но может ли	1	1
43	неблагородного людского племени с	1	1
44	свобода их веры тебе	1	1
45	а с ним вот	1	1
46	имя твое но вспомни	1	1
47	ты ли так часто	1	1
48	ли так часто тогда	1	1
49	виноваты остальные слабые люди	1	1
50	и не любя их	1	1
51	люди что не могли	1	1
52	хлеб земной вдоволь для	1	1
53	хочешь идти в мир	1	1
54	великолепной жертвы их во	1	1
55	гордостью указать на этих	1	1
56	остальные слабые люди что	1	1
57	сделали так для того	1	1
58	чудом и жаждал свободной	1	1
59	людей ты увеличил им	1	1
60	ним вот наша тайна	1	1
61	что не могут быть	1	1
62	малосильны порочны ничтожны и	1	1
63	свободной веры а не	1	1
64	каким-то обетом свободы которого	1	1
65	поработить человека чудом и	1	1
66	обременил ее мучениями душевное	1	1
67	к избранным и для	1	1
68	увеличил им ее еще	1	1
69	душа что не в	1	1
70	тобою прельщенный и плененный	1	1
71	силам людей а потому	1	1
72	виновата слабая душа что	1	1
73	ее и обременил ее	1	1
74	свободной любви свободной и	1	1
75	которого они в простоте	1	1
76	потому что опять-таки не	1	1
77	пошел он за тобою	1	1
78	их веры тебе была	1	1
79	что не в силах	1	1
80	только несколько тысяч да	1	1
81	веры а не чудесной	1	1
82	могут быть никогда и	1	1
83	разве бунтовщики могут быть	1	1
84	вдоволь для всякого вместе	1	1
85	было для человека и	1	1
86	что было не по	1	1
87	человека и для человеческого	1	1
88	в заслугу себе и	1	1
89	они в простоте своей	1	1
90	и хлеб земной вдоволь	1	1
91	ли он сравниться в	1	1
92	тебе была дороже всего	1	1
93	силах вместить столь страшных	1	1
94	лишь к избранным и	1	1
95	чтобы свободно пошел он	1	1
96	руками с каким-то обетом	1	1
97	сравниться в глазах слабого	1	1
98	не сошел с креста	1	1
99	с ним вот наша	1	1
100	идти в мир и	1	1
101	свобода и хлеб земной	1	1
102	могучие? чем виновата слабая	1	1
103	любви свободной и великолепной	1	1
104	свободы свободной любви свободной	1	1
105	а потому поступил как	1	1
106	была дороже всего еще	1	1
107	в мир и идешь	1	1
108	которого боятся они и	1	1
109	бесчинстве своем не могут	1	1
110	любви а не рабских	1	1
111	потому поступил как бы	1	1
112	могли вытерпеть того что	1	1
113	за тобою прельщенный и	1	1
114	было не по силам	1	1
115	с гордостью указать на	1	1
116	впрямь приходил ты лишь	1	1
117	захотел поработить человека чудом	1	1
118	все что было не	1	1
119	слишком высоко ибо конечно	1	1
120	возжелал свободной любви человека	1	1
121	боятся они и страшатся	1	1
122	кто знает может быть	1	1
123	человек был устроен бунтовщиком	1	1
124	ушел от гордых и	1	1
125	чем виновата слабая душа	1	1
126	ужаснувшим но и тут	1	1
127	было всего только несколько	1	1
128	своем не могут и	1	1
129	да неужто же и	1	1
130	страшных даров? да неужто	1	1
131	их было всего только	1	1
132	и страшатся ибо ничего	1	1
133	отверг единственный путь которым	1	1
134	потому что малосильны порочны	1	1
135	а остальные? и чем	1	1
136	тобой а с ним	1	1
137	приходил ты лишь к	1	1
138	ее мучениями душевное царство	1	1
139	вытерпеть того что могучие?	1	1
140	и никогда не было	1	1
141	всего еще тогда полторы	1	1
142	бунтовщиком разве бунтовщики могут	1	1
143	а не чудесной жаждал	1	1
144	людях слишком высоко ибо	1	1
145	не рабских восторгов невольника	1	1
146	своим что наконец-то они	1	1
147	вспомни что их было	1	1
148	свободно пошел он за	1	1
149	ибо ничего и никогда	1	1
150	богов а остальные? и	1	1
151	что опять-таки не захотел	1	1
152	ты умножил ее и	1	1
153	умножил ее и обременил	1	1
154	не ты ли так	1	1
155	человеческого общества невыносимее свободы	1	1
156	и своим что наконец-то	1	1
157	и обременил ее мучениями	1	1
158	и сделали так для	1	1
159	не могут и осмыслить	1	1
160	не захотел поработить человека	1	1
161	людей а потому поступил	1	1
162	не с тобой а	1	1
163	не могли вытерпеть того	1	1
164	для человеческого общества невыносимее	1	1
165	навсегда его ужаснувшим но	1	1
166	и идешь с голыми	1	1
167	его ужаснувшим но и	1	1
168	с тобой а с	1	1
169	высоко ибо конечно они	1	1
170	дороже всего еще тогда	1	1
171	того что могучие? чем	1	1
172	ты не сошел с	1	1
173	что малосильны порочны ничтожны	1	1
174	овладеть свободой людей ты	1	1
