N	3gram	Potebnia_M_2	Dialekti
1	и т д	3	15
2	по крайней мере	5	9
3	сама по себе	2	7
4	не потому что	1	6
5	в том что	7	6
6	одно и то	2	4
7	и то же	2	4
8	в связи с	1	4
9	то же время	2	4
10	о том что	1	4
11	с другой стороны	2	4
12	в том смысле	4	4
13	только тогда когда	2	4
14	и может быть	2	3
15	том смысле что	1	3
16	в таком случае	2	3
17	сами по себе	7	3
18	в то же	2	3
19	то время как	3	3
20	сам по себе	4	3
21	по себе не	3	3
22	не может быть	2	3
23	в то время	4	3
24	не в состоянии	4	2
25	а потом уже	1	2
26	более или менее	8	2
27	как бы ни	3	2
28	т д и	1	2
29	до сих пор	4	2
30	и т п	3	2
31	может быть только	1	2
32	так как это	1	2
33	тем не менее	5	2
34	не могут быть	3	2
35	или по крайней	2	2
36	во всяком случае	7	2
37	в одно время	4	2
38	от того что	4	2
39	само по себе	2	2
40	с самого начала	2	2
41	но это не	1	2
42	дает нам возможность	1	1
43	а потому что	1	1
44	которые не могут	2	1
45	мы говорим о	1	1
46	только потому что	2	1
47	том смысле как	2	1
48	время как в	1	1
49	но только не	1	1
50	мере того как	4	1
51	это было бы	1	1
52	не только о	1	1
53	большей или меньшей	1	1
54	на самом деле	2	1
55	подобно тому как	4	1
56	в таком виде	1	1
57	выйти за пределы	1	1
58	в этом смысле	2	1
59	нет никакой возможности	1	1
60	по мере того	4	1
61	о том как	1	1
62	одной стороны и	1	1
63	совмещает в себе	1	1
64	которые не то	1	1
65	и во многих	1	1
66	и не может	1	1
67	при других обстоятельствах	1	1
68	и то и	1	1
69	в чем бы	2	1
70	связанные с этим	2	1
71	бы то ни	1	1
72	мы уже не	1	1
73	в каждом человеке	1	1
74	что не только	1	1
75	иначе и потому	1	1
76	с теми которые	1	1
77	но что и	1	1
78	также что в	1	1
79	бы она ни	1	1
80	со всех сторон	1	1
81	в одном неделимом	1	1
82	то и другое	4	1
83	что мы называем	3	1
84	главным образом в	1	1
85	вместе с тем	1	1
86	не то что	1	1
87	будет значить что	1	1
88	мы в этом	1	1
89	не в том	2	1
90	она еще не	1	1
91	что есть в	1	1
92	с одной стороны	3	1
93	в том как	1	1
94	в некоторых случаях	2	1
95	и в этом	1	1
96	том как он	1	1
97	того что она	1	1
98	все же есть	1	1
99	известное состояние души	1	1
100	все же не	1	1
101	есть не только	1	1
102	из этих последних	1	1
103	или быть может	1	1
104	по себе и	1	1
105	и души и	1	1
106	и как бы	1	1
107	по сравнению с	1	1
108	не имеет значения	1	1
109	пространство и время	1	1
110	никто никогда не	1	1
111	то что мы	2	1
112	на этом основании	1	1
113	и независимо от	1	1
114	мы можем сказать	1	1
115	что и в	1	1
116	того как он	1	1
117	вопрос о том	1	1
118	не менее в	1	1
119	но все же	1	1
120	но даже и	1	1
121	до тех пор	1	1
122	может и не	1	1
123	которые могут быть	1	1
124	не только на	1	1
125	но все эти	1	1
126	есть прежде всего	2	1
127	может быть так	1	1
128	то что они	1	1
129	том что он	1	1
130	это будет значить	1	1
131	обратим внимание на	1	1
132	во все стороны	1	1
133	и мертвых душ	2	1
