N	2gram	Berdyaev_M_2	VerxiiNi
1	и в	46	26
2	с тем	1	18
3	в этом	20	15
4	вместе с	2	15
5	точки зрения	2	13
6	как бы	8	12
7	в том	3	11
8	не только	18	10
9	и с	3	10
10	может быть	21	10
11	связи с	2	9
12	так как	8	9
13	но и	15	9
14	что в	4	9
15	и у	1	8
16	с другой	1	8
17	и не	18	8
18	как на	1	8
19	но в	10	7
20	но все	1	7
21	том что	4	7
22	потому что	12	7
23	в эпоху	1	7
24	к нему	2	7
25	то что	5	7
26	а с	1	7
27	того же	1	6
28	все эти	1	6
29	в себе	10	6
30	с точки	1	6
31	в отношении	5	6
32	народной стихии	1	6
33	к тому	5	6
34	так и	4	6
35	о том	3	6
36	в конце	5	6
37	что и	4	6
38	и потому	7	6
39	все это	1	6
40	мы должны	1	6
41	отношение к	8	5
42	сих пор	3	5
43	и к	7	5
44	русской стихии	1	5
45	в мире	7	5
46	лишь в	2	5
47	не имеет	4	5
48	того чтобы	4	5
49	никогда не	18	5
50	для того	5	5
51	в его	5	5
52	до сих	3	5
53	а не	13	5
54	религиозная мысль	1	5
55	и для	7	5
56	так же	6	5
57	в котором	1	4
58	то же	5	4
59	целый ряд	1	4
60	в самом	5	4
61	в этой	7	4
62	что все	5	4
63	он не	10	4
64	бога и	5	4
65	и тогда	3	4
66	в которых	1	4
67	в нем	22	4
68	а в	2	4
69	и что	2	4
70	и только	1	4
71	только в	3	4
72	русской жизни	1	4
73	не может	15	4
74	и от	3	4
75	в этих	2	4
76	что он	7	4
77	же как	3	3
78	на западе	1	3
79	к богу	2	3
80	если в	1	3
81	в своем	8	3
82	и нет	3	3
83	когда он	1	3
84	и как	1	3
85	в которой	2	3
86	что это	6	3
87	и те	2	3
88	друг за	2	3
89	и если	2	3
90	европейской культуры	1	3
91	без бога	1	3
92	русского народа	1	3
93	если бы	3	3
94	как о	1	3
95	русский народ	5	3
96	к концу	1	3
97	но по	1	3
98	культуры и	1	3
99	на нее	1	3
100	в значительной	1	3
101	путь к	1	3
102	того что	6	3
103	но с	2	3
104	хотя бы	7	3
105	так что	2	3
106	уже не	4	3
107	а после	1	3
108	для него	18	3
109	с ней	1	3
110	с этой	1	3
111	за друга	2	3
112	у них	4	3
113	конце концов	1	3
114	отношению к	2	3
115	к этому	1	3
116	всем и	1	2
117	связана с	7	2
118	и это	5	2
119	когда человек	2	2
120	его не	2	2
121	ни у	1	2
122	и на	3	2
123	с его	4	2
124	во всех	2	2
125	бытие есть	1	2
126	друг на	1	2
127	в новом	1	2
128	ни один	1	2
129	он в	3	2
130	на то	1	2
131	из этой	2	2
132	перестает быть	1	2
133	они в	1	2
134	не к	2	2
135	людей и	3	2
136	те же	5	2
137	к другу	5	2
138	на все	3	2
139	с целью	1	2
140	в них	3	2
141	к которым	1	2
142	на друга	1	2
143	не всегда	2	2
144	богу и	2	2
145	но если	1	2
146	с идеей	1	2
147	признать что	1	2
148	которые в	2	2
149	не в	9	2
150	в россии	3	2
151	иной раз	1	2
152	этими двумя	1	2
153	для каждого	1	2
154	тогда когда	2	2
155	без остатка	1	2
156	в разных	2	2
157	в самой	1	2
158	в русском	4	2
159	этом отношении	1	2
160	не потому	1	2
161	культурные ценности	1	2
162	и здесь	6	2
163	не могут	1	2
164	отличается от	1	2
165	той или	1	2
166	приводит к	1	2
167	волю к	1	2
168	в образе	3	2
169	не с	1	2
170	по сравнению	1	2
171	для этого	4	2
172	мысль о	2	2
173	а также	1	2
174	добра и	5	2
175	между тем	2	2
176	вслед за	1	2
177	наконец в	1	2
178	у всех	2	2
179	быть и	2	2
180	по своей	3	2
181	один из	5	2
182	тот же	2	2
183	со всеми	1	2
184	уже в	2	2
185	в путях	1	2
186	и люди	2	2
187	он один	1	2
188	или иной	2	2
189	русской интеллигенции	1	2
190	к которому	3	2
191	прежде всего	12	2
192	связано с	3	2
193	превращается в	2	2
194	не было	11	2
195	может ли	1	2
196	перед которой	1	2
197	и все	5	2
198	связь с	1	2
199	чем все	1	2
200	требует от	1	2
201	человек должен	2	2
202	и мир	2	2
203	по своему	1	2
204	сравнению с	1	2
205	от человека	1	2
206	и перед	3	2
207	в другое	1	2
208	но когда	2	2
209	из себя	1	2
210	только что	1	2
211	в свою	4	2
212	к культуре	1	2
213	сказать что	3	2
214	ко всему	1	2
215	из этого	1	2
216	к религии	1	2
217	жизни и	6	2
218	все что	4	2
219	народ в	3	1
220	от этой	2	1
221	в сфере	2	1
222	чтобы не	3	1
223	а между	1	1
224	смысле слова	3	1
225	самом деле	1	1
226	он может	1	1
227	своей основной	1	1
228	это и	3	1
229	сила и	1	1
230	мере в	1	1
231	и есть	8	1
232	явления и	1	1
233	с культурой	1	1
234	все те	1	1
235	этом направлении	1	1
236	той же	3	1
237	их и	1	1
238	не встречает	1	1
239	для достижения	1	1
240	он знает	1	1
241	это совершенно	1	1
242	мы не	1	1
243	народной души	1	1
244	православием а	1	1
245	бы и	5	1
246	существенно отличается	1	1
247	но душа	1	1
248	в сущности	2	1
249	в будущем	1	1
250	личности с	1	1
251	же что	2	1
252	жизни это	4	1
253	в ней	11	1
254	подобного нет	1	1
255	на них	1	1
256	быть в	1	1
257	страданием и	1	1
258	сознает свое	1	1
259	в чем	3	1
260	в творениях	1	1
261	а следовательно	1	1
262	так для	1	1
263	друг к	5	1
264	землю и	2	1
265	к нам	1	1
266	своей души	1	1
267	и всякий	1	1
268	по отношению	2	1
269	уже как	1	1
270	друга и	1	1
271	что они	3	1
272	себя в	4	1
273	и свободное	1	1
274	человек может	1	1
275	которые могли	1	1
276	которое у	1	1
277	как в	7	1
278	под этой	1	1
279	выйти из	2	1
280	народа в	1	1
281	как к	2	1
282	это был	1	1
283	могли бы	1	1
284	его к	1	1
285	есть ли	2	1
286	от этого	2	1
287	то в	2	1
288	народом и	1	1
289	к чему	4	1
290	вниз в	1	1
291	та же	10	1
292	формы в	1	1
293	не был	2	1
294	в нашем	7	1
295	думать что	4	1
296	и тот	2	1
297	и будущее	1	1
298	с народной	1	1
299	если он	2	1
300	на его	2	1
301	образ его	1	1
302	отношение которое	1	1
303	он должен	1	1
304	к одному	1	1
305	слиянием с	1	1
306	народ не	1	1
307	есть один	2	1
308	душу и	3	1
309	и более	1	1
310	остается лишь	1	1
311	на земле	8	1
312	религиозные мыслители	1	1
313	которая стоит	1	1
314	на этом	2	1
315	что она	5	1
316	чести и	1	1
317	человека в	14	1
318	же пути	1	1
319	жить в	1	1
320	имеет больше	1	1
321	преступления он	1	1
322	его в	3	1
323	входит в	1	1
324	человека когда	1	1
325	было в	3	1
326	есть не	5	1
327	мире как	2	1
328	это не	5	1
329	было бы	1	1
330	на почве	3	1
331	мира с	1	1
332	в жизни	4	1
333	из первых	1	1
334	ни в	3	1
335	нет в	4	1
