N	4gram	Medvedev_F_1	Myslijsy
1	в то же время	8	3
2	все более и более	2	2
3	и потому не могут	1	1
4	друг другу и не	1	1
5	как бы ни были	2	1
6	бы то ни было	1	1
7	с этой точки зрения	1	1
8	во что бы то	2	1
9	и т п мы	1	1
10	в более или менее	1	1
11	и как бы ни	1	1
12	и в том что	1	1
13	с одной стороны и	4	1
14	что бы то ни	2	1
15	чтобы убедиться в этом	2	1
16	бы то ни стало	2	1
17	так и в каждом	1	1
18	прежде всего должны быть	1	1
19	тем не менее в	1	1
20	то же время не	1	1
21	не говоря уже о	1	1
