N	2gram	Vinokur_Vv_1	slovoVRo
1	и в	27	39
2	может быть	24	37
3	и т	43	35
4	и его	5	33
5	т п	5	33
6	не только	21	24
7	и не	13	22
8	но и	5	21
9	не может	13	20
10	в нем	13	19
11	до конца	3	17
12	в этом	34	16
13	все это	6	16
14	так и	1	15
15	а не	3	14
16	отличие от	3	13
17	как в	1	13
18	слова в	1	13
19	во всех	2	12
20	литературного языка	1	12
21	в отличие	3	12
22	в истории	9	11
23	слово в	1	11
24	вовсе не	6	10
25	и с	2	9
26	не в	8	9
27	языков и	2	9
28	языка и	12	9
29	таким образом	19	8
30	языков в	3	8
31	оно не	1	8
32	себя в	2	8
33	прежде всего	8	8
34	слова и	1	8
35	точки зрения	7	8
36	еще не	4	7
37	о слове	1	7
38	языком и	1	7
39	при этом	3	7
40	в этих	3	7
41	для него	1	7
42	с ним	1	7
43	никогда не	3	7
44	могут быть	4	7
45	как мы	9	7
46	язык и	3	7
47	в его	10	7
48	языка как	2	7
49	и даже	5	7
50	как бы	5	7
51	в сущности	3	6
52	но не	7	6
53	в своем	3	6
54	все же	8	6
55	и к	1	6
56	но в	10	6
57	все эти	3	6
58	так сказать	1	6
59	значительной степени	1	6
60	в них	4	6
61	как и	5	6
62	языка в	4	6
63	в значительной	2	6
64	язык в	1	6
65	человек в	1	6
66	этом случае	6	6
67	жизни и	2	6
68	например в	2	5
69	это не	8	5
70	том что	26	5
71	по себе	9	5
72	не могут	5	5
73	но все	3	5
74	той или	1	5
75	с другой	8	5
76	один из	6	5
77	в том	31	5
78	с ними	1	5
79	с одной	4	5
80	уже не	5	5
81	языка а	2	5
82	одной стороны	4	5
83	или иной	1	5
84	и для	4	5
85	только в	13	5
86	и все	1	5
87	отношения к	1	4
88	языку и	1	4
89	в зависимости	1	4
90	и на	3	4
91	по отношению	4	4
92	отношение к	3	4
93	сливается с	3	4
94	то же	8	4
95	слова не	1	4
96	его в	6	4
97	входит в	2	4
98	с другими	1	4
99	на почве	5	4
