N	2gram	Tiupa_Anal_1	Literetu
1	а не	17	20
2	и в	18	19
3	может быть	29	17
4	своего рода	3	13
5	то же	9	12
6	и не	21	11
7	как и	13	10
8	в том	27	10
9	и т.п	5	10
10	но и	17	10
11	тогда как	14	9
12	в этом	13	9
13	состоит в	11	9
14	в то	9	9
15	в мире	8	9
16	же время	6	9
17	не может	22	9
18	такого рода	5	9
19	не только	15	8
20	хх века	1	8
21	и даже	1	8
22	с другой	4	8
23	том что	12	7
24	так и	4	7
25	и т.д	1	7
26	с одной	3	7
27	я в	3	7
28	то что	6	7
29	и на	5	6
30	в себе	11	6
31	при этом	12	6
32	однако в	3	6
33	не менее	1	6
34	себя в	6	6
35	одной стороны	3	6
36	в году	1	5
37	я не	1	5
38	столь же	4	5
39	но не	10	5
40	конечном счете	4	5
41	в принципе	8	5
42	он не	3	5
43	одна из	1	5
44	в конечном	4	5
45	в качестве	31	5
46	для всех	1	5
47	на фоне	2	5
48	то есть	11	5
49	того что	4	5
50	вместе с	4	5
51	я и	6	4
52	мы не	1	4
53	того же	4	4
54	по отношению	6	4
55	так что	1	4
56	отнюдь не	15	4
57	в рамках	3	4
58	едва ли	2	4
59	для него	2	4
60	точки зрения	6	4
61	не в	14	4
62	даже в	3	4
63	в области	4	4
64	в ней	1	4
65	еще в	2	4
66	в его	13	4
67	один из	2	4
68	не случайно	3	4
69	каждый из	2	4
70	прежде всего	6	4
71	в частности	19	4
72	и.п смирнов	2	4
73	лирического героя	2	4
74	в искусстве	2	4
75	жизни в	1	4
76	другой стороны	2	4
77	жизни и	1	4
78	что в	5	4
79	речь идет	1	3
80	одним из	3	3
81	и то	2	3
82	в сущности	6	3
83	как я	1	3
84	я на	1	3
85	во всех	1	3
86	эстетический субъект	2	3
87	как правило	4	3
88	в противовес	2	3
89	как к	2	3
90	эстетической деятельности	4	3
91	поскольку в	1	3
92	в этой	5	3
93	то и	1	3
94	наш взгляд	6	3
95	в нем	3	3
96	на наш	6	3
97	всех своих	1	3
98	я все	1	3
99	литературного процесса	1	3
100	такой же	2	3
101	в их	5	3
102	том чтобы	7	3
103	с точки	4	3
104	тем самым	7	3
105	вплоть до	1	3
106	не столько	2	3
107	никогда не	2	3
108	ничего не	1	3
109	х годов	2	3
110	сознания в	4	3
111	и его	5	3
112	личности в	3	3
113	этот путь	1	3
114	данном случае	2	3
115	в себя	6	3
116	всей своей	1	3
117	не с	4	3
118	и с	2	3
119	быть может	2	3
120	коммуникативное событие	6	3
121	в другом	4	3
122	всего лишь	4	3
123	другого в	3	3
124	а в	9	3
125	так как	2	3
126	этом отношении	2	3
127	и др	1	3
128	со стороны	2	3
129	и жизни	1	3
130	эстетического субъекта	3	3
131	в равной	3	3
132	в данном	2	3
133	а именно	3	3
134	но это	1	3
135	в культуре	3	3
136	в начале	2	3
137	и для	1	3
138	художественной культуры	1	3
139	и как	5	3
140	что он	3	3
141	о себе	1	3
142	отношению к	5	3
143	себя как	1	2
144	и т	3	2
145	е годы	1	2
146	и до	2	2
147	являет собой	1	2
148	той же	2	2
149	зависимость от	1	2
150	на себя	2	2
151	из того	4	2
152	к своему	1	2
153	нам представляется	1	2
154	но как	1	2
155	если в	3	2
156	в е	1	2
157	без другого	2	2
158	в художественном	3	2
159	все же	4	2
160	как уже	2	2
161	и наконец	1	2
162	и к	3	2
163	но в	8	2
164	в противоположность	2	2
165	ведь я	1	2
166	то в	2	2
167	со своей	1	2
168	нобелевской лекции	1	2
169	в целом	5	2
170	представляет собой	16	2
171	в нашем	3	2
172	как он	3	2
173	марина цветаева	1	2
