N	3gram	Tiupa_Teor_1	Psycholo
1	для того чтобы	1	19
2	в том что	8	12
3	все то что	1	11
4	о том что	1	10
5	то же самое	1	6
6	так же точно	1	5
7	к тому что	2	5
8	с точки зрения	3	4
9	как раз в	1	4
10	заключается в том	1	3
11	с одной стороны	2	3
12	несет в себе	2	3
13	сама по себе	1	3
14	точно так же	1	3
15	так же как	1	3
16	таким образом что	1	2
17	не только не	2	2
18	с другой стороны	5	2
19	может быть это	1	2
20	как это делает	1	2
21	никак не может	1	2
22	по поводу этой	1	2
23	в то время	1	2
24	со всех сторон	1	1
25	подобно тому как	1	1
26	так или иначе	4	1
27	и в сущности	1	1
28	в виду не	3	1
29	говорит что он	1	1
30	в этом смысле	2	1
31	тем и другим	1	1
32	и здесь мы	1	1
33	том или ином	1	1
34	ее никто не	1	1
35	и в то	1	1
36	из того что	1	1
37	только в воображении	1	1
38	этом так как	1	1
39	а с другой	2	1
40	в целом ряде	1	1
41	в евгении онегине	1	1
42	а не все	1	1
43	можно сказать что	2	1
44	минуту до этого	1	1
45	в воображении читателя	1	1
46	начала и конца	1	1
47	на первый взгляд	1	1
48	как бы в	1	1
49	по отношению к	4	1
50	и в этой	1	1
51	в своем составе	3	1
52	не что иное	1	1
53	так что она	1	1
54	но он не	1	1
55	в то же	5	1
56	то есть как	1	1
57	в конечном счете	6	1
58	том что она	1	1
59	только то что	1	1
60	что иное как	1	1
61	то же время	5	1
62	бы то ни	1	1
63	дело в том	1	1
64	в художественном произведении	1	1
65	раз в том	1	1
66	то что может	1	1
67	за минуту до	1	1
68	есть как бы	1	1
69	в свою очередь	2	1
70	в том или	1	1
71	то ни было	1	1
72	не может быть	4	1
