N	2gram	Trubetskoy_1	KulturaY
1	и т	3	33
2	в том	17	30
3	и в	14	24
4	потому что	5	23
5	том что	9	21
6	что в	4	17
7	того чтобы	8	17
8	для того	6	16
9	было бы	5	15
10	в этом	17	14
11	точки зрения	11	14
12	может быть	9	13
13	все же	4	12
14	таким образом	11	12
15	и не	19	12
16	в его	4	12
17	не в	4	11
18	только в	5	11
19	хотя бы	5	10
20	в самом	3	10
21	не только	9	10
22	в силу	2	10
23	вовсе не	1	10
24	самом деле	7	9
25	русского языка	1	9
26	с точки	9	9
27	так как	4	9
28	если бы	6	9
29	о том	7	9
30	того что	3	9
31	отношению к	1	9
32	прежде всего	8	9
33	то что	13	9
34	а только	1	8
35	по отношению	2	8
36	уже не	2	8
37	то же	11	8
38	том чтобы	3	8
39	языка и	1	8
40	тем что	3	8
41	а не	2	8
42	не может	22	7
43	не трудно	1	7
44	это не	1	7
45	не менее	1	7
46	связи с	3	7
47	в области	2	7
48	так и	1	7
49	бы в	1	7
50	в качестве	3	7
51	с другой	1	7
52	как бы	4	7
53	вместе с	4	7
54	на себе	1	6
55	в ней	2	6
56	в которой	1	6
57	все эти	2	6
58	при этом	5	6
59	в которых	1	6
60	тогда когда	4	6
61	можно было	4	6
62	что он	6	6
63	но и	10	6
64	именно в	3	6
65	что же	4	6
66	все это	6	6
67	что такое	2	6
68	в зависимости	1	5
69	еще не	3	5
70	но не	4	5
71	не просто	2	5
72	что это	3	5
73	и с	7	5
74	с тем	6	5
75	по крайней	1	5
76	к тому	7	5
77	с ним	2	5
78	и что	2	5
79	между тем	5	5
80	а потому	5	5
81	крайней мере	1	5
82	еще и	1	5
83	всяком случае	6	5
84	что не	1	5
85	в результате	2	5
86	целый ряд	2	5
87	этом отношении	1	5
88	а в	5	5
89	во всяком	9	5
90	того же	1	4
91	это и	1	4
92	что эти	1	4
93	разумеется не	1	4
94	и на	5	4
95	что они	3	4
96	из этих	3	4
97	роль в	1	4
98	на то	5	4
99	в нем	5	4
100	того или	2	4
101	в данном	7	4
102	и тогда	2	4
103	из области	1	4
104	тем не	1	4
105	тем самым	2	4
106	в таких	2	4
107	в русском	1	4
108	и является	2	4
109	к себе	2	4
110	не на	1	4
111	в самой	1	4
112	что и	3	4
113	с ними	1	4
114	должен быть	1	4
115	так что	2	4
116	не есть	3	4
117	из них	3	4
118	со стороны	4	4
119	до сих	5	4
120	в частности	2	4
121	и потому	3	4
122	с этим	2	4
123	по существу	5	4
124	сих пор	5	4
125	один из	1	4
126	в этих	2	4
127	так же	2	4
128	и то	4	3
129	в котором	2	3
130	в сущности	1	3
131	на себя	2	3
132	то это	3	3
133	с большим	1	3
134	только тогда	1	3
135	в общем	1	3
136	очевидно что	1	3
137	трудно видеть	1	3
138	в истории	1	3
139	в связи	1	3
140	в своем	6	3
141	когда он	1	3
142	более или	4	3
143	что так	1	3
144	в этой	4	3
145	в себе	9	3
146	и если	7	3
147	на его	1	3
148	должна быть	2	3
149	на том	3	3
150	состоит в	2	3
151	он есть	1	3
152	а это	1	3
153	несмотря на	3	3
154	должно быть	3	3
155	нисколько не	2	3
156	или менее	4	3
157	в их	4	3
158	представление о	1	3
159	и эти	1	3
160	даже в	1	3
161	тому что	2	3
162	казалось бы	1	3
163	из одного	1	3
164	в духе	1	3
165	что оно	3	3
166	свою очередь	1	3
167	сводится к	3	3
168	ясно что	2	3
169	это только	2	3
170	для этого	3	3
171	можно сказать	1	3
172	обе эти	1	3
173	связано с	1	3
174	даже и	2	3
175	не было	3	3
176	и даже	2	3
177	или иной	5	3
178	к которому	1	3
179	в свою	1	3
180	а с	2	3
181	если не	2	3
182	как это	1	3
183	а если	1	3
184	смысле этого	1	3
185	этого слова	1	3
186	была бы	1	3
187	или иного	2	3
188	как на	8	3
189	в таком	2	3
190	они не	1	3
191	речь идет	2	2
192	также и	1	2
193	и есть	2	2
194	которое в	1	2
195	которую можно	1	2
196	иное как	1	2
197	что его	1	2
198	на самом	6	2
199	значение и	1	2
200	если в	6	2
201	тогда как	2	2
202	себе и	4	2
203	идет о	1	2
204	что касается	1	2
205	и как	3	2
206	но в	2	2
207	от этого	1	2
208	а во-вторых	2	2
209	формы в	1	2
210	для которых	1	2
211	во многих	2	2
212	но ведь	1	2
213	духовной культуры	1	2
214	сейчас не	1	2
215	он не	5	2
216	так например	1	2
217	но все	1	2
218	в состоянии	1	2
219	лишь в	3	2
220	заключается в	1	2
221	и мы	1	2
222	и тем	2	2
223	ни в	2	2
224	для них	3	2
225	все равно	1	2
226	этого не	2	2
227	как и	4	2
228	принадлежит в	1	2
229	иначе говоря	1	2
230	одного и	1	2
231	но если	3	2
232	и при	6	2
233	в своей	5	2
234	котором идет	2	2
235	не столько	1	2
236	вопрос о	5	2
237	естественно поэтому	1	2
238	и более	2	2
239	том же	2	2
240	по себе	2	2
241	можно ли	3	2
242	до конца	1	2
243	что с	2	2
