N	2gram	Voloshinov_1	EvropaiE
1	и в	38	37
2	в отношении	2	32
3	точки зрения	10	23
4	что в	1	21
5	не только	27	18
6	с точки	5	17
7	в то	9	16
8	то же	14	15
9	хотя бы	18	15
10	в своем	1	14
11	но в	5	14
12	же время	7	14
13	в качестве	4	14
14	но и	13	14
15	и не	14	14
16	в этом	10	12
17	в их	1	11
18	в области	5	11
19	в том	2	11
20	так и	6	10
21	отнюдь не	10	9
22	в себе	9	9
23	только в	6	9
24	прежде всего	21	9
25	не может	12	9
26	так же	4	9
27	в ее	3	8
28	думать что	1	8
29	было бы	7	8
30	в своей	2	8
31	к тому	4	8
32	между тем	3	8
33	также и	2	7
34	того что	4	7
35	так как	7	7
36	с другой	1	7
37	как и	10	7
38	по своему	3	7
39	может быть	13	6
40	и на	6	6
41	во всех	6	6
42	на то	1	6
43	то есть	4	6
44	том что	3	6
45	россии но	1	6
46	того чтобы	7	6
47	вслед за	1	6
48	вовсе не	2	6
49	для того	9	6
50	и даже	3	6
51	как бы	28	6
52	с этой	1	6
53	то что	8	6
54	же как	1	5
55	которую мы	1	5
56	столь же	1	5
57	но не	2	5
58	не в	6	5
59	к которым	1	5
60	но если	1	5
61	тем самым	7	5
62	как мы	9	5
63	одной из	2	5
64	в виде	1	5
65	со стороны	1	5
66	от этого	1	5
67	в частности	3	5
68	и потому	2	5
69	в течение	1	5
70	в той	5	5
71	как нам	1	5
72	то в	1	4
73	мы не	9	4
74	вопрос о	2	4
75	но даже	2	4
76	в ней	8	4
77	независимо от	5	4
78	в самом	4	4
79	того или	5	4
80	несмотря на	2	4
81	в процессе	6	4
82	иными словами	2	4
83	техники и	1	4
84	той или	3	4
85	по себе	1	4
86	можно сказать	4	4
87	тем более	1	4
88	именно в	1	4
89	само по	1	4
90	или иной	4	4
91	как это	5	4
92	для нас	3	4
93	сказать что	3	4
94	или иного	5	4
95	в каком	2	4
96	экономической жизни	1	4
97	из всех	1	3
98	с более	1	3
99	бы и	2	3
100	на себя	1	3
101	того же	1	3
102	в общем	1	3
103	как в	2	3
104	когда он	1	3
105	и к	4	3
106	себе не	1	3
107	или иную	3	3
108	представляет собой	2	3
109	вообще не	1	3
110	мы можем	7	3
111	не будет	3	3
112	большинстве случаев	1	3
113	и тем	6	3
114	с тем	8	3
115	мы видели	5	3
116	во второй	3	3
117	в которых	2	3
118	никогда не	7	3
