N	3gram	Ircho_Kome_1	RusskieA
1	в том что	9	18
2	состоит в том	1	13
3	в данном случае	1	6
4	для того чтобы	1	6
5	т е в	2	5
6	и т д	4	5
7	вместе с тем	1	4
8	так же как	1	4
9	о том что	3	4
10	в отличие от	1	3
11	подобно тому как	1	3
12	к земле и	1	2
13	тем не менее	1	2
14	что иное как	1	2
15	же как и	1	2
16	для этой цели	1	2
17	не что иное	1	2
18	бросается в глаза	1	2
19	в то время	5	2
20	после того как	3	2
21	с одной стороны	3	2
22	том что в	1	1
23	а между тем	1	1
24	производительных сил природы	1	1
25	о том где	1	1
26	к этому же	1	1
27	отсюда видно что	1	1
28	на себя внимание	1	1
29	более или менее	1	1
30	в тех случаях	1	1
31	относится к г	1	1
32	в том же	1	1
33	те и другие	1	1
34	но и в	2	1
35	в первую очередь	2	1
36	а может быть	1	1
37	в этом отношении	3	1
38	из своей среды	1	1
39	таким образом в	2	1
40	по аналогии с	1	1
41	состоит не в	1	1
42	можно было бы	1	1
43	одна из них	1	1
44	поставил вопрос о	1	1
45	в это время	1	1
46	т е из	1	1
47	в применении к	1	1
48	с полной уверенностью	1	1
49	к заключению что	1	1
50	во всяком случае	2	1
51	по своему происхождению	1	1
52	смысле этого слова	1	1
53	в нашу задачу	1	1
54	то время как	4	1
55	от земли и	1	1
56	том что они	1	1
57	с другой стороны	5	1
58	этим объясняется и	1	1
59	и в том	1	1
60	к этому времени	1	1
61	и все это	1	1
62	на две партии	1	1
63	в течение всего	1	1
64	празднеств в честь	1	1
65	из этих элементов	1	1
66	на то что	2	1
67	совершенно очевидно что	1	1
68	все что она	1	1
69	в этой же	1	1
70	тех случаях когда	1	1
71	как мы уже	1	1
72	мы и здесь	1	1
73	и таким образом	2	1
74	оно все же	1	1
75	мы уже знаем	1	1
76	и еще в	1	1
77	как и в	2	1
78	как мы видели	1	1
