N	2gram	Nazirov_Vr_1	Hudozhes
1	том что	3	16
2	и в	8	14
3	у чехова	1	13
4	так и	1	13
5	не только	9	12
6	при этом	4	12
7	о том	4	12
8	в том	3	12
9	в себе	2	11
10	в этом	8	11
11	прежде всего	1	11
12	в рассказе	1	11
13	в своей	2	10
14	для него	2	10
15	а п	1	10
16	то же	5	9
17	как и	6	9
18	что он	4	9
19	в качестве	1	9
20	у него	5	9
21	в этой	2	8
22	как в	1	8
23	то что	7	8
24	же время	5	8
25	ничего не	1	8
26	в его	3	8
27	между тем	5	8
28	в то	5	8
29	еще не	2	7
30	тогда как	2	7
31	это не	4	7
32	своего рода	1	7
33	быть может	1	7
34	уже не	2	7
35	именно в	1	7
36	не может	2	7
37	как бы	4	7
38	а в	2	7
39	как правило	1	6
40	в первой	1	6
41	человека в	3	6
42	в глазах	2	6
43	было бы	1	6
44	никогда не	2	6
45	что в	7	6
46	с его	3	5
47	но в	6	5
48	об этом	5	5
49	точки зрения	2	5
50	не менее	2	5
51	и его	3	5
52	потому что	1	5
53	к себе	2	5
54	и он	2	5
55	во второй	1	5
56	по мнению	2	5
57	друг друга	1	5
58	может быть	4	5
59	но и	7	5
60	в частности	1	5
61	и а	2	5
62	в этих	1	5
63	жизни и	1	5
64	он уже	1	4
65	и о	3	4
66	в ней	4	4
67	столь же	2	4
68	в своем	3	4
69	то в	1	4
70	в самом	1	4
71	на то	3	4
72	он не	3	4
73	и с	6	4
74	несмотря на	4	4
75	тем не	1	4
76	с ним	4	4
77	в русской	3	4
78	по своей	1	4
79	связи с	3	4
80	в духе	1	4
81	и это	2	4
82	того что	1	4
83	один из	1	4
84	себя в	1	4
85	из них	2	4
86	в конце	3	4
87	как раз	2	4
88	не было	5	4
89	и все	7	4
90	только что	1	4
91	т е	3	4
92	и от	1	4
93	речь идет	3	3
94	по преимуществу	1	3
95	с точки	2	3
96	едва ли	1	3
97	говорить о	1	3
98	в мире	2	3
99	в ее	1	3
100	отнюдь не	2	3
101	идет о	1	3
102	как к	1	3
103	все же	6	3
104	но он	3	3
105	в нем	6	3
106	его в	3	3
107	с этим	1	3
108	писал м	1	3
109	в своих	4	3
110	такой же	1	3
111	дама с	1	3
112	возвращается к	1	3
113	м м	2	3
114	тем что	3	3
115	этом отношении	1	3
116	что у	3	3
117	еще в	1	3
118	том как	1	3
119	о нем	6	3
120	а также	2	3
121	это в	2	3
122	русской литературе	3	3
123	романа в	1	3
124	же в	2	3
125	в литературе	1	3
126	но не	1	3
127	и даже	6	3
128	в связи	3	3
129	по своему	1	3
130	встрече с	1	3
131	в таком	1	3
132	к этой	1	3
133	ф м	1	3
134	же как	2	2
135	начинается с	1	2
136	в их	1	2
137	той же	1	2
138	но как	2	2
139	если в	1	2
140	к творчеству	3	2
141	в е	1	2
142	как нам	1	2
143	хотя и	1	2
144	в целом	1	2
145	в ответ	1	2
146	так в	2	2
147	раз в	3	2
148	как он	1	2
149	ключ к	1	2
150	уже говорилось	1	2
151	однако в	1	2
152	с такими	1	2
153	ясно что	1	2
154	живет в	1	2
155	все равно	1	2
156	что я	2	2
157	сих пор	1	2
158	все это	4	2
159	они не	1	2
160	не имеет	1	2
161	одна из	2	2
162	по нашему	3	2
163	об одном	1	2
164	у себя	1	2
165	с ее	1	2
166	на основе	2	2
167	как по	1	2
168	о своей	1	2
169	и что	8	2
170	его жизни	1	2
171	до сих	1	2
172	там же	2	2
173	говорить об	1	2
174	со своею	1	2
175	в форме	1	2
176	в него	2	2
177	второй половине	1	2
178	людей а	1	2
179	но с	1	2
180	больше не	1	2
181	в начале	6	2
182	мы знаем	2	2
183	ему не	1	2
184	а с	2	2
185	также в	1	2
186	до конца	1	2
187	человек в	1	2
188	ближе к	1	2
189	эти слова	3	2
190	он ее	1	2
191	что же	1	2
192	матери и	3	2
193	да и	1	2
194	в это	2	2
195	и не	5	2
196	еще раз	1	2
197	нет ничего	1	2
198	и ушел	1	2
199	о котором	1	2
200	м бахтин	1	2
201	этот момент	2	2
202	героя в	1	2
203	проникнуть в	1	2
204	а между	1	1
205	как известно	1	1
206	можно говорить	1	1
207	человека и	1	1
208	и то	2	1
209	смеха и	1	1
210	это и	1	1
211	я напротив	1	1
212	ему что	1	1
213	достоевского в	7	1
214	не принимая	1	1
215	он всегда	1	1
216	высшей степени	1	1
217	по его	1	1
218	также и	1	1
219	на пороге	1	1
