N	3gram	Voloshinov_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	5	5
3	каждом отдельном случае	1	5
4	в каждом отдельном	1	5
5	в зависимости от	2	4
6	не может быть	4	4
7	с самого начала	2	3
8	тем не менее	1	2
9	в отличие от	1	2
10	может быть и	1	2
11	само собою разумеется	1	2
12	то же самое	1	2
13	точки зрения и	1	1
14	быть и речи	1	1
15	что иное как	2	1
16	и есть не	1	1
17	громадную роль играет	1	1
18	в одном случае	1	1
19	через известный промежуток	1	1
20	в связи с	1	1
21	по отношению к	3	1
22	равно как и	1	1
23	на самом деле	1	1
24	не из готовых	1	1
25	мы можем поставить	2	1
26	так же как	1	1
27	и категорический ответ	1	1
28	один и тот	1	1
29	не было бы	1	1
30	то же время	1	1
31	которая нужна для	1	1
32	но тем не	1	1
33	есть не что	2	1
34	его и не	1	1
35	что в ней	1	1
36	в конечном счете	1	1
37	можно было бы	1	1
38	и не может	1	1
39	в самом деле	2	1
40	точки зрения своего	1	1
41	в то же	1	1
42	те или иные	1	1
43	не что иное	2	1
44	известный промежуток времени	1	1
45	в том что	2	1
46	в данном случае	2	1
47	общего не имеет	1	1
48	все эти три	1	1
49	с одной стороны	2	1
50	ничего общего не	1	1
51	и тот же	1	1
