N	4gram	Medvedev_F_2	StatiiOP
1	в то же время	5	4
2	и т п в	1	3
3	во всяком случае в	1	2
4	и в этом случае	1	2
5	но в то же	1	2
6	этого прежде всего необходимо	1	1
7	в той мере в	1	1
8	может быть и речи	3	1
9	что же это за	1	1
10	что бы то ни	1	1
11	той мере в какой	1	1
12	и в то же	3	1
13	только в том случае	1	1
14	может быть даже и	1	1
15	не может быть и	3	1
16	для этого прежде всего	1	1
17	во что бы то	1	1
18	в том смысле что	2	1
19	не выходя за пределы	1	1
20	языка не может быть	1	1
21	бы то ни стало	1	1
22	не говоря уже о	1	1
23	то же время не	1	1
24	и в этом отношении	2	1
