N	2gram	Vygotskiy__3	SlovoVZh
1	не может	6	16
2	может быть	13	14
3	точки зрения	6	14
4	как бы	10	13
5	и его	2	13
6	таким образом	17	12
7	и в	25	12
8	по отношению	3	11
9	отношению к	2	11
10	и не	10	10
11	если бы	5	9
12	так как	12	9
13	прежде всего	4	8
14	сказать что	4	7
15	для нас	2	7
16	в ней	1	6
17	в том	23	6
18	только в	10	6
19	при этом	5	6
20	с помощью	42	6
21	в нем	2	6
22	слова и	6	6
23	все время	2	6
24	в процессе	27	6
25	то же	2	5
26	в виду	1	5
27	отнюдь не	4	5
28	как в	9	5
29	но в	1	5
30	в жизни	3	5
31	а не	1	5
32	как и	15	5
33	что мы	7	5
34	том что	20	5
35	никогда не	4	5
36	хотя бы	1	5
37	то что	15	5
38	зависимости от	6	4
39	как если	1	4
40	за пределы	1	4
41	в этом	14	4
42	все же	6	4
43	в самом	3	4
44	уже не	2	4
45	не только	6	4
46	ни было	2	4
47	отношение к	1	4
48	от того	4	4
49	так и	5	4
50	с другой	6	4
51	что не	1	4
52	не в	6	4
53	его в	3	4
54	и является	1	4
55	и к	5	4
56	и на	6	4
57	в котором	3	3
58	в пределах	1	3
59	ясно что	2	3
60	еще не	4	3
61	мы не	9	3
62	и вообще	1	3
63	о том	5	3
64	бы то	1	3
65	но и	4	3
66	между тем	3	3
67	нуждается в	1	3
68	того что	10	3
69	когда он	3	3
70	имеет в	1	3
71	все эти	7	3
72	в себе	2	3
73	да и	1	3
74	для него	5	3
75	внутренней речи	19	3
76	и по	5	3
77	то ни	1	3
78	и с	1	3
79	точек зрения	1	3
80	до сих	1	3
81	слово так	1	3
82	ни в	9	3
83	в них	2	3
84	является продуктом	1	3
85	из общего	1	3
86	в своей	2	3
87	так же	17	3
88	в такой	1	3
89	тем не	5	3
90	этой точки	2	3
91	и более	1	3
92	по себе	7	3
93	сих пор	1	3
94	не менее	6	3
95	все это	6	3
96	но для	1	3
97	и для	2	3
98	бы мы	1	3
99	это как	1	3
100	находит свое	2	3
101	так называемой	1	3
102	с ним	4	3
103	или не	1	3
104	в каком	2	3
105	значения и	5	2
106	и то	2	2
107	как это	7	2
108	словами и	1	2
109	опираясь на	1	2
110	но тем	2	2
111	в себя	3	2
112	действия и	1	2
113	и совершенно	1	2
114	едва ли	2	2
115	ко всем	1	2
116	и значение	1	2
117	мы имеем	4	2
118	в словесном	1	2
119	со словом	1	2
120	мы в	2	2
121	совпадает с	6	2
122	почти исключительно	1	2
123	и здесь	2	2
124	не способен	1	2
125	не остается	1	2
126	с его	2	2
127	но мы	1	2
128	и что	10	2
129	между собой	13	2
130	в чем	2	2
131	тем как	1	2
132	данном случае	1	2
133	в данном	1	2
134	которые мы	1	2
135	в его	15	2
136	что и	10	2
137	в форме	1	2
138	относится к	1	2
139	независимо от	4	2
140	с чисто	1	2
141	поскольку они	1	2
142	в своем	4	2
143	кроме того	1	2
144	как уже	6	2
145	метод в	2	2
146	его к	3	2
147	дело с	3	2
148	в какой	4	2
149	словом и	1	2
150	и потому	2	2
151	что слово	4	2
152	несколько подробнее	1	2
153	сливается с	1	2
154	эти моменты	1	2
155	бы не	1	2
156	с одной	5	2
157	какой степени	4	2
158	выражение в	1	2
159	уже в	7	2
160	тому же	1	2
161	жизнью и	1	2
162	он не	4	2
163	не так	1	2
164	содержания и	1	2
165	в корне	2	2
166	в зависимости	5	2
167	мы можем	7	2
168	но что	1	2
169	общения и	1	2
170	но все	2	2
171	социальной средой	1	2
172	конечно в	2	2
173	с другими	2	2
174	может стать	1	2
175	мы никогда	2	2
176	оно не	2	2
177	одной стороны	5	2
178	до конца	1	2
179	самое слово	1	2
180	другой стороны	3	2
181	там где	4	2
182	и слово	3	2
183	имеет место	3	2
184	связь с	3	2
185	ни на	2	2
186	вместе с	14	2
187	в отношении	6	2
188	но не	6	2
189	общего с	1	2
190	место в	2	2
191	речи в	4	2
192	с этой	3	2
193	на один	1	2
194	с точки	1	2
195	в атмосфере	1	2
196	является для	2	2
197	в условиях	1	2
198	такой же	1	2
199	в основном	6	2
200	тогда когда	4	2
201	в то	4	2
202	на него	1	2
203	известной степени	1	2
204	и все	4	2
205	все они	2	2
206	в этих	2	2
207	есть уже	1	2
208	но это	5	2
209	бы оно	1	2
210	человеческого общества	1	2
211	между ними	3	2
212	от всех	2	2
