N	2gram	Tiupa_Disk_1	Problemy
1	и в	16	46
2	то есть	20	40
3	и не	11	27
4	может быть	17	23
5	не может	9	19
6	как бы	5	19
7	в нем	9	17
8	в этом	15	16
9	у достоевского	1	16
10	диалогические отношения	2	15
11	не только	28	14
12	и т.п	12	14
13	слова в	2	13
14	перед нами	3	12
15	как мы	2	12
16	но и	14	12
17	как и	16	12
18	и на	5	11
19	точки зрения	3	11
20	в одном	2	11
21	а не	22	11
22	в пределах	2	10
23	не в	7	10
24	и к	4	9
25	в самом	3	9
26	с точки	1	9
27	слово не	2	9
28	и все	2	9
29	в его	7	9
30	в том	23	9
31	в большинстве	1	9
32	прежде всего	11	9
33	до сих	1	8
34	большинстве случаев	1	8
35	сих пор	1	8
36	или в	2	8
37	в сущности	2	7
38	еще не	14	7
39	в себе	7	7
40	по себе	3	7
41	как раз	1	7
42	слова и	1	7
43	то же	7	6
44	никогда не	2	6
45	и он	2	6
46	хотя и	2	6
47	но в	8	6
48	к одному	1	6
49	в каждом	2	6
50	но это	1	6
51	и его	2	6
52	о нем	2	6
53	что он	4	6
54	только в	7	6
55	есть в	2	6
56	друг друга	1	6
57	к себе	2	6
58	к другому	2	5
59	в котором	5	5
60	с его	4	5
61	во всех	5	5
62	по отношению	9	5
63	за пределы	2	5
64	так сказать	2	5
65	при этом	13	5
66	особенно в	1	5
67	это не	3	5
68	в жизни	1	5
69	в то	3	5
70	в структуре	1	5
71	это слово	1	5
72	если же	1	5
73	и сам	1	5
74	о том	8	5
75	же время	4	5
76	к нему	1	5
77	речи и	1	5
78	отношению к	9	5
79	например в	2	4
80	самом деле	1	4
81	в их	5	4
82	мы не	1	4
83	на себя	2	4
84	героя и	2	4
85	но не	11	4
86	как в	10	4
87	все же	3	4
88	такое слово	1	4
89	он не	1	4
90	таким образом	3	4
91	том что	19	4
92	в этих	1	4
93	своего рода	8	4
94	раз и	1	4
95	в процессе	5	4
96	этих двух	1	4
97	во всем	1	4
98	потому что	4	4
99	здесь не	1	4
100	в себя	5	4
101	приводит к	2	4
102	так и	8	4
103	в словах	1	4
104	по мере	2	4
105	в виду	2	4
106	и других	1	4
107	можно сказать	5	4
108	уже не	4	4
109	уже в	2	4
110	к ним	3	4
111	мы можем	1	4
112	еще и	1	4
113	до конца	1	4
114	такой как	1	4
115	на границе	1	4
116	да и	1	4
117	и нет	1	4
118	то что	5	4
119	не знает	1	4
120	что в	4	4
121	но эти	1	4
122	том числе	2	4
123	одним из	2	3
124	также и	3	3
125	сам по	1	3
126	и это	1	3
127	тем же	1	3
128	между двумя	1	3
129	и до	1	3
130	той же	1	3
131	мы имеем	2	3
132	всех его	1	3
133	и о	4	3
134	мы и	1	3
135	отношение к	4	3
136	себе и	1	3
137	отличие от	5	3
138	в той	1	3
139	в своем	6	3
140	более или	2	3
141	из этих	1	3
142	в этой	2	3
143	на то	1	3
144	не к	1	3
145	на этом	2	3
146	в мире	1	3
147	было бы	1	3
148	далеко не	10	3
149	в слове	1	3
150	или менее	2	3
151	и при	1	3
152	и их	1	3
153	в своей	5	3
154	совершаются в	1	3
