1	в том что	5	9
2	для того чтобы	1	6
3	в свою очередь	1	6
4	о том что	2	4
5	в то же	9	4
6	то же время	9	4
7	у того же	1	3
8	и т п	2	3
9	с точки зрения	3	3
10	то же самое	1	3
11	тем не менее	2	3
12	вместе с тем	1	3
13	речь идет о	3	3
14	до тех пор	1	3
15	с одной стороны	6	3
16	по отношению к	3	3
17	то ни было	1	2
18	что он не	1	2
19	по отношению ко	1	2
20	с другой стороны	4	2
21	в конечном счете	5	2
22	из того же	1	2
23	с полным основанием	1	2
24	в этом случае	2	2
25	в этом отношении	3	2
26	речь шла о	1	2
27	состоит в том	4	2
28	бы то ни	1	2
29	вместе с ним	1	2
30	того же автора	1	2
31	в конце концов	1	2
32	говоря уже о	2	1
33	в том числе	2	1
34	в самом начале	1	1
35	этой точки зрения	1	1
36	и не может	1	1
37	и в пределах	1	1
38	все тем же	1	1
39	одной стороны и	1	1
40	после того как	1	1
41	в основе своей	1	1
42	остался в живых	1	1
43	в том чтобы	3	1
44	всем необходимым для	1	1
45	и в то	1	1
46	едва ли не	4	1
47	не имеет ничего	1	1
48	и вплоть до	1	1
49	к тому что	1	1
50	в отличие от	1	1
51	в свое время	2	1
52	с этой точки	1	1
53	в руках у	1	1
54	ничего общего с	1	1
55	не говоря уже	2	1
56	однако в том	1	1
57	том числе и	1	1
58	в соответствии с	1	1
59	вовсе не является	1	1
60	с ним а	1	1
61	а сами эти	1	1
62	однако и в	1	1
63	то в его	1	1
64	по крайней мере	2	1
65	имеет ничего общего	1	1
66	подобно тому как	2	1
67	х годов в	1	1
68	за то что	2	1
