N	2gram	Bakhtin_KF_1	IolandNe
1	и с	1	3
2	должен быть	7	2
3	и не	26	2
4	в этом	14	2
5	он не	6	2
6	что в	4	2
7	самого себя	1	2
8	ничего не	3	2
9	бы что	1	2
10	себя в	8	1
11	все это	10	1
12	нисколько не	4	1
13	и др	1	1
14	это сам	1	1
15	и тот	1	1
16	а для	2	1
17	и в	24	1
18	только что	1	1
19	и о	1	1
20	в эту	1	1
21	я не	6	1
22	а по	2	1
23	более чем	1	1
24	того же	1	1
25	не остается	2	1
26	при такой	1	1
27	и та	2	1
28	это было	2	1
29	а в	4	1
30	еще одной	1	1
31	художественного творчества	1	1
32	хотя его	2	1
33	того что	3	1
34	не дает	3	1
35	как о	1	1
36	а с	2	1
37	и смыслы	1	1
38	нее и	1	1
39	для него	8	1
40	в основе	5	1
41	в значительной	1	1
42	говорить о	2	1
43	понятий и	1	1
44	могло бы	4	1
45	есть только	1	1
46	отношению к	22	1
47	так и	2	1
48	бы его	1	1
49	от этого	2	1
50	того чтобы	2	1
51	за границей	1	1
52	никогда не	5	1
53	только для	1	1
54	жизни и	8	1
55	и очень	1	1
56	тем что	3	1
57	в целом	10	1
58	по поводу	1	1
59	по отношению	26	1
60	все эти	10	1
61	знать и	1	1
62	со всеми	2	1
63	автор и	1	1
64	если бы	8	1
65	для того	3	1
66	другое дело	2	1
