N	3gram	Nazirov_Tv_2	Hudozhes
1	в том что	2	11
2	по отношению к	3	7
3	о том что	2	7
4	так и не	1	4
5	то же время	7	4
6	на наш взгляд	2	4
7	в то же	7	4
8	том что в	1	3
9	в самом деле	2	3
10	но при этом	1	3
11	не может быть	3	3
12	как и в	1	3
13	в конечном счете	1	3
14	в соответствии с	4	3
15	если можно так	1	2
16	о том как	1	2
17	и в этом	1	2
18	до сих пор	3	2
19	и в то	2	2
20	и т п	2	2
21	можно так выразиться	1	2
22	можно было бы	1	2
23	в этой связи	1	2
24	так же как	2	2
25	как будто бы	1	2
26	того или иного	1	2
27	между автором и	1	2
28	к тому же	1	2
29	на другой день	1	2
30	и т д	11	2
31	по мнению ученого	1	1
32	нет и не	1	1
33	той или иной	1	1
34	в г в	1	1
35	дело в том	1	1
36	у нее была	1	1
37	мы узнаем что	1	1
38	же как и	1	1
39	и рядом с	1	1
40	о том чтобы	1	1
41	при этом что	1	1
42	том числе и	1	1
43	а с другой	1	1
44	точно так же	1	1
45	человека в его	1	1
46	в рассказе она	1	1
47	то или иное	1	1
48	в таком случае	2	1
49	не то что	1	1
50	в них нет	1	1
51	едва ли не	2	1
52	мы знаем что	1	1
53	это своего рода	1	1
54	м м бахтина	4	1
55	тем что он	1	1
56	не только для	1	1
57	все же не	2	1
58	по причине ее	1	1
59	к ней в	1	1
60	с другой стороны	2	1
61	и в том	1	1
62	содержит в себе	1	1
63	как и всякая	1	1
64	на наших глазах	1	1
65	в то время	1	1
66	с самого начала	1	1
67	одной из форм	1	1
68	именно потому что	1	1
69	по сути дела	3	1
70	сразу же после	1	1
71	в одном из	2	1
72	в том числе	1	1
73	того факта что	1	1
74	на него с	1	1
