N	2gram	Berdyaev_M_2	Vvedenie
1	т е	4	35
2	и в	46	32
3	в том	3	31
4	в этом	20	30
5	том что	4	26
6	может быть	21	26
7	не только	18	22
8	для того	5	21
9	того чтобы	4	20
10	также и	4	18
11	то что	5	16
12	потому что	12	15
13	так как	8	15
14	не может	15	14
15	но также	1	14
16	в самом	5	13
17	в нем	22	13
18	о том	3	13
19	в его	5	12
20	того что	6	12
21	только в	3	12
22	и не	18	12
23	как на	1	12
24	в ее	1	11
25	и именно	1	11
26	что такое	1	11
27	что в	4	10
28	то же	5	9
29	и как	1	9
30	но в	10	9
31	по себе	2	9
32	между тем	2	9
33	в той	1	9
34	это не	5	8
35	не в	9	8
36	с другой	1	8
37	самом деле	1	7
38	вопрос о	6	7
39	было бы	1	7
40	точки зрения	2	7
41	уже и	1	7
42	можно было	2	7
43	прежде всего	12	7
44	смысле этого	1	7
45	смысле слова	3	6
46	и это	5	6
47	как он	3	6
48	его в	3	6
49	с тем	1	6
50	как и	13	6
51	тем что	3	6
52	не могут	1	6
53	о природе	1	6
54	один из	5	6
55	и его	5	6
56	до сих	3	6
57	но и	15	6
58	сих пор	3	6
59	все это	1	6
60	хотя бы	7	6
61	мере в	1	5
62	в целом	1	5
63	иное как	3	5
64	об этом	1	5
65	на почве	3	5
66	и тем	1	5
67	в них	3	5
68	но если	1	5
69	в которых	1	5
70	сказать что	3	5
71	быть в	1	5
72	так что	2	5
73	уже в	2	5
74	не есть	13	5
75	что не	2	5
76	а не	13	5
77	по своему	1	5
78	она есть	2	5
79	как бы	8	5
80	той мере	1	5
81	есть и	3	5
82	в какой	1	5
83	вместе с	2	5
84	связана с	7	4
85	и то	1	4
86	той же	3	4
87	науки и	2	4
88	что иное	3	4
89	по отношению	2	4
90	независимо от	1	4
91	от этого	2	4
92	уже не	4	4
93	в себе	10	4
94	этот процесс	2	4
95	в своей	5	4
96	в котором	1	4
97	по сравнению	1	4
98	как о	1	4
99	не имеет	4	4
100	в разных	2	4
101	только с	3	4
102	в каждом	3	4
103	на вопрос	1	4
104	и что	2	4
105	что он	7	4
106	и ее	1	4
107	этом отношении	1	4
108	быть названо	1	4
109	е в	2	4
110	о чем	1	4
111	видит в	1	4
112	сравнению с	1	4
113	с этой	1	4
114	и для	7	4
115	только что	1	4
116	а в	2	4
117	не что	3	4
118	отношению к	2	4
119	которых не	1	3
120	и есть	8	3
121	в германии	1	3
122	в сущности	2	3
123	говорить о	1	3
124	и этого	1	3
125	и на	3	3
126	он сам	6	3
127	в чем	3	3
128	своего рода	1	3
129	совсем не	5	3
130	сама по	1	3
131	в центре	2	3
132	хотя и	2	3
133	и к	7	3
134	бы и	5	3
135	что это	6	3
136	все эти	1	3
137	в этой	7	3
138	что она	5	3
139	если бы	3	3
140	отношений между	1	3
141	на этом	2	3
142	на нее	1	3
143	в свое	1	3
144	с прошлым	1	3
145	и уже	1	3
146	чем в	2	3
147	духовной жизни	1	3
148	в этих	2	3
149	и вот	5	3
150	есть еще	2	3
151	тогда когда	2	3
152	своей природе	1	3
153	связи с	2	3
154	как будто	2	3
155	но все	1	3
156	должен быть	4	3
157	в ней	11	3
158	во второй	1	3
159	вот почему	2	3
160	а также	1	3
161	или как	1	3
162	к нему	2	3
163	раньше чем	1	3
164	и других	2	3
165	памятников и	1	3
166	в конце	5	3
167	что и	4	3
168	отношение к	8	3
169	но что	1	3
170	а потому	1	3
171	до конца	4	3
172	культуры не	1	3
173	так же	6	3
174	такого рода	2	3
175	что же	2	3
176	да и	2	3
177	как две	1	3
178	в своем	8	3
179	но с	2	3
180	к тому	5	3
181	культуры в	1	3
182	к этому	1	3
183	не иначе	1	2
184	же как	3	2
185	от которых	1	2
186	должна быть	1	2
187	есть не	5	2
188	мы не	1	2
189	что если	1	2
190	того же	1	2
191	значение и	1	2
192	себе и	2	2
193	народа как	2	2
194	читать в	1	2
195	что нет	3	2
196	его к	1	2
197	к культуре	1	2
198	и те	2	2
199	не к	2	2
200	одной и	2	2
201	подобно тому	2	2
202	не бывает	3	2
203	в другом	1	2
204	и с	3	2
205	входит в	1	2
206	на протяжении	1	2
207	по истории	1	2
208	в прошлом	1	2
209	для них	1	2
210	этого не	1	2
211	должно быть	2	2
212	после этого	1	2
213	она была	1	2
214	и тогда	3	2
215	не мог	3	2
216	будет в	1	2
217	с точки	1	2
218	стоит в	2	2
219	и той	2	2
220	не могли	1	2
221	тому что	4	2
222	в отношении	5	2
223	того как	3	2
224	без остатка	1	2
225	никогда не	18	2
226	ничего не	2	2
227	иной раз	1	2
228	находит себе	1	2
229	до того	1	2
230	не до	2	2
231	от того	3	2
232	у нас	11	2
233	истории не	1	2
234	лежит в	1	2
235	той или	1	2
236	средних веков	1	2
237	и сам	1	2
238	так и	4	2
239	не с	1	2
240	мог бы	1	2
241	для этого	4	2
242	и здесь	6	2
243	и должно	3	2
244	в значительной	1	2
245	во всех	2	2
246	во втором	1	2
247	своему значению	1	2
248	все время	2	2
249	быть и	2	2
250	к какому	1	2
251	своей целью	1	2
252	чем они	1	2
253	или иной	2	2
254	не было	11	2
255	есть лишь	17	2
256	с этим	1	2
257	этого слова	1	2
258	тому как	2	2
259	это есть	2	2
260	самой идеи	1	2
261	но это	8	2
262	которые были	1	2
263	в более	2	2
264	не существует	3	2
265	между ними	1	2
266	у них	4	2
267	бы в	2	2
268	конце концов	1	2
269	мы должны	1	2
270	ни к	1	2
271	центре внимания	1	2
272	с ней	1	2
273	жизни и	6	2
274	это в	1	2
275	я и	2	1
276	оно входит	1	1
277	сам по	2	1
278	себе путь	2	1
279	на самом	1	1
280	только потому	1	1
281	человека к	8	1
282	в стороне	1	1
283	это и	3	1
284	на деле	4	1
285	и последние	1	1
286	права и	1	1
287	ведь и	1	1
288	отношения к	2	1
289	и за	2	1
290	что всякий	3	1
291	очень далеко	1	1
292	ней есть	2	1
293	та же	10	1
294	быть у	1	1
295	который был	2	1
296	в учении	1	1
297	требует от	1	1
298	на практике	1	1
299	которая ведет	2	1
300	для нашей	2	1
301	процесс можно	1	1
302	в xix	1	1
303	он был	9	1
304	на них	1	1
305	в уста	1	1
306	духа обычно	1	1
307	этим не	1	1
308	то третье	1	1
309	только тогда	1	1
310	как в	7	1
311	в новом	1	1
312	важное для	1	1
313	в совершенстве	1	1
314	его сторону	1	1
315	нет и	1	1
316	бы своей	1	1
317	что они	3	1
318	основная мысль	1	1
319	государства и	1	1
320	народа в	1	1
321	как к	2	1
322	склонность к	1	1
323	говорит что	2	1
324	в материал	1	1
325	у разных	1	1
326	то в	2	1
327	идея и	3	1
328	для которого	1	1
329	духа в	2	1
330	из самых	1	1
331	в которой	2	1
332	он в	3	1
333	достоевского в	2	1
334	для дела	1	1
335	опыт и	1	1
336	раз в	1	1
337	и тот	2	1
338	только один	1	1
339	говорят о	1	1
340	во многих	1	1
341	на то	1	1
342	если он	2	1
343	но на	2	1
344	ответом на	1	1
345	на его	2	1
346	перестает быть	1	1
347	как часто	1	1
348	он должен	1	1
349	есть один	2	1
350	европейской культуры	1	1
351	как момент	1	1
352	этом втором	1	1
353	что все	5	1
354	они должны	1	1
355	им как	1	1
356	нем есть	6	1
357	говорил что	1	1
