N	3gram	Tiupa_Lite_3	Morfolog
1	в связи с	1	8
2	не может быть	3	8
3	подобно тому как	2	5
4	по отношению к	4	4
5	с точки зрения	3	4
6	с другой стороны	2	4
7	тем не менее	1	4
8	на самом деле	1	3
9	состоит в том	2	2
10	более или менее	1	2
11	начинается с того	1	2
12	с одной стороны	4	2
13	на первый взгляд	1	2
14	которое может быть	1	2
15	с того что	1	2
16	для того чтобы	1	2
17	в том что	4	2
18	хотя и не	1	1
19	по собственному усмотрению	1	1
20	уже не может	1	1
21	это уже не	1	1
22	о том как	1	1
23	что иное как	1	1
24	и там где	1	1
25	как бы в	1	1
26	так как мы	1	1
27	со всеми другими	1	1
28	бы то ни	2	1
29	но это не	1	1
30	и не всегда	1	1
31	который может быть	1	1
32	там где есть	1	1
33	в данном случае	4	1
34	в целом и	2	1
35	другой стороны у	1	1
36	что несмотря на	1	1
37	то же время	7	1
38	а и в	2	1
39	то что ему	2	1
40	на свое место	1	1
41	о том что	4	1
42	той или иной	2	1
43	на то что	2	1
44	в то же	7	1
45	к тому что	1	1
46	не что иное	1	1
