N	4gram	Vygotskiy__7	VLabPisa
1	в этом и заключается	1	2
2	и не может быть	1	2
3	одном и том же	1	2
4	с одной стороны и	3	2
5	в том числе и	1	2
6	только в том что	1	1
7	это и есть то	1	1
8	прямо и непосредственно как	1	1
9	одно и то же	3	1
10	и вместе с тем	2	1
11	с этой точки зрения	4	1
12	проявляется не только в	1	1
13	не чем иным как	2	1
14	после всего сказанного выше	1	1
15	не удивительно поэтому что	1	1
16	об одном и том	1	1
17	ни в какой мере	2	1
18	в то время как	2	1
19	свести к двум основным	1	1
20	но вместе с тем	1	1
21	нет и не может	1	1
22	одну и ту же	1	1
23	говорят об одном и	1	1
24	так же как и	1	1
25	приводит к тому что	2	1
26	в какой мере не	2	1
