N	3gram	Ircho_Kome_3	FransuaR
1	в то же	4	6
2	то же время	4	6
3	с точки зрения	3	5
4	до сих пор	9	4
5	в этом отношении	2	3
6	с одной стороны	3	3
7	в свое время	1	3
8	о том что	4	3
9	с другой стороны	2	3
10	можно сказать что	1	2
11	и его современники	1	2
12	имеем в виду	1	2
13	сих пор еще	1	2
14	и последующих веков	1	2
15	мы еще вернемся	1	2
16	и в то	1	2
17	по сравнению с	2	2
18	во всяком случае	3	2
19	во время его	1	2
20	но все же	2	2
21	подобно тому как	1	2
22	в г в	1	1
23	и без всякого	1	1
24	по отношению к	3	1
25	уже чем она	1	1
26	в настоящее время	1	1
27	в том же	1	1
28	одной стороны и	1	1
29	и не может	1	1
30	в первую очередь	1	1
31	и без того	1	1
32	в том чтобы	1	1
33	далеко не всегда	1	1
34	таким образом и	1	1
35	в конце концов	2	1
36	так и в	1	1
37	и в отношении	1	1
38	линии в развитии	1	1
39	в самом его	1	1
40	друг с другом	1	1
41	меньше чем в	1	1
42	и в силу	1	1
43	не могла не	1	1
44	в этом случае	2	1
45	относится к числу	1	1
46	мы имеем в	1	1
47	на то что	1	1
48	после того как	1	1
49	вовсе не является	1	1
50	для того чтобы	6	1
51	в том что	9	1
52	не нуждается в	1	1
