N	2gram	Losev_Vlad_1	FransuaR
1	и в	31	40
2	то есть	3	18
3	и его	7	17
4	прежде всего	1	16
5	в этом	14	15
6	мы уже	7	13
7	не только	24	13
8	в его	12	13
9	и не	17	13
10	вовсе не	5	12
11	что в	14	12
12	как и	4	11
13	но и	19	11
14	таким образом	3	10
15	как мы	9	10
16	он не	10	9
17	в них	2	9
18	может быть	6	9
19	и все	4	9
20	и до	2	8
21	той же	2	8
22	и на	3	8
23	отношение к	3	8
24	все эти	3	8
25	и с	14	8
26	во время	3	8
27	в эпоху	1	8
28	в том	11	8
29	у него	15	8
30	но в	12	8
31	то же	6	7
32	в своем	4	7
33	он и	6	7
34	в одном	1	7
35	во всех	1	6
36	в самом	2	6
37	в этих	1	6
38	в то	8	6
39	же время	4	6
40	связи с	1	6
41	связь с	1	6
42	и других	2	6
43	мы еще	1	6
44	до конца	1	6
45	он говорит	2	6
46	в своей	4	6
47	к этому	6	6
48	в году	30	5
49	в нем	4	5
50	со всеми	1	5
51	так сказать	1	5
52	и для	2	5
53	в особенности	4	5
54	те же	1	5
55	связаны с	1	5
56	в литературе	1	5
57	для него	7	5
58	то что	18	5
59	не было	5	5
60	а не	1	5
61	в связи	3	5
62	как раз	7	5
63	в своих	5	5
64	также и	10	4
65	жизни и	5	4
66	в ней	1	4
67	в истории	4	4
68	в нашем	4	4
69	жизнью и	1	4
70	было бы	2	4
71	ни в	2	4
72	том что	14	4
73	в их	1	4
74	даже в	2	4
75	того чтобы	2	4
76	в области	1	4
77	у нас	6	4
78	о том	11	4
79	и о	2	4
80	так в	1	4
81	роль в	1	4
82	особенно в	1	4
83	и здесь	3	4
84	а также	5	4
85	и во	1	4
86	один из	4	4
87	только на	3	4
88	из них	2	4
89	так как	8	4
90	в париже	2	4
91	и даже	15	4
92	и потому	6	4
93	в данном	1	4
94	с года	1	4
95	в основном	1	4
96	все это	5	4
97	видно что	5	4
98	в заключение	1	4
99	самом деле	1	3
100	на самом	1	3
101	и есть	1	3
102	поэтому он	1	3
103	он был	14	3
104	с его	11	3
105	по отношению	1	3
106	в этой	4	3
107	кроме того	7	3
108	и как	4	3
109	и к	6	3
110	в себе	4	3
111	в свет	1	3
112	при этом	2	3
113	об этом	7	3
114	на протяжении	1	3
115	их в	1	3
116	вплоть до	1	3
117	в таких	1	3
118	дело не	2	3
119	одна из	1	3
120	во всем	4	3
121	и мысли	1	3
122	о нем	7	3
123	начиная с	2	3
124	но все	1	3
125	правда не	1	3
126	здесь не	3	3
127	еще в	4	3
128	если бы	1	3
129	никак не	4	3
130	в значительной	1	3
131	связь между	1	3
132	что и	5	3
133	во всей	1	3
134	еще не	2	3
135	только в	9	3
136	так и	6	3
137	в начале	3	3
138	одно из	1	3
139	в конце	9	3
140	тем что	2	3
141	в других	1	3
142	для того	2	3
143	сказать что	7	3
144	жизнь в	2	3
145	его биографии	1	3
146	в частности	2	3
147	не может	6	3
148	вместе с	3	3
149	как в	3	3
150	такого рода	4	3
151	весь этот	1	3
152	в более	1	3
153	и от	5	3
154	но это	3	3
155	а в	9	3
156	между ними	1	3
157	к этой	2	3
158	как известно	1	2
159	в обычном	1	2
160	одним из	2	2
161	того же	6	2
162	это и	2	2
163	с в	3	2
164	мы не	1	2
165	большую роль	1	2
166	по адресу	1	2
167	хотя бы	2	2
168	и был	6	2
169	на такой	2	2
170	которые он	1	2
171	на них	1	2
172	не был	5	2
173	но не	3	2
174	тут же	7	2
175	в течение	9	2
176	что он	12	2
177	все же	3	2
178	и той	1	2
179	его к	2	2
180	в этот	4	2
181	в которой	4	2
182	в целом	3	2
183	он в	3	2
184	из этих	2	2
185	выражение в	1	2
186	раз в	1	2
187	в дальнейшем	8	2
188	говорят о	1	2
189	и если	5	2
190	к тем	1	2
191	на его	3	2
192	как он	4	2
193	платона и	3	2
194	и еще	2	2
195	не к	1	2
