N	4gram	Medvedev_F_3	Marksizm
1	бы то ни было	4	8
2	одного и того же	1	5
3	одни и те же	3	5
4	и не может быть	3	4
5	один и тот же	1	3
6	каких бы то ни	1	3
7	в то же время	7	3
8	нет и не может	2	2
9	какого бы то ни	1	2
10	в том числе и	1	2
11	на самом же деле	2	2
12	если мы отвлечемся от	2	2
13	то же самое справедливо	1	2
14	же самое справедливо и	1	2
15	в самом деле ведь	1	2
16	одной и той же	1	2
17	и пр и пр	1	2
18	с точки зрения ее	1	1
19	между первой и второй	1	1
20	лишь для данного высказывания	2	1
21	какой бы то ни	1	1
22	и быть не могло	1	1
23	быть не могло в	1	1
24	в неразрывной связи со	1	1
25	в пределах индивидуального организма	1	1
26	в процессе их взаимодействия	1	1
27	потому в нем нет	1	1
28	с точки зрения самого	2	1
29	иначе и быть не	1	1
30	не выходит за пределы	1	1
31	во-первых с точки зрения	1	1
32	в аналогичном положении находится	1	1
33	эпохи и данной социальной	1	1
34	обстоит дело и в	1	1
35	же обстоит дело и	1	1
36	слова и его значением	1	1
37	совершается в неразрывной связи	2	1
38	что же касается до	1	1
39	условия для того чтобы	1	1
40	и потому в нем	1	1
41	друг друга во времени	1	1
42	и данной социальной группы	1	1
43	не значит конечно что	1	1
44	с другой стороны и	1	1
45	так же обстоит дело	1	1
46	отнюдь не следует что	1	1
47	с этой точки зрения	1	1
48	это не значит конечно	1	1
49	субъективного сознания и психики	1	1
50	данной эпохи и данной	1	1
51	все более и более	1	1
52	то мы окажемся перед	1	1
53	может быть понято и	1	1
54	как бы ни была	1	1
55	упускается из виду что	1	1
56	в неразрывной связи с	1	1
57	одним и тем же	2	1
