N	2gram	Berdyaev_N_1	Poddanst
1	не только	5	17
2	и в	16	14
3	и не	11	12
4	в области	1	11
5	в этом	7	10
6	но в	2	9
7	в том	8	9
8	хотя бы	2	8
9	только в	1	7
10	в то	2	7
11	в судьбах	2	6
12	в ней	5	6
13	xix века	5	6
14	было бы	1	6
15	но и	3	6
16	быть может	4	6
17	в смысле	2	6
18	россии в	1	5
19	с другой	3	5
20	может быть	7	5
21	и пр	3	5
22	не в	6	5
23	на путях	2	4
24	а также	1	4
25	россии и	1	4
26	в своем	1	4
27	и к	5	4
28	но также	1	4
29	том что	2	4
30	не может	16	4
31	и потому	4	4
32	в котором	1	4
33	по себе	1	4
34	что в	9	4
35	мы должны	1	4
36	а в	2	4
37	то что	4	4
38	мы не	2	3
39	это не	4	3
40	хотя и	2	3
41	с одной	2	3
42	в себе	2	3
43	в нем	5	3
44	сами по	1	3
45	в россии	3	3
46	для того	1	3
47	прежде всего	4	3
48	одной стороны	2	3
49	с тем	3	3
50	что мы	1	3
51	россия в	1	3
52	но не	2	3
53	наряду с	3	3
54	могут быть	2	3
55	потому что	4	3
56	нужно помнить	1	2
57	и это	2	2
58	в ее	3	2
59	переход от	1	2
60	и есть	10	2
61	в мире	3	2
62	в xix	1	2
63	в значительной	1	2
64	во всех	3	2
65	в которую	1	2
66	говорить о	1	2
67	от европы	1	2
68	в русском	2	2
69	русской революции	2	2
70	с этим	2	2
71	xix век	2	2
72	помнить что	2	2
73	духа и	3	2
74	к чему	1	2
75	думать что	2	2
76	есть в	2	2
77	в его	1	2
78	из них	1	2
79	не к	2	2
80	в силу	1	2
81	в последние	1	2
82	в статье	1	2
83	и с	2	2
84	и мы	4	2
85	мира с	1	2
86	в жизни	5	2
87	для них	1	2
88	в них	4	2
89	не было	4	2
90	а не	17	2
91	должно быть	4	2
92	в эту	1	2
93	не столько	1	2
94	духовную жизнь	1	2
95	хозяйства и	1	2
96	творчества и	1	2
97	культуры в	5	2
98	не менее	4	2
99	все это	5	2
100	одна из	2	2
101	русский народ	1	2
102	мира нового	1	2
103	заключает в	1	2
104	в недрах	1	2
105	как на	1	2
106	том числе	1	2
107	которых не	2	1
108	ушла от	1	1
109	от этой	1	1
110	россию и	1	1
111	также что	1	1
112	же как	2	1
113	коммунистической партии	1	1
114	и через	1	1
115	связана с	2	1
116	века но	2	1
117	христианского мира	1	1
118	духа есть	1	1
119	во времена	1	1
120	культуры и	7	1
121	по преимуществу	1	1
122	к жизни	3	1
123	культуры на	1	1
124	должна быть	3	1
125	стремиться к	2	1
126	был и	1	1
127	на нее	1	1
128	от истины	1	1
129	на заре	1	1
130	не с	1	1
131	по природе	1	1
132	века как	1	1
133	еще в	1	1
134	в эпоху	9	1
135	для этого	2	1
136	духовной и	1	1
137	верим в	1	1
138	оно есть	1	1
139	на себя	1	1
140	с ее	5	1
141	не означает	3	1
142	и что	2	1
143	государство и	2	1
144	еще не	3	1
145	и на	2	1
146	мира а	2	1
147	о тайнах	1	1
148	с его	6	1
149	вопросу о	1	1
150	россию от	1	1
151	отличие от	1	1
152	востока и	1	1
153	в истории	3	1
154	так будет	1	1
155	государства и	4	1
156	и мир	1	1
157	известном смысле	1	1
158	у в	1	1
159	должен быть	5	1
160	и греческой	1	1
161	духовная почва	1	1
162	и такое	1	1
163	духа в	2	1
164	в самом	1	1
165	в которой	1	1
166	во времени	1	1
167	их не	1	1
168	вопрос об	1	1
169	из этих	1	1
170	в эти	1	1
171	себя в	2	1
172	в известном	1	1
173	переходит в	1	1
174	что его	1	1
175	мира но	1	1
176	уже в	1	1
177	в большинстве	1	1
178	и государства	1	1
179	эпоха когда	1	1
180	в мир	1	1
181	не могла	2	1
182	народ русский	2	1
183	мир в	1	1
184	социализма в	1	1
185	считают себя	1	1
186	и иерархии	1	1
187	иная форма	1	1
188	и жизненной	1	1
189	в существе	1	1
190	последние годы	1	1
191	к ним	3	1
192	друг друга	1	1
193	и только	1	1
194	и ныне	1	1
195	с собой	1	1
196	не хотим	2	1
197	от нее	1	1
198	и духовные	1	1
199	не были	1	1
200	возможно что	1	1
201	ней и	1	1
202	к духу	2	1
203	из всех	1	1
204	большинстве случаев	1	1
205	связаны с	2	1
206	жизни народа	1	1
207	и быть	1	1
208	весь мир	1	1
209	было и	1	1
210	в природе	2	1
211	и целиком	1	1
212	что не	1	1
213	в это	1	1
214	обратиться к	1	1
215	с богом	1	1
216	к более	2	1
217	в этой	1	1
218	и техники	1	1
219	как и	7	1
220	как ни	1	1
221	философской мысли	1	1
222	европу и	1	1
223	и еще	1	1
224	эту эпоху	1	1
225	формах и	1	1
226	всемирной истории	2	1
227	но до	1	1
228	что истина	1	1
229	экономический материализм	1	1
230	бытия как	1	1
231	так же	2	1
232	и особенно	1	1
233	в извращенной	1	1
234	всяком случае	1	1
235	хозяйственной жизни	2	1
236	место в	2	1
237	одна сторона	1	1
238	в отличие	1	1
239	мысли и	2	1
240	партии в	1	1
241	вопрос о	3	1
242	есть проблема	1	1
243	духовного мира	2	1
244	эти черты	1	1
245	и более	1	1
246	в прошлом	3	1
247	приобщается к	1	1
248	о русском	1	1
249	распадается на	1	1
250	может идти	1	1
251	и вся	1	1
252	и очень	1	1
253	нет никакого	1	1
254	до которых	1	1
255	в формах	1	1
256	xviii века	2	1
257	стремление к	2	1
258	она не	3	1
259	не будут	2	1
260	есть прежде	1	1
261	но для	2	1
262	этом смысле	2	1
263	она должна	1	1
264	церковной иерархии	1	1
265	сельского хозяйства	1	1
266	того чтобы	2	1
267	та или	1	1
268	и скоро	1	1
269	не имеет	4	1
270	никогда не	6	1
271	чтобы понять	1	1
272	народные массы	4	1
273	пр в	1	1
274	или иная	1	1
275	они являются	1	1
276	в наши	3	1
277	другой стороны	2	1
278	в этих	1	1
279	народной стихии	1	1
280	извращенной форме	1	1
281	давно уже	1	1
282	эпоху нашу	1	1
283	нет ничего	1	1
284	в каком	1	1
285	будет с	2	1
286	и национальные	1	1
287	истины от	1	1
288	не та	1	1
289	что все	2	1
290	есть признак	1	1
291	есть и	1	1
292	ни к	2	1
293	числе и	1	1
294	мысли но	1	1
295	к духовному	2	1
296	всего что	1	1
297	к этой	1	1
298	сочетаться с	1	1
299	не есть	3	1
300	вместе с	2	1
301	все еще	1	1
302	капитализм и	2	1
303	который не	1	1
304	во всяком	1	1
305	они не	1	1
306	и личности	1	1
