N	3gram	Bakhtin_Fr_6	Komedia
1	в том что	2	9
2	в то время	1	5
3	с другой стороны	2	5
4	том что он	1	4
5	в конце концов	1	4
6	в одном из	1	4
7	то же время	5	4
8	в то же	5	4
9	по отношению к	1	3
10	в этом отношении	3	3
11	после того как	1	3
12	с одной стороны	4	3
13	о том что	5	3
14	в эти годы	1	2
15	но и в	2	2
16	до сих пор	3	2
17	каждый из них	2	2
18	таким образом в	2	2
19	том что в	1	1
20	между небом и	1	1
21	к земле и	1	1
22	что же касается	1	1
23	в следующем году	1	1
24	другой стороны в	1	1
25	во ii веке	1	1
26	как раз на	1	1
27	более или менее	1	1
28	большей или меньшей	3	1
29	ни в малейшей	1	1
30	и не только	1	1
31	вообще одна из	1	1
32	в зависимости от	1	1
33	вместе с тем	1	1
34	в обоих случаях	1	1
35	сам по себе	1	1
36	он не мог	1	1
37	со всех сторон	1	1
38	еще в одном	1	1
39	именно здесь в	1	1
40	в значительной степени	1	1
41	в этой области	1	1
42	в данном случае	2	1
43	не только в	1	1
44	смысле этого слова	1	1
45	в той же	4	1
46	в чем же	1	1
47	что уже в	1	1
48	веке нашей эры	3	1
49	если они не	1	1
50	дело доходит до	2	1
51	ii веке нашей	1	1
52	поэтому и в	1	1
53	потому что они	1	1
54	до нас не	3	1
55	до наших дней	1	1
56	отношению к людям	1	1
57	как один из	2	1
58	до нашей эры	1	1
59	и прежде всего	2	1
60	в этой же	1	1
61	в большинстве случаев	4	1
62	как мы уже	6	1
63	одном из своих	1	1
64	в предисловии к	1	1
65	для того чтобы	1	1
66	и все это	1	1
67	так и особенно	1	1
68	и тот же	2	1
