N	3gram	Propp_Russ_1	Vladivir
1	в том что	15	10
2	тем не менее	3	9
3	о том что	4	8
4	там же с	1	6
5	вместе с тем	6	6
6	с точки зрения	3	6
7	и в этом	1	5
8	точно так же	1	4
9	в то время	1	4
10	том что в	6	3
11	что и в	1	3
12	в настоящее время	3	3
13	как мы видели	1	3
14	в отличие от	1	3
15	во всяком случае	1	3
16	в таком случае	1	2
17	так же как	1	2
18	и потому что	2	2
19	обращает на себя	1	2
20	на себя внимание	1	2
21	еще и в	1	2
22	в это время	2	2
23	и в том	1	2
24	иметь в виду	1	2
25	что в этом	2	2
26	к тому что	4	2
27	имеет ничего общего	1	2
28	бросается в глаза	1	2
29	ничего общего с	1	2
30	независимо от того	1	2
31	как мы знаем	1	2
32	на то что	1	2
33	на самом же	1	2
34	в этом отношении	1	2
35	в связи с	4	2
36	самом же деле	1	2
37	в себе и	1	2
38	не имеет ничего	1	2
39	в данном случае	1	2
40	мы не можем	3	1
41	можно думать что	1	1
42	его по существу	1	1
43	у греков и	1	1
44	но вместе с	1	1
45	а следовательно и	1	1
46	несмотря на все	1	1
47	с м соловьев	1	1
48	у него нет	1	1
49	вот что пишет	1	1
50	потому что они	1	1
51	в противном случае	1	1
52	значении этого слова	1	1
53	значит что все	1	1
54	и в нашем	1	1
55	в этом случае	5	1
56	сказать что в	1	1
57	такая точка зрения	1	1
58	с тем что	1	1
59	же как и	1	1
60	и не только	1	1
61	мы уже знаем	1	1
62	такой взгляд на	1	1
63	можно было бы	1	1
64	мы не будем	2	1
65	и в своем	1	1
66	не что иное	2	1
67	есть вместе с	1	1
68	что подобного рода	1	1
69	не только в	1	1
70	в нашем сознании	1	1
71	вопрос о том	1	1
72	как будто бы	1	1
73	и в дальнейшем	1	1
74	может быть и	2	1
75	что иное как	2	1
76	эту точку зрения	1	1
77	ни в одном	1	1
78	мы видим что	1	1
79	в виду что	1	1
80	в одно целое	1	1
81	не только на	2	1
82	все же не	2	1
83	кроме того в	1	1
84	быть и не	1	1
85	и с ней	1	1
86	том что это	1	1
87	так как в	1	1
88	потому что он	1	1
89	по этому поводу	2	1
90	ii таким образом	1	1
91	по этому вопросу	1	1
