N	2gram	Kanaev_Sov_1	Analitik
1	не только	4	22
2	и в	7	18
3	как и	6	14
4	в этом	7	14
5	и его	1	13
6	том что	1	12
7	и не	6	12
8	при этом	3	11
9	а в	4	10
10	как бы	4	10
11	что в	2	9
12	может быть	12	9
13	а не	3	9
14	в том	4	9
15	с его	1	8
16	не случайно	1	8
17	и даже	2	8
18	по отношению	1	7
19	в его	2	7
20	с другой	1	7
21	но не	1	7
22	отношению к	1	7
23	еще не	3	6
24	в этой	3	6
25	он не	1	6
26	не в	3	6
27	о том	1	6
28	в начале	1	6
29	того же	1	5
30	той же	2	5
31	мы имеем	1	5
32	в самом	2	5
33	в мире	1	5
34	или иной	2	5
35	уже не	2	5
36	в конце	3	5
37	никогда не	1	5
38	и т.п	1	5
39	в свою	2	5
40	прежде всего	5	5
41	не является	1	5
42	такого рода	2	5
43	в результате	6	5
44	отнюдь не	3	4
45	в своем	1	4
46	и к	3	4
47	таким образом	11	4
48	приводит к	2	4
49	по себе	1	4
50	в одном	3	4
51	не менее	2	4
52	свою очередь	2	4
53	крайней мере	1	4
54	во втором	1	4
55	по крайней	1	4
56	в данном	1	4
57	все же	3	4
58	здесь и	1	3
59	по его	1	3
60	мы не	9	3
61	говорить о	2	3
62	в целом	4	3
63	уже в	3	3
64	но как	1	3
65	если в	1	3
66	с этим	2	3
67	из этих	2	3
68	роль в	2	3
69	то же	3	3
70	в каждом	8	3
71	не будет	1	3
72	его в	1	3
73	точки зрения	12	3
74	все это	3	3
75	в то	1	3
76	только не	1	3
77	ничего не	6	3
78	же время	1	3
79	той или	1	3
80	с ее	1	3
81	данном случае	1	3
82	так в	1	3
83	именно в	1	3
84	было бы	3	3
85	не было	1	3
86	к этому	1	3
87	только к	1	2
88	самом деле	2	2
89	мере в	1	2
90	в первом	3	2
91	по преимуществу	1	2
92	есть не	1	2
93	в ней	1	2
94	во всех	1	2
95	со всеми	2	2
96	конечном счете	1	2
97	отличие от	2	2
98	это и	1	2
99	и той	1	2
100	но в	3	2
101	все эти	5	2
102	в себе	3	2
103	так сказать	2	2
104	на его	2	2
105	что она	3	2
106	в нем	3	2
107	свое время	1	2
108	одной и	1	2
109	и по	2	2
110	это не	4	2
111	несмотря на	1	2
112	с точки	5	2
113	в отличие	2	2
114	от его	1	2
115	тем не	2	2
116	но они	1	2
117	все три	1	2
118	дело в	1	2
119	одна из	3	2
120	без остатка	1	2
121	углом зрения	1	2
122	могут быть	2	2
123	в дальнейшем	4	2
124	те же	1	2
125	осуществляется в	1	2
126	поэтому в	1	2
127	и т.д	3	2
128	в конечном	1	2
129	один из	1	2
130	только в	1	2
131	который как	2	2
132	тот или	2	2
133	с одной	2	2
134	все они	1	2
135	в большинстве	1	2
136	всяком случае	2	2
137	мы можем	6	2
138	одной стороны	1	2
139	и прежде	1	2
140	на эту	1	2
141	там где	1	2
142	не может	17	2
143	вместе с	4	2
144	и потому	3	2
145	когда мы	3	2
146	и для	1	2
147	и от	1	2
148	хотя и	1	2
149	и все	3	2
150	не более	1	2
151	же в	1	2
152	сказать что	1	2
153	совершенно не	2	2
154	в свое	1	2
155	во всяком	2	2
156	как известно	2	1
157	человека и	1	1
158	на самом	1	1
159	и есть	2	1
160	тем же	2	1
161	к другому	1	1
162	и до	1	1
163	на две	3	1
164	не имеют	1	1
165	в зависимости	4	1
166	мы уже	1	1
167	действительную роль	1	1
168	элементы и	1	1
169	готовом виде	1	1
170	и само	1	1
171	вопрос о	4	1
172	что иное	1	1
173	зависимости от	4	1
174	в таком	2	1
175	принадлежит и	1	1
176	между собой	3	1
177	он сам	1	1
178	иное как	1	1
179	на их	2	1
180	мы будем	1	1
181	один и	1	1
182	в гости	1	1
183	идет о	1	1
184	независимо от	1	1
185	каждая из	2	1
186	собственно и	1	1
187	и свою	1	1
188	к чему	2	1
189	не можем	7	1
190	та же	1	1
191	и у	1	1
192	в известном	1	1
193	и тот	1	1
194	вследствие этого	1	1
195	все перечисленные	1	1
196	и еще	1	1
197	свою собственную	2	1
198	окажется всего	1	1
199	какой бы	1	1
200	человека в	1	1
201	совпадают с	1	1
202	а затем	1	1
203	факт что	1	1
204	несколько времени	1	1
205	и может	1	1
206	в другом	1	1
207	жизненной практике	1	1
208	этом смысле	1	1
209	своя собственная	1	1
210	отличать от	1	1
211	только одно	1	1
212	позволяет ему	1	1
213	рядом с	1	1
214	которой он	2	1
215	как целого	1	1
216	должно быть	1	1
217	обратимся к	1	1
218	в один	2	1
219	нужды в	1	1
220	и становится	1	1
221	в эту	1	1
222	этом случае	1	1
223	отчасти в	1	1
224	таким же	1	1
225	это делает	1	1
226	иного типа	1	1
227	времени не	1	1
228	же мы	2	1
229	с ним	1	1
230	у него	2	1
231	свободы и	1	1
232	под углом	1	1
233	к живой	1	1
234	с новой	1	1
235	связи с	1	1
236	у нас	3	1
237	именно таковы	1	1
238	очень часто	1	1
239	не могут	2	1
240	новой силой	1	1
241	что уже	1	1
242	сказано если	1	1
243	что при	2	1
244	со сцены	1	1
245	дальнейшем мы	1	1
246	как мы	2	1
247	то она	1	1
248	из двух	3	1
249	при одном	1	1
250	на них	1	1
251	если бы	1	1
252	другое дело	1	1
253	и должно	1	1
254	выбора не	1	1
255	отдельном случае	5	1
256	одного из	1	1
257	все его	1	1
258	этих двух	2	1
259	или как	1	1
260	жизни но	1	1
261	а потому	1	1
262	отметить что	1	1
263	во всей	1	1
264	и только	1	1
265	каждом отдельном	5	1
266	может иметь	2	1
267	тот же	2	1
268	одной из	1	1
269	при каких	1	1
270	которых в	1	1
271	промежуток времени	1	1
272	да еще	1	1
273	в такого	1	1
274	его и	1	1
275	мы знаем	2	1
276	себе в	1	1
277	и их	1	1
278	ведь это	3	1
279	в целый	1	1
280	вовсе не	1	1
281	случае не	1	1
282	в самый	1	1
