N	3gram	Potebnia_M_3	FransuaR
1	то же время	5	8
2	в то же	5	8
3	как мы уже	1	5
4	более или менее	3	3
5	но и в	4	3
6	для того чтобы	3	3
7	таким образом и	1	3
8	с другой стороны	4	3
9	таким образом в	1	3
10	подобно тому как	2	3
11	один и тот	1	2
12	и в других	1	2
13	с одной стороны	3	2
14	и тот же	1	2
15	не только в	4	2
16	в то время	4	2
17	о том что	1	2
18	как мы видели	1	2
19	можно сказать что	2	1
20	таким образом что	1	1
21	между людьми и	1	1
22	и по этому	1	1
23	и вообще в	1	1
24	и все что	1	1
25	что это и	1	1
26	под одно понятие	1	1
27	дает нам право	1	1
28	мы уже сказали	1	1
29	те же самые	1	1
30	то же самое	1	1
31	одной стороны и	1	1
32	в сущности совершенно	1	1
33	но все это	1	1
34	до сих пор	3	1
35	в чем не	1	1
36	в этом отношении	2	1
37	и то что	1	1
38	и если бы	1	1
39	за то что	1	1
40	со всех сторон	1	1
41	так как все	1	1
42	в том случае	1	1
43	одно и то	5	1
44	и со стороны	1	1
45	то время как	1	1
46	в данном случае	1	1
47	в первый раз	1	1
48	на первый взгляд	1	1
49	смысле этого слова	7	1
50	и то же	5	1
51	так же и	1	1
52	именно тем что	1	1
53	так и в	2	1
54	то же слово	2	1
55	не может быть	3	1
56	далеко не все	3	1
57	в свою очередь	3	1
58	мало того что	1	1
59	мы не знаем	2	1
60	мы еще раз	1	1
61	на самом деле	1	1
62	в буквальном смысле	2	1
63	что одно и	1	1
64	в том что	16	1
65	в разговоре с	1	1
66	что и в	3	1
67	к тому же	1	1
68	в том же	2	1
