N	3gram	Savitsky_P_1	Vladivir
1	в том что	4	9
2	во всяком случае	1	6
3	и то что	1	5
4	можно судить по	1	4
5	более или менее	1	3
6	с точки зрения	3	3
7	в отличие от	1	3
8	в то же	7	3
9	не в том	1	3
10	то же время	7	3
11	в настоящее время	1	2
12	россия и европа	1	2
13	не только в	4	2
14	все существующее в	1	2
15	само по себе	1	2
16	заключается в том	2	2
17	есть для нас	1	1
18	тех пор пока	1	1
19	что в этом	1	1
20	в этом не	1	1
21	ни к чему	1	1
22	чуть ли не	1	1
23	и в частности	1	1
24	в том числе	2	1
25	как никогда раньше	2	1
26	и в то	2	1
27	с богом и	1	1
28	прочим потому что	1	1
29	не было бы	1	1
30	на свои собственные	1	1
31	в собственном смысле	1	1
32	вместе с тем	1	1
33	в тот же	2	1
34	в ней не	2	1
35	но в то	1	1
36	человека с богом	1	1
37	а в с	1	1
38	но в общем	1	1
39	не только как	1	1
40	не может быть	1	1
41	насколько можно судить	1	1
42	далеко не все	1	1
43	что во всех	1	1
44	между прочим потому	1	1
45	до тех пор	1	1
46	то что его	1	1
47	н и е	3	1
48	за то что	1	1
49	в этом смысле	1	1
50	в последние годы	1	1
51	во многих случаях	1	1
52	в сравнении с	3	1
53	для того чтобы	1	1
54	в отрыве от	1	1
55	и т д	1	1
