N	3gram	Bakhtin_Pr_1	Morfolog
1	и т д	1	47
2	в связи с	1	8
3	не может быть	11	8
4	подобно тому как	1	5
5	по отношению к	19	4
6	с точки зрения	6	4
7	а также и	1	4
8	в тех же	1	4
9	с другой стороны	4	4
10	тем не менее	3	4
11	далеко не все	1	3
12	как мы увидим	3	3
13	в первом случае	1	3
14	не могут быть	2	3
15	на самом деле	3	3
16	как и в	1	3
17	там где оно	2	2
18	прежде всего следует	1	2
19	оно может быть	1	2
20	в настоящее время	1	2
21	в таких случаях	1	2
22	ни одной из	1	2
23	и в других	1	2
24	может быть и	1	2
25	то время как	1	2
26	в иных случаях	3	2
27	с одной стороны	3	2
28	на этом явлении	1	2
29	которое может быть	1	2
30	к чему не	1	2
31	в то время	1	2
32	ни к чему	1	2
33	можно показать что	1	2
34	в большинстве случаев	5	2
35	для того чтобы	2	2
36	в том что	3	2
37	и может быть	1	1
38	в подобных случаях	1	1
39	хотя и не	1	1
40	то ни стало	1	1
41	а вовсе не	1	1
42	вторым и третьим	1	1
43	о том как	1	1
44	что иное как	1	1
45	который позволил бы	1	1
46	во что бы	1	1
47	может быть определен	1	1
48	бы они ни	1	1
49	до сих пор	1	1
50	ни в коем	2	1
51	со всеми другими	1	1
52	бы то ни	3	1
53	можно было бы	3	1
54	иногда в тех	1	1
55	дело обстоит не	1	1
56	в противном случае	3	1
57	в коем случае	2	1
58	момент может быть	1	1
59	в применении к	3	1
60	и не с	2	1
61	в данном случае	4	1
62	что бы то	1	1
63	на этот вопрос	1	1
64	на этом основании	1	1
65	не входит в	4	1
66	в некоторых случаях	1	1
67	это было сделано	1	1
68	дало бы возможность	1	1
69	иметь в виду	1	1
70	прежде всего и	1	1
71	могут быть поняты	2	1
72	что далеко не	1	1
73	основе очень многих	1	1
74	как бы они	1	1
75	есть не что	1	1
76	их значения для	1	1
77	то же время	3	1
78	формы с другой	1	1
79	здесь не может	1	1
80	коем случае не	2	1
81	далеко не всегда	3	1
82	то что не	1	1
83	если бы мы	1	1
84	той или иной	2	1
85	можно сказать что	2	1
86	оно как бы	1	1
87	они ни были	1	1
88	на то что	1	1
89	и независимо от	1	1
90	которые могут быть	1	1
91	в другом случае	1	1
92	в то же	3	1
93	в основе очень	1	1
94	к тому что	1	1
95	здесь прежде всего	1	1
96	не что иное	1	1
97	может быть объяснено	1	1
98	это дало бы	1	1
99	тем как в	2	1
