N	3gram	Ircho_Kome_3	FransuaR
1	то же время	4	9
2	в то же	4	9
3	для того чтобы	6	6
4	в том что	9	6
5	в этом отношении	2	5
6	в связи с	3	5
7	в том числе	1	4
8	потому что он	1	3
9	до сих пор	9	3
10	то же самое	3	2
11	сих пор еще	1	2
12	с точки зрения	3	2
13	в отличие от	1	2
14	том числе и	1	2
15	о том как	3	2
16	не нуждается в	1	2
17	в то время	2	2
18	по тому же	1	2
19	можно сказать что	1	2
20	как бы в	1	2
21	друг с другом	1	2
22	к тому же	4	2
23	хотя и не	2	1
24	и в своей	1	1
25	в г в	1	1
26	по отношению к	3	1
27	в самом деле	6	1
28	не упускает случая	1	1
29	во время своего	1	1
30	сих пор не	1	1
31	и в то	1	1
32	рассказывает о том	1	1
33	что он не	2	1
34	на базарной площади	1	1
35	он и не	2	1
36	независимо от того	1	1
37	в основе своей	1	1
38	вместе с тем	3	1
39	только для того	2	1
40	и в частности	1	1
41	здесь нет и	3	1
42	в самом начале	1	1
43	по своему характеру	1	1
44	мы еще вернемся	1	1
45	того чтобы не	1	1
46	взад и вперед	1	1
47	они принадлежат к	1	1
48	в течение всей	1	1
49	но вместе с	1	1
50	и мы можем	1	1
51	дошедших до нас	2	1
52	хотя он и	1	1
53	мы находим у	1	1
54	с тем он	1	1
55	так и в	1	1
56	в свою очередь	6	1
57	о том что	4	1
58	ничего общего с	1	1
59	и речи о	3	1
60	на фоне этих	1	1
61	в конечном счете	2	1
62	и в самом	3	1
63	в своем доме	1	1
64	друг от друга	1	1
65	правда не о	1	1
66	после того как	1	1
67	по этому поводу	1	1
68	тем не менее	3	1
69	так как он	1	1
70	что и в	2	1
71	так же точно	1	1
72	пор не было	1	1
73	именно потому что	2	1
