N	2gram	Savitsky_E_1	VLabPisa
1	таким образом	2	27
2	в этом	12	26
3	и в	37	25
4	и т	1	24
5	не только	18	22
6	может быть	6	21
7	хотя бы	15	20
8	и не	14	19
9	не может	9	17
10	т е	9	17
11	т д	1	15
12	в его	2	15
13	в процессе	4	14
14	этом отношении	3	13
15	в том	11	13
16	прежде всего	9	13
17	в частности	5	12
18	как это	4	12
19	в силу	2	11
20	с другой	7	11
21	из них	3	11
22	в качестве	14	10
23	не могут	2	10
24	о том	3	10
25	то же	15	9
26	что в	21	9
27	об этом	1	9
28	по этому	1	9
29	для него	1	9
30	но и	14	9
31	в своем	14	8
32	все эти	1	8
33	на основании	2	8
34	другой стороны	2	8
35	могут быть	2	8
36	во всех	6	7
37	по отношению	1	7
38	было бы	8	7
39	как и	7	7
40	том что	6	7
41	говорит о	3	7
42	не было	1	7
43	а не	2	7
44	вместе с	2	7
45	же в	2	7
46	более или	1	6
47	в себе	9	6
48	в нем	1	6
49	главным образом	2	6
50	или менее	1	6
51	том же	1	6
52	и его	1	6
53	в то	16	6
54	так и	10	6
55	в порядке	2	6
56	между тем	8	6
57	бы и	3	6
58	то что	6	6
59	в их	11	5
60	очевидно что	3	5
61	все же	1	5
62	в пределах	25	5
63	не в	5	5
64	тому что	1	5
65	же время	14	5
66	связи с	1	5
67	на основе	2	5
68	один из	1	5
69	следует понимать	1	5
70	как бы	6	5
71	не является	3	5
72	в результате	3	5
73	сказать что	4	5
74	только в	9	5
75	с его	1	4
76	в этой	2	4
77	когда он	3	4
78	в самом	4	4
79	что все	2	4
80	в них	3	4
81	даже в	4	4
82	одна из	1	4
83	никогда не	3	4
84	к тому	8	4
85	утверждать что	2	4
86	в ее	8	4
87	можно сказать	4	4
88	с ними	1	4
89	в одном	2	4
90	в связи	1	4
91	основных чертах	1	4
92	в своей	8	4
93	например в	1	3
94	в котором	2	3
95	всего лишь	3	3
96	в основных	1	3
97	в которых	3	3
98	видели что	1	3
99	но как	2	3
100	силу этого	1	3
101	с этим	2	3
102	и как	2	3
103	и к	3	3
104	всех этих	1	3
105	и по	5	3
106	говорить не	1	3
107	далеко не	2	3
108	что не	1	3
109	с тем	3	3
110	мы видели	3	3
111	точки зрения	23	3
112	и ее	1	3
113	одном из	2	3
114	это мы	1	3
115	со своим	1	3
116	сводится к	1	3
117	у нас	1	3
118	она не	2	3
119	и художественное	1	3
120	значительной мере	1	3
121	в значительной	2	3
122	что и	3	3
123	вслед за	6	3
124	в явлении	1	3
125	того что	7	3
126	большей или	1	3
127	или меньшей	1	3
128	этот вопрос	2	3
129	и их	1	3
130	именно в	4	3
131	мы знаем	1	3
132	можно утверждать	2	3
133	так же	9	3
134	некоторые из	1	3
135	и от	3	3
136	или в	2	3
137	бы в	2	3
138	жизни и	2	3
139	как на	3	3
140	ее в	3	3
141	как известно	1	2
142	ту же	1	2
143	также что	1	2
144	также и	7	2
145	чтобы не	1	2
146	связана с	1	2
147	получает в	1	2
148	отдельных элементов	1	2
149	и этот	2	2
150	же как	5	2
151	с более	3	2
152	говорить о	1	2
153	но даже	4	2
154	то это	1	2
155	в ней	4	2
156	меньшей степени	2	2
157	что его	1	2
158	чуть ли	1	2
159	но не	5	2
160	если в	2	2
161	в общем	3	2
162	том числе	1	2
163	относится к	1	2
164	отнюдь не	9	2
165	стороны и	6	2
166	что нет	1	2
167	хотя и	2	2
168	но в	14	2
169	эти положения	1	2
170	производства в	2	2
171	он в	1	2
172	этот процесс	2	2
173	он не	2	2
174	а затем	1	2
175	они должны	1	2
176	заключается в	2	2
177	с другими	2	2
178	в жизни	1	2
179	рассказывает что	1	2
180	который по	1	2
181	и для	3	2
182	всяком случае	3	2
183	которые в	1	2
184	если бы	2	2
185	по себе	4	2
186	можно ли	3	2
187	не менее	1	2
188	тогда когда	2	2
189	того чтобы	6	2
190	а для	1	2
191	на язык	2	2
192	этом процессе	1	2
193	связанное с	1	2
194	в сознании	1	2
195	в области	11	2
196	ли это	3	2
197	от того	1	2
198	некоторых из	1	2
199	ли не	1	2
200	числе и	1	2
201	должны быть	1	2
202	что оно	1	2
203	для того	6	2
204	что при	1	2
205	мысль о	1	2
206	самом понятии	1	2
207	он сам	2	2
208	и даже	6	2
209	бы еще	1	2
210	во всяком	3	2
211	на вопрос	1	2
212	говорит об	1	2
213	лишь в	1	2
214	может не	1	2
215	из себя	1	2
216	от них	3	2
217	во всей	2	2
218	значит что	1	2
219	но с	2	2
220	что даже	1	2
221	с одной	8	2
222	одной из	5	2
223	при помощи	2	2
224	вовсе не	6	2
225	к ним	3	2
226	не о	1	2
227	одной стороны	8	2
228	или иной	4	2
229	даже не	1	2
230	что для	1	2
231	к сожалению	1	2
232	зависит от	1	2
233	что мы	1	2
234	с а	2	2
235	стороны в	2	2
236	начиная с	2	2
237	и потому	5	2
238	в течение	5	2
239	войны и	2	2
240	и некоторые	3	2
241	того или	4	2
242	между прочим	7	2
243	можно было	3	2
244	каждой из	1	2
245	многие из	1	2
246	в точном	1	2
247	мира и	3	2
248	в большей	1	2
249	а в	2	2
250	между ними	2	2
251	понимать как	1	2
252	не быть	1	2
253	отметить что	3	2
254	частности в	2	2
255	в своих	2	2
256	этой точки	5	2
257	речь идет	1	1
258	лежат в	4	1
259	в сфере	3	1
260	сводится именно	1	1
261	исключительно к	1	1
262	бы отчасти	2	1
263	применении к	3	1
264	силы и	1	1
265	же по	1	1
266	оно может	1	1
267	что эти	2	1
268	противном случае	1	1
269	должна быть	2	1
270	и связанное	1	1
271	или ее	1	1
272	поэзии и	1	1
273	смотреть на	1	1
274	дает оснований	1	1
275	точнее и	1	1
276	неизбежно приводит	1	1
277	как мы	5	1
278	что если	2	1
279	это что	1	1
280	вопрос о	4	1
281	сведена к	1	1
282	они могут	1	1
283	именно к	2	1
284	почти все	1	1
285	нельзя ограничиться	1	1
286	в деле	3	1
287	на себя	3	1
288	мы получаем	1	1
289	приходит к	1	1
290	из того	2	1
291	не способен	1	1
292	свою очередь	2	1
293	и то	2	1
294	а другие	1	1
295	соприкосновении с	1	1
296	между собой	2	1
297	быть в	1	1
298	в последних	1	1
299	по своему	7	1
300	формировании и	1	1
301	любой области	1	1
302	значение и	1	1
303	только тогда	1	1
304	протекать в	1	1
305	такое толкование	1	1
306	быть сведена	1	1
307	или иное	1	1
308	в свои	2	1
309	которые не	1	1
310	интересно сопоставить	1	1
311	в известном	3	1
312	в истории	2	1
313	которого имеет	1	1
314	что во	1	1
315	кроме того	1	1
316	целый ряд	2	1
317	что по	1	1
318	и наконец	2	1
319	сказал бы	1	1
320	того обстоятельства	1	1
321	не являются	1	1
322	или иную	3	1
