N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	56
2	в его	10	18
3	таким образом	19	17
4	все эти	3	15
5	в этом	34	14
6	в том	31	13
7	так и	1	13
8	он был	1	12
9	в то	5	12
10	и его	5	12
11	то же	8	11
12	вещей и	1	11
13	в них	4	11
14	в этих	3	11
15	и т.п	1	11
16	до конца	3	11
17	как бы	5	11
18	и до	2	10
19	мы уже	1	10
20	еще не	4	10
21	же время	5	10
22	в эпоху	1	10
23	в самом	12	9
24	и не	13	9
25	только в	13	9
26	но и	5	9
27	в сущности	3	8
28	во всех	2	8
29	не только	21	8
30	в нем	13	8
31	и с	2	8
32	и даже	5	8
33	до сих	5	8
34	и др	2	8
35	по своему	5	8
36	сих пор	5	8
37	все это	6	8
38	том что	26	8
39	и на	3	7
40	как мы	9	7
41	у него	1	7
42	в частности	3	7
43	той же	4	6
44	в ее	11	6
45	в этой	3	6
46	но в	10	6
47	на его	1	6
48	своего времени	1	6
49	точки зрения	7	6
50	языка и	12	6
51	вовсе не	6	6
52	мы видим	1	6
53	связи с	3	6
54	прежде всего	8	6
55	в той	7	6
56	и все	1	6
57	потому что	14	6
58	одним из	5	5
59	но не	7	5
60	так сказать	1	5
61	мы видели	2	5
62	во время	1	5
63	в отношении	2	5
64	своего рода	3	5
65	никогда не	3	5
66	в области	4	5
67	один из	6	5
68	ни с	2	5
69	не было	1	5
70	как и	5	5
71	это были	1	5
72	в результате	3	5
73	что в	11	5
74	есть и	4	5
75	и другие	1	5
76	они не	1	5
77	например в	2	4
78	в ней	3	4
79	и к	1	4
80	в которой	1	4
81	что это	3	4
82	в себе	4	4
83	при этом	3	4
84	что все	1	4
85	литературного языка	1	4
86	и ее	4	4
87	и более	1	4
88	одна из	2	4
89	того чтобы	21	4
90	во всем	2	4
91	в духе	1	4
92	наконец в	1	4
93	собственных имен	1	4
94	того времени	1	4
95	вещи и	1	4
96	времени и	4	4
97	и которые	1	4
98	к языку	1	4
99	и других	3	4
100	о том	15	4
101	язык в	1	4
102	с одной	4	4
103	в качестве	7	4
104	так как	13	4
105	в особенности	4	4
106	в изображении	1	4
107	в свете	1	4
108	в своих	2	4
109	в их	11	3
110	меньшей степени	1	3
111	время в	2	3
112	не просто	4	3
113	связи и	1	3
114	в своем	3	3
115	кроме того	1	3
116	его к	2	3
117	в свет	1	3
118	главным образом	1	3
119	слова и	1	3
120	ведь в	1	3
121	здесь нет	4	3
122	не мог	2	3
123	имен и	1	3
124	не в	8	3
125	но он	1	3
126	языков и	2	3
127	в таких	1	3
128	новое и	1	3
129	на рубеже	2	3
130	казалось бы	2	3
131	в форме	2	3
132	другом месте	2	3
133	рядом с	2	3
134	и был	2	3
135	и о	1	3
136	в другом	3	3
137	и т.д	4	3
138	настоящее время	1	3
139	а также	3	3
140	времени в	3	3
141	между тем	8	3
142	в литературе	1	3
143	большей или	2	3
144	как например	5	3
145	одной из	3	3
146	так что	5	3
147	уже не	5	3
148	мы находим	1	3
149	что и	3	3
150	может быть	24	3
151	здесь в	1	3
152	к которому	1	3
153	или меньшей	2	3
154	еще и	3	3
155	более того	1	3
156	не на	1	3
157	сказать что	5	3
158	с помощью	1	3
159	на эту	1	3
160	в первой	1	3
161	в связи	2	3
162	в настоящее	1	3
163	бы в	1	3
164	в большей	7	3
165	то что	17	3
166	также и	16	2
167	и то	5	2
168	самом деле	6	2
169	на самом	1	2
170	в средние	1	2
171	на две	1	2
172	что эти	1	2
173	др в	1	2
174	действительности и	1	2
175	был и	1	2
176	мы не	2	2
177	бы то	1	2
178	взгляде на	2	2
179	с другой	8	2
180	совсем не	3	2
181	значение и	2	2
182	себе и	2	2
183	того они	1	2
184	в центре	4	2
185	и языки	1	2
186	как к	1	2
187	хотя и	3	2
188	и как	9	2
189	в действительности	1	2
190	бы и	2	2
191	языка а	2	2
192	с их	5	2
193	и те	2	2
194	что она	3	2
195	ни было	1	2
196	в виде	4	2
197	не как	3	2
198	но дело	3	2
199	так например	6	2
200	его в	6	2
201	и была	1	2
202	с тем	6	2
203	он и	2	2
204	несмотря на	2	2
205	для него	1	2
206	теснейшим образом	1	2
207	и при	2	2
208	в своей	4	2
209	в котором	4	2
210	с точки	2	2
211	в которых	6	2
212	если бы	2	2
213	не могли	2	2
