N	3gram	Nazirov_Tv_2	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	мы уже говорили	1	7
4	в том что	2	6
5	той или иной	1	5
6	до сих пор	3	4
7	в отличие от	2	4
8	нужно сказать что	1	4
9	сих пор еще	1	3
10	в известной мере	2	3
11	в применении к	1	3
12	так и не	1	3
13	и прежде всего	1	3
14	дело в том	1	2
15	при всей их	1	2
16	на этот вопрос	2	2
17	и в том	1	2
18	так и в	2	2
19	и в литературе	1	2
20	противоречиво сочетается с	1	1
21	но прежде всего	2	1
22	нет и не	1	1
23	и он всегда	1	1
24	в чем же	1	1
25	и всякого рода	1	1
26	по отношению к	3	1
27	в самом деле	2	1
28	в xix веке	2	1
29	рядом с ним	1	1
30	стерна и жан-поля	1	1
31	в дальнейшем мы	1	1
32	имеет в виду	1	1
33	и не может	2	1
34	в этой борьбе	1	1
35	сами по себе	1	1
36	при этом что	1	1
37	и не стал	1	1
38	несмотря на его	1	1
39	но как бы	1	1
40	человека в его	1	1
41	то или иное	1	1
42	так сказать в	1	1
43	то есть его	1	1
44	но в то	1	1
45	xix века в	1	1
46	это прежде всего	2	1
47	в xx веке	1	1
48	годов xix века	1	1
49	но при этом	1	1
50	по нашему мнению	4	1
51	в известном смысле	1	1
52	не могут быть	1	1
53	в связи с	1	1
54	во всяком случае	2	1
55	в целом ряде	1	1
56	с другой стороны	2	1
57	не может быть	3	1
58	как и всякая	1	1
59	то же время	7	1
60	так например в	1	1
61	в нем нет	1	1
62	и особенно в	1	1
63	он направлен на	1	1
64	в одном из	2	1
65	это тем что	1	1
66	и превращается в	1	1
67	именно потому что	1	1
68	он еще не	2	1
69	в частности с	1	1
70	и многое другое	2	1
71	в то же	7	1
72	это не просто	1	1
73	но это не	1	1
74	в какой-то мере	1	1
75	к тому же	1	1
76	в духе романтического	1	1
