N	3gram	Bakhtin_Pr_1	Psycholo
1	для того чтобы	1	19
2	в том что	6	12
3	все то что	3	11
4	о том что	1	10
5	в самом деле	2	7
6	то же самое	1	6
7	что в нем	1	5
8	к тому что	1	5
9	на самом деле	4	5
10	с самого начала	1	5
11	с точки зрения	13	4
12	можно было бы	2	4
13	друг с другом	1	4
14	том что он	4	3
15	сами по себе	3	3
16	то что в	1	3
17	точно так же	1	3
18	и что в	1	3
19	так же как	1	3
20	в конце концов	5	3
21	и в этом	5	3
22	во всяком случае	3	3
23	заключается в том	1	3
24	это и есть	1	3
25	и т п	3	3
26	до сих пор	2	3
27	сама по себе	1	3
28	потому что он	1	2
29	мире в этом	1	2
30	и в частности	1	2
31	то время как	1	2
32	он знает что	1	2
33	в какой бы	1	2
34	с другой стороны	3	2
35	именно в том	1	2
36	в этом рассказе	1	2
37	таким образом в	1	2
38	что может быть	2	2
39	в то время	1	2
40	может быть это	1	2
41	не только не	1	2
42	что это не	1	2
43	было бы сказать	1	2
44	и т д	1	2
45	и в сущности	2	1
46	что в результате	1	1
47	то что должно	1	1
48	мы уже говорили	1	1
49	в драме и	1	1
50	какой бы то	1	1
51	том что это	1	1
52	по отношению к	8	1
53	подобно тому как	3	1
54	он может быть	2	1
55	мы должны перейти	1	1
56	в том и	1	1
57	бы герой был	1	1
58	же как и	1	1
59	он все же	1	1
60	он делает в	1	1
61	тому что в	1	1
62	смысл и тон	1	1
63	в той же	2	1
64	бы то ни	2	1
65	что все эти	1	1
66	не было бы	1	1
67	только то что	2	1
68	но он не	1	1
69	и другом случае	1	1
70	что она не	3	1
71	том и другом	1	1
72	то же время	9	1
73	и не может	2	1
74	если бы герой	1	1
75	на этот вопрос	1	1
76	что весь этот	1	1
77	в которой раскрывается	1	1
78	вот что говорит	1	1
79	все это в	1	1
80	то что может	1	1
81	между материалом и	1	1
82	всего романа в	1	1
83	ни в одном	1	1
84	в художественном произведении	1	1
85	то ни было	1	1
86	на первый взгляд	1	1
87	и в то	2	1
88	это не так	1	1
89	которая нашла свое	1	1
90	с ним и	2	1
91	в свою очередь	1	1
92	в нашем анализе	1	1
93	перед нами в	1	1
94	потому что именно	1	1
95	дело в том	1	1
96	друг к другу	1	1
97	прямо сказать что	1	1
98	но только в	1	1
99	а не только	1	1
100	в целом ряде	2	1
101	как бы в	2	1
102	тем что в	1	1
103	что мы видим	1	1
104	не в одном	1	1
105	придется обращаться к	1	1
106	оно может быть	2	1
107	построения всего романа	1	1
108	ставит нас перед	1	1
109	у него в	1	1
110	не может быть	4	1
111	бы это было	1	1
112	и независимо от	1	1
113	она и не	1	1
114	этой точки зрения	1	1
115	и никогда не	1	1
116	ни одна из	1	1
117	не только в	2	1
118	можно сказать что	1	1
119	это было так	1	1
120	в этом смысле	10	1
121	и есть та	1	1
122	в то же	9	1
123	как мы уже	1	1
124	рядом с этим	1	1
125	даже в пределах	1	1
126	было так то	1	1
127	тому что он	1	1
128	и у него	1	1
129	мире таким образом	1	1
130	и показывает как	1	1
131	героя и его	3	1
132	быть не может	1	1
133	они отрешаются от	1	1
134	если бы это	1	1
135	связи с этой	1	1
136	что и в	1	1
137	она не может	1	1
138	как бы он	1	1
139	точку зрения на	2	1
140	нам кажется что	1	1
141	выходить за пределы	1	1
