N	2gram	Bakhtin_sl_1	Istorich
1	и в	41	26
2	так как	3	18
3	мы имеем	1	14
4	никогда не	3	13
5	потому что	2	13
6	и на	14	12
7	в этом	12	12
8	таким образом	9	12
9	в том	3	12
10	мы видели	1	11
11	может быть	14	11
12	связь с	2	11
13	и т	28	10
14	не только	16	10
15	том что	2	10
16	с другой	5	10
17	и не	16	10
18	еще не	4	9
19	но и	16	9
20	и это	1	8
21	все эти	9	8
22	все же	7	8
23	в нем	30	8
24	т д	5	8
25	на том	2	8
26	с ним	7	8
27	вместе с	1	8
28	другой стороны	4	8
29	например в	2	7
30	но в	8	7
31	и его	14	7
32	о том	3	7
33	с одной	4	7
34	уже не	2	7
35	у него	3	7
36	одной стороны	4	7
37	мы уже	2	6
38	мы не	2	6
39	как в	8	6
40	в ином	1	6
41	так в	2	6
42	и с	4	6
43	в виде	2	6
44	и там	3	6
45	этом случае	2	6
46	в более	1	6
47	не может	14	6
48	то же	14	5
49	в ней	4	5
50	чаще всего	1	5
51	и этим	3	5
52	как и	4	5
53	и эти	2	5
54	и что	1	5
55	же мы	1	5
56	в то	14	5
57	очень часто	1	5
58	так и	11	5
59	в его	13	5
60	мы видим	2	5
61	только в	6	5
62	у нас	2	5
63	там где	4	5
64	его в	3	5
65	как мы	8	4
66	и он	1	4
67	с его	4	4
68	но как	1	4
69	из этих	3	4
70	имеем в	1	4
71	на его	8	4
72	и по	2	4
73	это не	6	4
74	и тем	2	4
75	в очень	1	4
76	но здесь	3	4
77	а также	2	4
78	что и	1	4
79	что между	1	4
80	в других	3	4
81	до сих	2	4
82	прежде всего	8	4
83	как бы	12	4
84	в это	1	4
85	сих пор	2	4
86	у них	2	4
87	но это	1	4
88	есть и	1	4
89	на своем	5	4
90	все что	1	4
91	же как	2	3
92	и через	1	3
93	связана с	2	3
94	и то	2	3
95	почти всегда	3	3
96	тридевять земель	1	3
97	время как	2	3
98	или иное	1	3
99	и наконец	4	3
100	та же	1	3
101	в себе	3	3
102	вообще не	3	3
103	что она	1	3
104	при этом	6	3
105	если бы	1	3
106	за тридевять	1	3
107	в них	6	3
108	в своей	7	3
109	таким же	1	3
110	и ее	3	3
111	в одном	2	3
112	не в	7	3
113	приводят к	1	3
114	она не	3	3
115	на котором	1	3
116	например у	1	3
117	к концу	1	3
118	могут быть	19	3
119	как только	3	3
120	вокруг него	2	3
121	его с	1	3
122	и другие	1	3
123	данном случае	3	3
124	то время	2	3
125	там в	1	3
126	от него	1	3
127	один из	4	3
128	в качестве	3	3
129	так что	2	3
130	и других	3	3
131	от того	1	3
132	и только	1	3
133	со стороны	1	3
134	далеко не	5	3
135	от этого	2	3
136	не было	3	3
137	в частности	2	3
138	в него	3	3
139	к своему	6	3
140	в данном	3	3
141	и от	4	3
142	кроме того	4	3
143	или в	8	3
144	а в	6	3
145	и эта	2	3
146	сказать что	2	3
147	из этого	3	3
148	как на	1	3
149	к этому	2	3
150	они не	1	3
151	только он	1	2
152	ту же	4	2
153	того же	6	2
154	из его	1	2
155	оно может	2	2
156	книге о	1	2
157	всех его	7	2
158	он был	1	2
159	но не	2	2
160	могло быть	1	2
161	а через	1	2
162	в свои	1	2
163	на то	1	2
164	в одной	1	2
165	с этим	3	2
166	в своем	3	2
167	то или	1	2
168	перед нами	4	2
169	целый ряд	1	2
170	в этой	1	2
171	и они	1	2
172	то и	1	2
173	и до	1	2
174	но он	2	2
175	и те	2	2
176	он не	3	2
177	из него	2	2
178	людей и	1	2
179	с этой	3	2
180	можно было	2	2
181	человека в	1	2
182	же не	1	2
183	его не	1	2
184	было бы	3	2
185	смерть и	1	2
186	ни в	1	2
187	ни одной	1	2
188	вовсе не	7	2
189	и некоторые	1	2
190	в эту	2	2
191	в которых	1	2
192	которые в	3	2
193	без всяких	2	2
194	есть еще	1	2
195	однако в	1	2
196	где нет	2	2
197	даже в	2	2
198	которых он	1	2
199	одна из	2	2
200	не могло	3	2
201	зависимости от	3	2
202	отличается от	1	2
203	к тому	3	2
204	например на	1	2
205	живет на	1	2
206	в свое	3	2
207	здесь не	2	2
208	некоторые другие	1	2
209	и сам	3	2
210	этим в	1	2
211	о котором	1	2
212	ничего не	4	2
213	сводится к	1	2
214	в которое	1	2
215	можно сказать	2	2
216	как у	1	2
217	эти два	1	2
218	в форме	1	2
219	все время	3	2
220	того что	3	2
221	или же	1	2
222	именно на	1	2
223	всяком случае	5	2
224	что они	2	2
225	а с	2	2
226	и др	14	2
227	что не	1	2
228	такое понимание	2	2
229	а не	15	2
230	о чем	1	2
231	он и	1	2
232	может иметь	1	2
233	так же	2	2
234	наталкивается на	1	2
235	быть только	2	2
236	стороны и	1	2
237	в уже	1	2
238	и формы	4	2
239	что мы	1	2
240	мы найдем	3	2
241	своем пути	1	2
242	для нас	2	2
243	в этих	2	2
244	смерти в	1	2
245	не есть	2	2
246	но эти	3	2
247	с ними	3	2
248	в последнем	1	2
249	жизни и	1	2
