N	4gram	Bakhtin_fo_2	Myshleni
1	в то время как	1	4
2	друг с другом в	1	2
3	одно и то же	1	2
4	которая в свою очередь	1	2
5	все более и более	1	2
6	ни для чего не	1	1
7	с другой стороны в	1	1
8	и в то же	2	1
9	в наши задачи не	1	1
10	друг с другом с	1	1
11	в том числе и	2	1
12	с этой точки зрения	1	1
13	в то же время	4	1
14	в том что он	1	1
15	все больше и больше	1	1
16	и в этом отношении	1	1
17	на первый план выступает	1	1
18	и пр и пр	1	1
19	мы будем говорить особо	1	1
20	во все стороны мы	1	1
