N	3gram	Trubetskoy_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	8	8
3	в том что	15	6
4	не есть ли	1	4
5	одно и то	1	4
6	и то же	1	4
7	в связи с	3	4
8	только то что	2	4
9	то же время	2	4
10	о том что	4	4
11	с другой стороны	4	4
12	только тогда когда	1	4
13	и может быть	2	3
14	не может не	3	3
15	в самом деле	5	3
16	принять во внимание	2	3
17	в то же	2	3
18	может быть и	4	3
19	то время как	1	3
20	хотя бы это	1	3
21	не может быть	3	3
22	в то время	2	3
23	мы уже знаем	1	3
24	не в состоянии	2	2
25	иметь в виду	1	2
26	более или менее	7	2
27	как бы ни	1	2
28	тогда когда оно	1	2
29	до сих пор	8	2
30	в зависимости от	1	2
31	говоря уже о	1	2
32	как и все	2	2
33	с тех пор	1	2
34	в данном случае	3	2
35	тем не менее	4	2
36	так или иначе	5	2
37	во всяком случае	2	2
38	в широком смысле	1	2
39	та или иная	1	2
40	с самого начала	1	2
41	то же самое	1	2
42	не говоря уже	1	2
43	а потому что	1	1
44	и то что	3	1
45	уже знаем что	1	1
46	что несмотря на	2	1
47	разница будет только	1	1
48	должно быть всякому	1	1
49	которые не могут	1	1
50	к освобождению от	1	1
51	можно представить себе	1	1
52	котором мы только	1	1
53	того что в	1	1
54	это было бы	1	1
55	мы уже сказали	1	1
56	на самом деле	7	1
57	и до сих	1	1
58	в том и	2	1
59	только одно из	1	1
60	которые по своей	2	1
61	в этом пункте	1	1
62	никогда не будет	3	1
63	из двух или	1	1
64	и тем больше	1	1
65	мы находим в	1	1
66	из поставленных выше	2	1
67	и не может	1	1
68	они вовсе не	1	1
69	то что эти	1	1
70	бы то ни	2	1
71	в себе и	1	1
72	совершенно иной чем	2	1
73	говорить о них	1	1
74	точно так же	1	1
75	в одинаковой мере	1	1
76	вместе с тем	2	1
77	так как все	1	1
78	быть если в	1	1
79	и идет по	1	1
80	это может быть	1	1
81	что если это	1	1
82	во внимание что	1	1
83	так же как	3	1
84	не в том	1	1
85	всех указанных выше	1	1
86	и с точки	1	1
87	с одной стороны	2	1
88	на первый взгляд	1	1
89	в конце концов	4	1
90	но при этом	1	1
91	одно из двух	1	1
92	как и вообще	1	1
93	приводит к тому	1	1
94	все же не	3	1
95	от того будет	1	1
96	в нем не	1	1
97	мы уже говорили	1	1
98	я не могу	1	1
99	о котором мы	1	1
100	того будет ли	1	1
101	том и в	1	1
102	и в том	2	1
103	представить себе как	1	1
104	и не очень	1	1
105	есть ли это	1	1
106	именно в том	1	1
107	сливаются в одно	1	1
108	друг с другом	9	1
109	надо сказать что	1	1
110	по сравнению с	5	1
111	заключается в том	2	1
112	то что мы	1	1
113	все эти элементы	1	1
114	во многих отношениях	1	1
115	не забудем что	1	1
116	несмотря на всю	1	1
117	это была самая	1	1
118	не менее в	1	1
119	но все же	2	1
120	несмотря на все	1	1
121	том что все	2	1
122	за то что	1	1
123	до тех пор	1	1
124	ни тем более	1	1
125	которые могут быть	1	1
126	в другом случае	1	1
127	поставленных выше вопросов	2	1
128	такое положение дела	1	1
129	к тому что	1	1
130	поставленного выше вопроса	1	1
131	и в нем	1	1
132	так как из	1	1
133	том что он	2	1
134	нечего и говорить	3	1
135	в целом есть	1	1
136	к тому же	5	1
137	как и та	1	1
138	на задний план	1	1
139	независимо от того	1	1
140	мы только что	1	1
141	и в другом	1	1
