N	2gram	Bakhtin_KF_1	Russkaja
1	не может	27	22
2	и не	26	19
3	в том	6	17
4	в этом	14	17
5	и в	24	14
6	то что	7	13
7	то же	5	11
8	точки зрения	12	11
9	в то	3	10
10	же время	2	10
11	но и	9	10
12	в себе	21	9
13	не только	5	9
14	том что	4	9
15	с точки	9	9
16	может быть	45	9
17	во всяком	1	9
18	того чтобы	2	8
19	прежде всего	2	8
20	самом деле	3	7
21	отнюдь не	6	7
22	и с	1	7
23	в данном	2	7
24	к тому	1	7
25	не будет	2	7
26	о том	3	7
27	самого себя	1	7
28	мы должны	1	7
29	ни к	2	7
30	к которой	2	6
31	в своем	16	6
32	и к	1	6
33	с тем	2	6
34	в своих	3	6
35	признать что	1	6
36	если бы	8	6
37	все это	10	6
38	и для	9	6
39	для того	3	6
40	что он	2	6
41	всяком случае	1	6
42	для него	8	6
43	на самом	3	6
44	вопрос о	2	5
45	и на	3	5
46	во всех	11	5
47	на то	1	5
48	в нем	28	5
49	при этом	4	5
50	он не	6	5
51	он должен	1	5
52	было бы	8	5
53	в своей	10	5
54	никогда не	5	5
55	потому что	2	5
56	лишь при	3	5
57	между тем	4	5
58	и только	6	5
59	только в	16	5
60	хотя бы	4	5
61	конечно не	7	5
62	или иной	2	5
63	себя и	2	5
64	из которых	2	5
65	а в	4	5
66	жизни в	5	5
67	и то	2	4
68	бы то	2	4
69	но не	12	4
70	себе и	3	4
71	себя в	8	4
72	все же	5	4
73	не в	12	4
74	в этой	2	4
75	в корне	2	4
76	то ни	2	4
77	том случае	1	4
78	его в	5	4
79	как и	5	4
80	которой он	2	4
81	в их	8	4
82	тогда когда	3	4
83	во всем	7	4
84	а лишь	3	4
85	ли это	2	4
86	от того	3	4
87	приводит к	1	4
88	в мире	6	4
89	и т.д	2	4
90	в его	40	4
91	так как	1	4
92	со стороны	7	4
93	вместе с	1	4
94	он будет	1	4
95	как бы	9	4
96	отказаться от	2	4
97	жизни и	8	4
98	что в	4	4
99	все что	1	4
100	и этот	3	3
101	так чтобы	1	3
102	говорить о	2	3
103	и ни	3	3
104	еще не	4	3
105	в самом	1	3
106	что это	3	3
107	ни одна	2	3
108	главным образом	1	3
109	на том	1	3
110	и по	1	3
111	в другом	3	3
112	лишь в	8	3
113	несмотря на	1	3
114	должно быть	6	3
115	всех этих	3	3
116	можно ли	1	3
117	быть признан	1	3
