N	2gram	Berdyaev_N_1	VerxiiNi
1	и в	16	26
2	с тем	3	18
3	в этом	7	15
4	вместе с	2	15
5	в том	8	11
6	из этих	1	10
7	не только	5	10
8	и с	2	10
9	может быть	7	10
10	в области	1	9
11	так как	1	9
12	но и	3	9
13	что в	9	9
14	но не	2	8
15	и у	1	8
16	с другой	3	8
17	и не	11	8
18	как на	1	8
19	но в	2	7
20	но все	1	7
21	из них	1	7
22	том что	2	7
23	потому что	4	7
24	в эпоху	9	7
25	к нему	1	7
26	с одной	2	7
27	в религиозном	2	7
28	то что	4	7
29	одной стороны	2	7
30	того же	1	6
31	все эти	2	6
32	в себе	2	6
33	религиозного сознания	1	6
34	всяком случае	1	6
35	народной стихии	1	6
36	к тому	3	6
37	так и	2	6
38	о том	4	6
39	в конце	1	6
40	и потому	4	6
41	все это	5	6
42	мы должны	1	6
43	во всяком	1	6
44	сих пор	1	5
45	и к	5	5
46	в силу	1	5
47	в мире	3	5
48	лишь в	6	5
49	не имеет	4	5
50	того чтобы	2	5
51	никогда не	6	5
52	для того	1	5
53	в его	1	5
54	до сих	1	5
55	а не	17	5
56	к жизни	3	5
57	и для	4	5
58	так же	2	5
59	том числе	1	5
60	в котором	1	4
61	в самом	1	4
62	в этой	1	4
63	что все	2	4
64	с другими	1	4
65	он не	8	4
66	бога и	3	4
67	в то	2	4
68	в нем	5	4
69	а в	2	4
70	числе и	1	4
71	и что	2	4
72	и только	1	4
73	только в	1	4
74	к своим	1	4
75	и вместе	1	4
76	ничем не	1	4
77	не может	16	4
78	в смысле	2	4
79	и от	2	4
80	в этих	1	4
81	во время	1	4
82	что он	1	4
83	же как	2	3
84	на западе	1	3
85	из всех	1	3
86	к богу	2	3
87	в своем	1	3
88	и нет	1	3
89	в которой	1	3
90	к достижению	1	3
91	духовной культуры	1	3
92	русского народа	1	3
93	не менее	4	3
94	русский народ	1	3
95	культуры и	7	3
96	на нее	1	3
97	можно сказать	1	3
98	в значительной	1	3
99	хотя бы	2	3
100	уже не	2	3
101	к ним	3	3
102	и даже	2	3
103	связана с	2	2
104	и это	2	2
105	еще не	3	2
106	и на	2	2
107	с его	6	2
108	во всех	3	2
109	силы и	2	2
110	в новом	2	2
111	стихии и	1	2
112	он в	1	2
113	не могла	2	2
114	перестает быть	4	2
115	не к	2	2
116	людей и	1	2
117	заключает в	1	2
118	них не	1	2
119	в них	4	2
120	не всегда	1	2
121	но если	1	2
122	нет для	1	2
123	и сейчас	1	2
124	не в	6	2
125	в россии	3	2
126	в русском	2	2
127	ли это	2	2
128	не могут	1	2
129	выход из	1	2
130	приводит к	1	2
131	культуры на	1	2
132	волю к	3	2
133	в образе	1	2
134	не с	1	2
135	для этого	2	2
136	в виду	1	2
137	а также	1	2
138	должно было	2	2
139	востока и	1	2
140	по своей	1	2
141	для всех	1	2
142	конечно не	3	2
143	уже в	1	2
144	эти черты	1	2
145	свидетельствует о	1	2
146	от бога	6	2
147	эпоху когда	2	2
148	и из	1	2
149	к которому	1	2
150	прежде всего	4	2
151	связано с	1	2
152	превращается в	1	2
153	не было	4	2
154	и все	4	2
155	уже давно	1	2
156	и особенно	1	2
157	и мир	1	2
158	по своему	4	2
159	по существу	2	2
160	что мы	1	2
161	только для	1	2
162	в эту	1	2
163	в свою	1	2
164	связанный с	1	2
165	сказать что	3	2
166	жизни и	8	2
167	народные массы	4	2
168	можно назвать	2	2
169	все что	1	2
170	реакцию против	1	1
171	от этой	1	1
172	в этот	1	1
173	и через	1	1
174	становится в	1	1
175	смысле слова	3	1
176	он может	1	1
177	или к	1	1
178	это и	2	1
179	который можно	1	1
180	и есть	10	1
181	этого мира	1	1
182	и запада	1	1
183	и до	1	1
184	и этот	1	1
185	мы уже	1	1
186	возврат к	6	1
187	мы не	2	1
188	прошлом в	1	1
189	существует что	1	1
190	мир не	1	1
191	совершенно так	1	1
192	духовной и	1	1
193	в сущности	1	1
194	это всегда	1	1
195	время как	2	1
196	оно есть	1	1
197	в будущем	2	1
198	личности с	1	1
199	жизни это	1	1
200	и ночи	2	1
201	в ней	5	1
202	реакцией против	2	1
203	на них	1	1
204	быть в	2	1
205	что его	1	1
206	в чем	1	1
207	культуру и	1	1
208	отличие от	1	1
209	себя в	2	1
210	и духовной	1	1
211	как в	3	1
212	с их	2	1
213	на человека	1	1
214	ей придется	1	1
215	материальные и	1	1
216	с душой	1	1
217	от этого	1	1
218	духовную жизнь	1	1
219	к чему	1	1
220	а во-вторых	1	1
221	не был	1	1
222	то время	1	1
223	бога в	1	1
224	тоже не	1	1
225	думать что	2	1
226	религия и	1	1
227	это связано	2	1
228	вера в	1	1
229	к одному	1	1
230	народ не	1	1
231	и более	1	1
232	целью человека	1	1
233	что она	2	1
234	человека в	1	1
235	жить в	1	1
236	от нее	1	1
237	в одну	2	1
238	к старым	1	1
239	от старого	2	1
240	в духовной	2	1
241	а по	1	1
242	это было	3	1
243	всех народов	1	1
244	это не	4	1
245	было бы	1	1
246	лишь на	1	1
247	мира с	1	1
248	весь мир	1	1
249	в жизни	5	1
250	с богом	1	1
251	ни в	6	1
252	нет в	1	1
253	есть соединение	1	1
254	как и	7	1
255	духовной жизни	2	1
256	должно быть	4	1
257	и того	1	1
258	одного и	1	1
259	перед собой	1	1
260	к тем	1	1
261	в своей	3	1
262	что такое	3	1
263	в такой	1	1
264	богу или	1	1
265	место в	2	1
266	дальнейшее развитие	1	1
267	в отличие	1	1
268	жизни с	1	1
269	к новой	1	1
270	по всем	1	1
271	их в	1	1
272	не могли	2	1
273	не должно	1	1
274	этот мир	2	1
275	по себе	1	1
276	борьбой с	1	1
277	в познании	1	1
278	не по	1	1
279	было лишь	1	1
280	под этим	1	1
281	и весь	2	1
282	они являются	1	1
283	дни и	1	1
284	период истории	1	1
285	другой стороны	2	1
286	замечательно что	1	1
287	культура была	1	1
288	от неба	1	1
289	в каком	1	1
290	у нас	1	1
291	бога но	2	1
292	бог и	1	1
293	когда мы	2	1
294	могут быть	2	1
295	сама жизнь	2	1
296	должны быть	1	1
297	всего что	1	1
298	не есть	3	1
299	на это	1	1
300	для себя	1	1
301	с ее	5	1
302	как не	8	1
303	людей в	1	1
304	в ее	3	1
305	бога то	2	1
306	роль в	2	1
307	с собой	1	1
308	на путь	1	1
309	запада и	1	1
310	с ним	1	1
311	стремление к	2	1
312	что оставалось	1	1
313	как существо	1	1
314	и должно	2	1
315	то они	1	1
316	еще при	1	1
317	времени в	2	1
318	и во	1	1
319	видел не	1	1
320	все в	1	1
321	в которую	1	1
322	всю духовную	1	1
323	научного метода	1	1
324	не удалось	1	1
325	и счастья	1	1
326	совсем не	12	1
327	друг друга	1	1
328	она скорее	1	1
329	их не	1	1
330	и его	1	1
331	она оказалась	1	1
332	мира то	1	1
333	силы а	1	1
334	есть проблема	1	1
335	вернуться к	2	1
336	и их	1	1
337	человек поставивший	1	1
338	не означает	3	1
339	сами по	1	1
340	не для	1	1
341	про него	1	1
342	привела к	1	1
343	бытия и	1	1
344	у него	2	1
345	тем что	1	1
346	перед ними	1	1
347	характерны для	1	1
348	и духовные	1	1
349	перейти к	3	1
350	до начала	1	1
351	не были	1	1
352	возможно что	1	1
353	ней и	1	1
354	не собирается	2	1
355	нельзя сказать	1	1
356	сам себя	1	1
357	бытия в	2	1
358	новой истории	67	1
359	социальной жизни	1	1
360	и пр	3	1
361	зависит от	2	1
362	человеческой жизни	1	1
363	жизнь в	1	1
364	в космосе	1	1
365	одну из	1	1
366	когда она	1	1
367	эту эпоху	1	1
368	все более	1	1
369	к лицу	3	1
370	нет ничего	1	1
371	эти слова	1	1
372	хозяйственной жизни	2	1
373	форме он	1	1
374	воли к	4	1
375	с этим	2	1
376	у христианских	1	1
377	лицом к	3	1
378	в той	1	1
379	это есть	7	1
380	человека и	3	1
381	получает свое	1	1
382	культуры мы	1	1
383	призыв к	2	1
384	такой же	2	1
385	но это	6	1
386	помнить что	2	1
387	но для	2	1
388	видят в	1	1
389	в наше	3	1
390	материальной культуре	1	1
391	убеждения в	1	1
392	основанная на	1	1
393	совершается в	1	1
394	не существует	3	1
395	т.е к	1	1
396	в христианстве	1	1
397	мира и	2	1
398	это уже	1	1
399	ни к	2	1
400	все они	2	1
401	в чудовищных	1	1
402	давно уже	1	1
403	к ее	3	1
404	не осталось	1	1
405	лишь по	1	1
406	существования и	1	1
407	жизни а	1	1
408	культуры в	5	1
409	людей но	1	1
410	к этой	1	1
411	значение в	1	1
412	как результат	1	1
413	они не	1	1
