N	2gram	Bakhtin_KF_1	DiskursI
1	в себе	21	19
2	при этом	4	17
3	в этом	14	16
4	как и	5	16
5	и в	24	16
6	в качестве	2	16
7	может быть	45	16
8	и не	26	15
9	а не	17	14
10	то есть	1	12
11	и т.п	1	12
12	но в	5	11
13	в мире	6	11
14	но и	9	11
15	со стороны	7	10
16	не только	5	10
17	том что	4	10
18	так и	2	9
19	не может	27	9
20	как в	2	8
21	в том	6	8
22	но не	12	7
23	в данном	2	7
24	в нем	28	7
25	ни в	12	7
26	не менее	3	7
27	прежде всего	2	7
28	то же	5	6
29	еще не	4	6
30	с его	1	6
31	себя в	8	6
32	отнюдь не	6	6
33	все же	5	6
34	в своей	10	6
35	тем самым	4	6
36	по своей	1	6
37	в своих	3	6
38	и на	3	5
39	в своем	16	5
40	в то	3	5
41	нового времени	1	5
42	же время	2	5
43	что в	4	5
44	для него	8	5
45	то что	7	5
46	а с	2	5
47	ни к	2	5
48	я в	1	5
49	я и	2	4
50	и то	2	4
51	по отношению	26	4
52	в этой	2	4
53	в основе	5	4
54	потому что	2	4
55	о том	3	4
56	картина мира	1	4
57	одно из	1	4
58	в одном	4	4
59	как бы	9	4
60	не является	1	4
61	мира и	4	4
62	точки зрения	12	4
63	к его	1	4
64	к этому	2	4
65	отношению к	22	4
66	также и	1	3
67	чего не	2	3
68	и ее	2	3
69	столь же	1	3
70	и как	2	3
71	и наконец	1	3
72	все эти	10	3
73	всей своей	2	3
74	он не	6	3
75	не следует	1	3
76	подход к	1	3
77	и может	3	3
78	в другом	3	3
79	его в	5	3
80	это не	10	3
81	соответствии с	2	3
82	жизни но	3	3
83	одного и	1	3
84	в этих	1	3
85	в котором	24	3
86	не в	12	3
87	мире и	1	3
88	могут быть	3	3
89	той или	3	3
90	мысль о	1	3
91	приводит к	1	3
92	в его	40	3
93	только в	16	3
94	субъекта в	1	3
95	и его	17	3
96	уже не	7	3
97	может претендовать	1	3
98	лирический герой	1	3
99	или иной	2	3
100	здесь в	1	3
101	не было	8	3
102	не знает	5	3
103	мира в	6	3
104	в контексте	5	3
105	можно сказать	1	3
106	но это	6	3
107	и того	2	3
108	и все	7	3
109	жизни в	5	3
110	становления и	1	3
111	жизни а	1	3
112	жизни и	8	3
113	того же	1	2
114	и это	12	2
115	той же	1	2
116	я как	1	2
117	место в	5	2
118	совпадает с	1	2
119	говорить о	2	2
120	жизни как	5	2
121	в ней	3	2
122	мы имеем	5	2
123	не нужно	2	2
124	к которой	2	2
125	отношение к	5	2
126	это мир	2	2
127	более чем	1	2
128	в целом	10	2
129	не более	1	2
130	вследствие этого	2	2
131	должна быть	4	2
132	в принципе	2	2
133	не к	1	2
134	этом мире	2	2
135	содержит в	1	2
136	и с	1	2
137	входит в	3	2
138	на почве	1	2
139	этот человек	1	2
140	который по	1	2
141	но уже	1	2
142	должно быть	6	2
143	такой же	1	2
144	все это	10	2
145	действие и	1	2
146	как все	1	2
147	с точки	9	2
148	их в	1	2
149	дело в	2	2
150	между жизнью	1	2
151	чем не	4	2
152	никогда не	5	2
153	жизни не	1	2
154	сводится к	2	2
155	в области	2	2
156	в специальном	1	2
157	жизнью и	1	2
158	для себя	5	2
159	с ее	2	2
160	но при	1	2
161	ни одно	5	2
162	здесь не	3	2
163	в себя	7	2
164	времени и	4	2
165	не с	1	2
166	живет в	1	2
167	отсюда и	3	2
168	в результате	1	2
169	но здесь	3	2
170	основе своей	2	2
171	последних двух	1	2
172	неотделим от	1	2
173	в переживании	1	2
174	между тем	4	2
175	что и	7	2
176	и всякое	1	2
177	который не	1	2
178	в большинстве	1	2
179	наше время	1	2
180	не о	2	2
181	бытия и	10	2
182	момент в	7	2
183	не подлежит	1	2
184	именно в	5	2
185	в соответствии	2	2
186	человеческой жизни	1	2
187	может иметь	2	2
188	вместе с	1	2
189	или иного	3	2
190	я с	1	2
191	и для	9	2
192	а к	1	2
193	а в	4	2
194	с ней	1	2
195	что он	2	2
196	себе самому	1	2
197	все люди	1	2
198	это в	1	2
199	причастности к	1	2
200	себя как	2	1
201	чтобы не	2	1
202	бытия а	3	1
203	самом деле	3	1
204	это и	2	1
205	в чужой	1	1
206	и есть	9	1
207	в первом	1	1
208	можно говорить	1	1
209	менее основательно	1	1
210	проникает в	5	1
211	между ним	1	1
212	к чему	3	1
213	они остаются	1	1
214	и само	1	1
215	мы не	3	1
216	моя жизнь	1	1
217	вопрос о	2	1
218	не была	1	1
219	он как	1	1
220	а для	2	1
221	я не	6	1
222	ему в	2	1
223	в некотором	3	1
224	жизни это	1	1
225	во мне	3	1
226	бы то	2	1
227	в чем	4	1
228	события в	3	1
229	характер и	1	1
230	во всех	11	1
231	тем как	3	1
232	в ее	16	1
233	быть признаны	1	1
234	отдельного человека	1	1
235	но достаточно	1	1
236	так по	1	1
237	конечном счете	1	1
238	самым оно	1	1
239	героиня и	1	1
240	а через	1	1
241	не просто	1	1
242	в истории	1	1
243	вследствие чего	1	1
244	мысли только	1	1
245	ней в	1	1
246	такова же	1	1
247	это отнюдь	1	1
248	хотя и	1	1
249	это область	2	1
250	в этот	1	1
251	видения мира	1	1
252	в самом	1	1
253	а содержанием	1	1
254	себе как	2	1
255	истины и	2	1
256	в которой	1	1
257	ни один	1	1
258	другого как	1	1
259	в нашем	1	1
260	бы не	3	1
261	поэтому и	1	1
262	и пространства	1	1
263	ни одна	2	1
264	и отношения	2	1
265	жизнь как	6	1
266	о возможности	1	1
267	человек не	2	1
268	к выводу	1	1
269	не имеют	1	1
270	задний план	1	1
