1	у нас	2	3
2	все это	1	2
3	в ней	1	2
4	и не	22	2
5	и в	16	1
6	все же	2	1
7	не со	1	1
8	точке зрения	1	1
9	на самом	1	1
10	не только	14	1
11	далеко не	2	1
12	нельзя не	1	1
13	в данном	4	1
14	а не	12	1
15	о свободе	1	1
16	для которой	1	1
17	было бы	2	1
18	и более	1	1
19	и о	1	1
20	эпоху кризиса	1	1
21	прежде всего	3	1
22	его функцией	1	1
23	установка на	2	1
24	точно и	1	1
25	в книге	1	1
26	целиком в	1	1
27	отнюдь не	3	1
28	художественного произведения	2	1
29	и на	2	1
30	так и	9	1
31	из своей	1	1
32	говорить о	1	1
33	и потому	2	1
34	одной из	1	1
35	и ее	2	1
36	не вполне	2	1
37	как будто	4	1
38	словесного творчества	1	1
39	еще не	6	1
40	не было	1	1
41	в значительной	1	1
42	совершенно не	3	1
43	с другой	6	1
44	в своей	7	1
45	его не	1	1
46	значительной степени	1	1
47	до конца	4	1
48	будто бы	1	1
49	вопрос о	2	1
50	в области	3	1
51	за пределы	1	1
52	что в	2	1
53	другой стороны	2	1
