N	2gram	Bakhtin_Pr_4	VeschiIm
1	не есть	1	49
2	не может	19	33
3	не только	14	31
4	может быть	23	29
5	и не	27	28
6	и в	46	26
7	то что	4	24
8	и есть	1	23
9	а не	11	20
10	что я	6	16
11	и следовательно	2	15
12	только в	6	14
13	что она	1	14
14	по себе	7	13
15	и что	3	13
16	все же	4	12
17	что это	1	12
18	но и	12	12
19	в себя	4	12
20	сказать что	2	12
21	и то	1	12
22	было бы	3	12
23	с нею	2	11
24	таким образом	4	11
25	что же	3	11
26	потому что	4	10
27	то же	6	10
28	что такое	2	10
29	уже не	4	10
30	в ней	1	10
31	что мы	2	10
32	как бы	19	10
33	и с	7	9
34	прежде всего	9	9
35	еще и	4	9
36	в том	9	9
37	что не	1	9
38	предполагает что	1	9
39	ни было	1	9
40	в самом	9	9
41	в себе	7	8
42	на то	3	8
43	с ее	3	8
44	ничего не	2	8
45	себя и	3	8
46	и это	3	8
47	но это	6	8
48	и их	3	7
49	смысла и	1	7
50	в этом	16	7
51	как раз	7	7
52	его в	1	7
53	и пр	2	7
54	в то	5	7
55	совершенно не	4	7
56	также и	3	7
57	есть и	2	7
58	если оно	2	7
59	себя в	3	7
60	так как	5	7
61	указывает на	2	7
62	том что	4	7
63	когда мы	1	6
64	одно и	1	6
65	жизни и	5	6
66	точки зрения	11	6
67	отличается от	3	6
68	это есть	1	6
69	с ним	2	6
70	так что	2	6
71	бы и	2	6
72	и только	3	6
73	что в	4	6
74	для него	2	6
75	понимать себя	1	6
76	но если	3	6
77	должно быть	4	6
78	со стороны	1	6
79	она не	3	6
80	в результате	2	6
81	ее не	1	6
82	но в	6	6
83	если мы	5	6
84	можно было	2	6
85	и как	2	6
86	с собою	2	6
87	еще не	7	5
88	должны быть	1	5
89	того же	3	5
90	для этого	2	5
91	и для	3	5
92	для себя	1	5
93	должна быть	2	5
94	не менее	2	5
95	себя с	1	5
96	не в	10	5
97	а в	2	5
98	но не	4	5
99	в ее	1	5
100	это не	5	5
101	что для	1	5
102	и тут	1	5
103	у нас	2	5
104	в отношении	3	5
105	в сущности	7	5
106	она имеет	1	5
107	только и	2	5
108	если бы	3	5
109	одна из	2	5
110	как к	1	5
111	ведь и	5	5
112	и до	3	5
113	на себя	4	5
114	ни на	1	5
115	в свою	1	5
116	тем что	3	4
117	на себе	1	4
118	же время	5	4
119	о том	5	4
120	как и	12	4
121	мы говорим	1	4
122	даже не	1	4
123	на почве	2	4
124	определенным образом	1	4
125	есть или	1	4
126	мы не	4	4
127	то и	2	4
128	во всех	5	4
129	в их	4	4
130	точке зрения	1	4
131	слово и	7	4
132	оно и	2	4
133	же не	1	4
134	и явления	1	4
135	между ними	10	4
136	собственном смысле	1	4
137	нет и	2	4
138	и даже	3	4
139	для всякого	1	4
140	смысле и	1	4
141	в своем	3	4
142	от ее	1	4
143	с этим	2	4
144	и о	3	4
145	и потому	1	4
146	точка зрения	1	4
147	и мы	1	4
148	то это	3	4
149	между собою	1	4
150	что и	3	4
151	однако не	1	4
152	если есть	1	4
153	с точки	9	4
154	быть и	1	4
155	с другой	3	4
156	бытия и	3	4
157	и все	9	4
158	этот вопрос	2	4
159	так чтобы	3	4
160	в данном	2	4
161	две вещи	1	3
162	я в	1	3
163	бы в	3	3
164	вопрос о	2	3
165	в собственном	1	3
166	можно сказать	4	3
167	собою и	1	3
168	на это	1	3
169	а это	1	3
170	так и	4	3
171	себя самого	1	3
172	в жизни	5	3
173	с самим	5	3
174	нужно было	1	3
175	в нем	17	3
176	и вообще	1	3
177	хотя бы	2	3
178	можно только	1	3
179	нисколько не	1	3
180	того чтобы	1	3
181	в своей	3	3
182	в одном	11	3
183	мы находим	5	3
184	ее как	1	3
185	и самое	1	3
186	вместе с	2	3
187	отношение к	3	3
188	отношения к	2	3
189	и притом	1	3
190	в той	3	3
191	но как	1	3
192	к тому	2	3
193	к ней	2	3
194	сама по	2	3
195	и сам	5	3
196	явления как	1	3
197	к себе	6	3
198	тогда когда	1	3
199	себя как	3	3
200	существенного и	1	3
201	да и	4	3
202	только на	3	3
203	один из	1	3
204	а с	1	3
205	никогда не	6	3
206	вопроса о	1	3
207	мы имеем	3	3
208	без всякого	2	3
209	сам по	3	3
210	себе не	1	3
211	к другому	5	3
212	реальности и	1	3
213	значит не	1	3
214	мы видим	1	3
215	даже и	1	3
216	на этом	3	3
217	их в	3	3
218	из того	1	3
219	несмотря на	1	3
220	все это	6	3
221	самом деле	4	3
222	или менее	3	3
223	что он	6	3
224	понимание и	1	3
225	и тогда	1	3
226	более или	3	3
