N	2gram	Medvedev_S_1	RusskieA
1	и в	3	29
2	том что	2	22
3	в том	5	22
4	что в	2	22
5	как бы	2	18
6	может быть	2	13
7	в этом	5	11
8	как и	1	11
9	не только	3	10
10	все это	7	10
11	о том	1	9
12	а в	1	9
13	его в	1	8
14	но и	2	8
15	мы не	1	6
16	еще не	2	6
17	таким образом	2	6
18	для нас	3	6
19	в данном	1	6
20	но не	1	5
21	это не	1	5
22	не может	1	5
23	для этого	1	5
24	и что	2	5
25	то что	2	5
26	то же	2	4
27	в них	1	4
28	далеко не	2	4
29	не в	3	4
30	в виде	1	4
31	именно в	1	4
32	по существу	2	4
33	и о	1	3
34	только тогда	1	3
35	что это	1	3
36	все эти	1	3
37	в этой	1	3
38	что она	1	3
39	главным образом	2	3
40	и по	1	3
41	на первый	1	3
42	в этих	1	3
43	в котором	1	3
44	в таких	1	3
45	должно было	1	3
46	между тем	1	3
47	или даже	2	3
48	тем что	1	3
49	было бы	2	3
50	дерево или	1	3
51	вряд ли	1	2
52	это и	2	2
53	но она	1	2
54	между собой	1	2
55	с одной	1	2
56	очевидно что	2	2
57	нам право	1	2
58	все же	1	2
59	и как	1	2
60	не было	1	2
61	право на	1	2
62	полагает что	1	2
63	на шею	1	2
64	в своей	1	2
65	в то	1	2
66	дело не	2	2
67	никогда не	1	2
68	связи с	1	2
69	что на	1	2
70	все то	1	2
71	когда мы	1	2
72	образом в	1	2
73	с другой	1	2
74	связь между	1	2
75	в него	1	2
76	один из	1	2
77	а с	1	2
78	прежде всего	1	2
79	одной стороны	1	2
80	можно будет	1	2
81	только как	2	2
82	а между	1	1
83	и есть	1	1
84	что эти	1	1
85	этом не	1	1
86	не успела	1	1
87	отнюдь не	1	1
88	в противном	1	1
89	перед нами	1	1
90	и наконец	1	1
91	что без	1	1
92	и куда	1	1
93	только в	2	1
94	что все	1	1
95	на все	1	1
96	из себя	1	1
97	как живой	1	1
98	на основании	1	1
99	из круга	1	1
100	остается в	1	1
101	их на	1	1
102	развития развитие	1	1
103	место в	1	1
104	не от	1	1
105	только для	1	1
106	ничего не	1	1
107	и им	1	1
108	и его	1	1
109	как будто	2	1
110	как только	2	1
111	так и	1	1
112	том как	1	1
113	с ним	1	1
114	настоящее время	1	1
115	может не	1	1
116	и остаются	1	1
117	в его	3	1
118	которая должна	1	1
119	что он	1	1
120	развитие по	1	1
121	входящие в	1	1
122	всяком случае	1	1
123	в конце	2	1
124	это по	1	1
125	нужно было	2	1
126	даже не	1	1
127	и затем	1	1
128	на ней	1	1
129	зависит от	1	1
130	и потому	1	1
131	что личность	1	1
132	в область	1	1
133	и более	1	1
134	быть не	1	1
135	и не	1	1
136	происходит не	1	1
137	она может	2	1
138	он по	1	1
139	в настоящее	1	1
140	тем более	2	1
141	мы должны	1	1
142	или не	1	1
143	им не	2	1
144	в заключение	1	1
145	во всяком	1	1
