N	2gram	Nazirov_Tv_2	EvropaiC
1	таким образом	10	32
2	в том	8	31
3	и в	20	24
4	том что	4	20
5	все эти	4	19
6	не может	7	18
7	то что	3	17
8	может быть	8	15
9	все же	5	15
10	самом деле	2	12
11	до сих	3	12
12	в этом	8	12
13	сих пор	3	12
14	с этим	1	11
15	между тем	3	11
16	все это	6	11
17	во всех	1	10
18	по отношению	3	10
19	культуры и	1	10
20	так и	6	10
21	мы знаем	1	10
22	как бы	11	10
23	отношению к	3	10
24	на то	1	9
25	при этом	8	9
26	как и	6	9
27	в результате	1	9
28	что в	7	9
29	в самом	3	8
30	чем у	1	8
31	знаем что	1	8
32	не в	4	8
33	ясно что	1	8
34	если бы	4	8
35	так же	5	8
36	а между	1	7
37	из этих	1	7
38	в силу	1	7
39	не менее	2	7
40	к тому	1	7
41	о том	5	7
42	и что	2	7
43	что он	6	7
44	но и	8	7
45	и не	9	7
46	из этого	2	7
47	еще не	5	6
48	и на	5	6
49	тогда как	3	6
50	в этой	5	6
51	в мире	5	6
52	в сознании	1	6
53	несмотря на	1	6
54	с ним	3	6
55	что и	1	6
56	только в	2	6
57	так что	2	6
58	так как	3	6
59	с другой	2	6
60	вместе с	3	6
61	отличается от	1	6
62	как на	1	6
63	из всех	1	5
64	столь же	1	5
65	и к	1	5
66	но в	4	5
67	в которой	2	5
68	что это	1	5
69	в целом	6	5
70	в себе	3	5
71	тому же	2	5
72	не только	13	5
73	и если	2	5
74	что все	1	5
75	и с	8	5
76	лишь в	1	5
77	его в	3	5
78	и без	2	5
79	что с	1	5
80	в то	10	5
81	как будто	1	5
82	в пользу	3	5
83	в его	10	5
84	потому что	7	5
85	и их	1	5
86	у него	6	5
87	именно в	6	5
88	другой стороны	2	5
89	и для	1	5
90	и от	4	5
91	к этому	3	5
92	народ в	1	4
93	одним из	3	4
94	в такой	2	4
95	то же	7	4
96	мы уже	1	4
97	между собой	1	4
98	что его	2	4
99	отношение к	1	4
100	хотя и	4	4
101	он не	3	4
102	из них	2	4
103	должно быть	1	4
104	в их	3	4
105	признать что	1	4
106	выше мы	1	4
107	том же	2	4
108	связи с	1	4
109	в дальнейшем	4	4
110	никогда не	11	4
111	на вопрос	1	4
112	выше и	1	4
113	не выше	1	4
114	сильнее чем	1	4
115	и у	2	4
116	не есть	1	4
117	в виде	2	4
118	не так	2	4
119	а потому	1	4
120	в конце	6	4
121	в области	1	4
122	а с	3	4
123	в в	1	4
124	не могут	1	4
125	в течение	1	4
126	самого себя	1	4
127	совершенно не	1	4
128	в таком	3	4
129	как известно	2	3
130	же как	3	3
131	с в	1	3
132	не вполне	1	3
133	во имя	1	3
134	в истории	2	3
135	и наконец	2	3
136	к которой	1	3
137	в нем	3	3
138	народ не	1	3
139	на земле	1	3
140	и по	2	3
141	заключается в	1	3
142	это не	7	3
143	в жизни	1	3
144	в этих	1	3
145	что если	1	3
146	таким же	1	3
147	представление о	7	3
148	даже в	1	3
149	образом в	1	3
150	для нас	1	3
151	а лишь	1	3
152	у нас	2	3
153	что оно	1	3
