N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	41
2	то есть	1	20
3	в этом	14	15
4	как и	5	14
5	и все	7	14
6	то же	5	13
7	все эти	10	13
8	в этой	2	13
9	мы уже	1	12
10	в его	40	12
11	в себе	21	11
12	в том	6	11
13	прежде всего	2	11
14	так и	2	10
15	в то	3	10
16	никто не	1	10
17	все это	10	10
18	в своем	16	9
19	не в	12	9
20	же время	2	9
21	и его	17	9
22	в качестве	2	9
23	и т.п	1	9
24	но и	9	9
25	что в	4	9
26	но в	5	8
27	то что	7	8
28	и от	1	8
29	в нем	28	7
30	вовсе не	7	7
31	как бы	9	7
32	и не	26	7
33	и до	1	6
34	ни в	12	6
35	о том	3	6
36	мы видим	1	6
37	только в	16	6
38	это не	10	6
39	для него	8	6
40	все они	1	6
41	как в	2	5
42	и к	1	5
43	не только	5	5
44	на этом	1	5
45	точки зрения	12	5
46	потому что	2	5
47	всего в	1	5
48	и это	12	5
49	в ней	3	5
50	к нему	12	5
51	что и	7	5
52	вместе с	1	5
53	и для	9	5
54	а в	4	5
55	к этому	2	5
56	в средние	1	4
57	место в	5	4
58	как я	1	4
59	момент в	7	4
60	и на	3	4
61	хотя и	1	4
62	и наконец	1	4
63	та же	2	4
64	что это	3	4
65	он не	6	4
66	но все	5	4
67	и с	1	4
68	должно быть	6	4
69	том что	4	4
70	но он	1	4
71	одна из	1	4
72	ничего не	3	4
73	рядом с	3	4
74	в виду	3	4
75	в последней	1	4
76	и здесь	7	4
77	может быть	45	4
78	было бы	8	4
79	мира в	6	4
80	мира и	4	4
81	средние века	1	4
82	все что	1	4
83	он может	2	3
84	и есть	9	3
85	с точки	9	3
86	проникает в	5	3
87	той же	1	3
88	я не	6	3
89	с ее	2	3
90	во всех	11	3
91	совсем не	2	3
92	его к	2	3
93	от этого	2	3
94	при этом	4	3
95	и по	1	3
96	в мире	6	3
97	его в	5	3
98	несмотря на	1	3
99	в своей	10	3
100	в их	8	3
101	тем самым	4	3
102	не должно	3	3
103	в отношении	1	3
104	не имеет	5	3
105	тем что	3	3
106	как о	1	3
107	мы найдем	1	3
108	свою очередь	1	3
109	связанных с	1	3
110	о нем	4	3
111	что он	2	3
112	поэтому и	1	3
113	и их	6	3
114	в одном	4	3
115	так как	1	3
116	нового времени	1	3
117	не было	8	3
118	ничем не	1	3
119	но есть	2	3
120	для этой	3	3
121	не может	27	3
122	и потому	2	3
123	но этот	1	3
124	в это	2	3
125	такой же	1	3
126	но это	6	3
127	не подлежит	1	3
128	с ними	3	3
129	в свою	3	3
130	не знает	5	3
131	того же	1	3
132	жизни и	8	3
133	пространстве и	1	3
134	и эта	2	3
135	это в	1	3
136	мира его	1	2
137	ту же	1	2
138	также и	1	2
139	мы здесь	2	2
140	и то	2	2
141	на самом	3	2
142	и так	1	2
143	оно было	1	2
144	из всех	1	2
145	пространства и	2	2
146	со всех	1	2
147	в единой	1	2
148	мы не	3	2
149	что между	1	2
150	мир не	1	2
151	в которой	1	2
152	еще не	4	2
153	оно ни	1	2
154	в чем	4	2
155	с его	1	2
156	а следовательно	3	2
157	а только	1	2
158	по отношению	26	2
159	отношение к	5	2
160	не просто	1	2
161	где все	1	2
162	имеем в	2	2
163	значительной степени	1	2
164	что все	1	2
165	и может	3	2
166	это было	2	2
167	с этим	1	2
168	в реальном	1	2
169	мы имеем	5	2
170	которой он	2	2
171	и разнообразие	1	2
172	не мог	1	2
173	что значит	2	2
174	в этих	1	2
175	места в	4	2
176	во второй	1	2
177	и момент	4	2
178	образом и	1	2
179	их в	1	2
180	что есть	2	2
181	его целом	10	2
182	тон его	1	2
183	дело не	2	2
184	дело в	2	2
185	здесь на	1	2
186	и сама	1	2
187	в процессе	2	2
188	разобранный нами	1	2
189	следовательно и	1	2
190	все свои	1	2
191	в области	2	2
192	где она	1	2
193	и времени	1	2
194	к тому	1	2
195	не есть	20	2
196	оно не	2	2
197	должен быть	7	2
198	правда не	1	2
199	всего этого	1	2
200	в себя	7	2
201	картина мира	1	2
202	на том	1	2
203	никогда не	5	2
204	здесь как	1	2
205	особенно в	1	2
206	отсюда и	3	2
207	здесь нет	2	2
208	во все	1	2
209	и реальное	1	2
210	жизнь и	2	2
211	остановимся на	1	2
212	и т.д	2	2
213	другими словами	1	2
214	и мира	1	2
215	в значительной	1	2
216	и во	1	2
217	во всей	4	2
218	еще более	2	2
219	в литературе	1	2
220	того что	3	2
221	и самая	1	2
222	содержится в	1	2
223	тот же	1	2
