N	3gram	Nazirov_Tr_1	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	а между тем	1	2
4	том что он	1	2
5	бы и не	1	2
6	вместо того чтобы	1	2
7	не в силах	2	2
8	в том что	2	2
9	но все же	2	1
10	и теперь еще	1	1
11	к людям в	1	1
12	в этом мире	1	1
13	хотя бы и	1	1
14	и должна быть	1	1
15	все это мы	1	1
16	в конце концов	1	1
17	в xx веке	1	1
18	и в этом	1	1
19	и не случайно	2	1
20	не могут быть	1	1
21	с такой силой	1	1
22	что я не	1	1
23	по сравнению с	1	1
24	так и в	3	1
25	и вместе с	1	1
26	и в образе	1	1
27	после того как	1	1
28	как и в	1	1
29	к личности и	1	1
