N	3gram	Propp_Isto_2	Vvedenie
1	и т д	18	36
2	в том что	5	12
3	о том что	2	12
4	не может быть	2	8
5	тем не менее	1	8
6	до сих пор	6	6
7	т д но	2	5
8	с другой стороны	2	5
9	что иное как	2	4
10	по отношению к	3	4
11	в этом случае	5	4
12	можно было бы	3	4
13	т е в	1	4
14	не только в	4	4
15	так или иначе	1	4
16	не что иное	2	4
17	с одной стороны	3	4
18	с тем что	3	3
19	вместе с тем	5	3
20	но все же	4	3
21	потому что он	2	2
22	до наших дней	1	2
23	в другом месте	2	2
24	и той же	1	2
25	подобно тому как	3	2
26	влечет за собой	1	2
27	точно так же	6	2
28	на задний план	1	2
29	смысле этого слова	1	2
30	и не могут	1	2
31	в связи с	4	2
32	но вместе с	1	2
33	т д все	1	2
34	на вопрос о	1	2
35	есть не что	1	2
36	вовсе не в	1	2
37	к этому времени	1	2
38	в этих случаях	8	2
39	по этому поводу	1	2
40	одной и той	1	2
41	о котором здесь	1	2
42	мы уже знаем	3	2
43	здесь идет речь	1	1
44	и есть то	1	1
45	в подобных случаях	1	1
46	об этом говорилось	1	1
47	он должен быть	1	1
48	мы можем только	1	1
49	как один из	1	1
50	на самом деле	2	1
51	но это только	1	1
52	дело не только	1	1
53	сам по себе	1	1
54	в отличие от	1	1
55	но и в	2	1
56	не сам по	1	1
57	с этим и	1	1
58	только одна сторона	1	1
59	не то что	1	1
60	не похожи на	1	1
61	в зависимости от	1	1
62	уже потому что	1	1
63	так же как	4	1
64	это может быть	1	1
65	раньше чем продолжать	1	1
66	ни к какому	1	1
67	мы имеем в	5	1
68	и то же	1	1
69	котором здесь идет	1	1
70	только в одном	1	1
71	т е с	1	1
72	но уже в	1	1
73	вообще т е	1	1
74	только после того	2	1
75	хотя бы на	1	1
76	это только одна	1	1
77	то это может	1	1
78	представляют собой не	1	1
79	тем что в	1	1
80	потому что они	1	1
81	д все эти	1	1
82	нужно было бы	1	1
83	таким образом мы	1	1
84	бы составить предмет	2	1
85	но дело не	1	1
86	связи с этим	1	1
87	с самого начала	2	1
88	и прежде всего	1	1
89	так как в	2	1
90	не просто как	1	1
91	с этой стороны	1	1
92	после того как	2	1
93	т д и	2	1
94	как одна из	1	1
95	из этих двух	1	1
96	только в этом	1	1
97	соответствии с этим	1	1
98	не в этом	1	1
99	т д для	1	1
