N	2gram	Tiupa_Lite_1	slovoVRo
1	в романе	1	46
2	чужого слова	1	40
3	и в	8	39
4	может быть	13	37
5	и его	4	33
6	то есть	6	26
7	не только	24	24
8	и не	12	22
9	но и	17	21
10	не может	5	20
11	в нем	2	19
12	до конца	1	17
13	в этом	12	16
14	так и	4	15
15	а не	16	14
16	отличие от	5	13
17	как в	5	13
18	в пределах	3	13
19	слова в	1	13
20	во всех	1	12
21	в отличие	5	12
22	вовсе не	1	10
23	к своему	1	9
24	и с	1	9
25	не в	8	9
26	со своим	1	9
27	таким образом	3	8
28	себя в	6	8
29	прежде всего	11	8
30	точки зрения	6	8
31	еще не	4	7
32	с его	5	7
33	при этом	19	7
34	в этих	1	7
35	для него	2	7
36	никогда не	4	7
37	могут быть	2	7
38	как мы	1	7
39	в его	7	7
40	языка как	1	7
41	слово как	1	7
42	и даже	3	7
43	как бы	7	7
44	в сущности	2	6
45	но не	4	6
46	в своем	11	6
47	все же	4	6
48	но в	3	6
49	все эти	2	6
50	так сказать	1	6
51	значительной степени	1	6
52	в них	1	6
53	в слове	2	6
54	как и	6	6
55	она не	1	6
56	в значительной	1	6
57	в большинстве	1	6
58	человек в	1	6
59	жизни и	3	6
60	например в	3	5
61	героя и	1	5
62	и слова	1	5
63	человека в	1	5
64	это не	4	5
65	том что	14	5
66	мышления и	2	5
67	но все	1	5
68	с другой	3	5
69	один из	3	5
70	в том	16	5
71	с одной	2	5
72	уже не	7	5
73	одной стороны	2	5
74	или иной	2	5
75	большинстве случаев	1	5
76	в плане	1	5
77	только в	8	5
78	для нас	1	5
79	от него	1	5
80	и все	1	5
81	в зависимости	1	4
82	и на	1	4
83	по отношению	3	4
84	отношение к	1	4
85	то же	5	4
86	его в	3	4
87	на почве	2	4
88	в отношении	1	4
89	остается вне	1	4
90	не менее	7	4
91	в то	5	4
92	одна из	3	4
93	в основе	3	4
94	же время	5	4
95	зависимости от	1	4
96	для этого	4	4
97	борьба с	1	4
98	наконец в	1	4
99	для всех	1	4
100	и других	1	4
101	так как	1	4
102	особый язык	1	4
103	и др	3	4
104	себя и	1	4
105	xix века	6	4
106	в той	1	4
107	в чужом	4	4
108	а в	3	4
109	отношении к	1	4
110	отношению к	2	4
111	ту же	2	3
112	как это	8	3
113	должна быть	2	3
114	той же	3	3
115	человека и	2	3
116	говорить о	1	3
117	в чем	1	3
118	к новому	1	3
119	перед нами	1	3
120	и как	1	3
121	с их	3	3
122	борьбы с	1	3
123	на этом	2	3
124	материала и	1	3
125	лишь в	4	3
126	с точки	2	3
127	не столько	5	3
128	не была	1	3
129	связи с	6	3
130	этом отношении	2	3
