N	2gram	Potebnia_M_2	Analitik
1	может быть	23	29
2	в том	18	27
3	не может	12	22
4	и не	19	21
5	и в	24	18
6	но и	9	17
7	а не	18	17
8	не только	15	15
9	тогда как	10	14
10	не в	13	14
11	в этом	8	13
12	как и	7	13
13	в его	2	13
14	при этом	13	12
15	том что	8	12
16	в себе	10	11
17	то есть	30	11
18	состоит в	2	11
19	но не	12	10
20	то же	12	9
21	в то	6	9
22	а в	8	9
23	есть не	5	8
24	но в	4	8
25	в той	1	8
26	не есть	6	8
27	значении этого	1	7
28	том чтобы	1	7
29	тем самым	4	7
30	к тому	1	7
31	этого слова	6	7
32	я и	1	6
33	по отношению	2	6
34	отличие от	1	6
35	в самом	4	6
36	это не	3	6
37	далеко не	3	6
38	в отличие	1	6
39	по своей	1	6
40	должен быть	1	6
41	в себя	2	6
42	времени и	1	6
43	же время	2	6
44	только в	11	6
45	то что	20	6
46	прежде всего	7	6
47	в их	1	5
48	и на	8	5
49	и как	6	5
50	в целом	3	5
51	внутренней речи	1	5
52	лишь в	1	5
53	и его	2	5
54	имеет место	2	5
55	о том	5	5
56	и того	6	5
57	между тем	6	5
58	как бы	9	5
59	что в	16	5
60	того же	14	4
61	из того	1	4
62	столь же	5	4
63	все же	5	4
64	тому же	1	4
65	не следует	1	4
66	с другими	5	4
67	не всегда	1	4
68	с точки	1	4
69	большей или	1	4
70	и более	1	4
71	по себе	15	4
72	ни в	1	4
73	могут быть	8	4
74	так и	5	4
75	не с	3	4
76	с ним	5	4
77	в другом	2	4
78	на вопрос	3	4
79	с другой	6	4
80	того что	7	4
81	дело с	1	4
82	уже не	4	4
83	для того	5	4
84	с другим	1	4
85	именно в	1	4
86	себя и	2	4
87	во времени	2	4
88	вместе с	11	4
89	человека к	1	4
90	как предмет	1	4
91	собственно говоря	1	4
92	не более	1	4
93	ни было	3	4
94	или меньшей	1	4
95	и т	6	3
96	одним из	1	3
97	таком случае	2	3
98	мере в	1	3
99	и есть	2	3
100	между двумя	6	3
101	говоря и	1	3
102	место в	4	3
103	бы то	1	3
104	если в	3	3
105	что как	1	3
106	однако не	1	3
107	в нашем	2	3
108	как он	4	3
109	в нем	9	3
110	он не	1	3
111	подобно тому	4	3
112	таким образом	11	3
113	то ни	1	3
114	не будет	1	3
115	бы быть	3	3
116	в ходе	1	3
117	в котором	4	3
118	всякий раз	1	3
119	того чтобы	2	3
120	т п	3	3
121	в таком	4	3
122	не могут	7	3
123	оно может	2	3
124	могла бы	3	3
125	в собственном	2	3
126	если бы	11	3
127	к нему	1	3
128	с его	2	3
129	еще не	4	3
130	с одной	4	3
131	ни с	2	3
132	от себя	2	3
133	никто не	1	3
134	что и	11	3
135	одной стороны	3	3
136	а именно	1	3
137	а с	2	3
138	что не	5	3
139	тому как	4	3
140	быть не	3	3
141	что мы	11	3
142	и все	3	3
143	хотя бы	2	3
144	что он	4	3
145	говоря о	3	2
146	отношения к	2	2
147	самом деле	2	2
148	на самом	2	2
149	он может	1	2
150	той же	3	2
151	а как	1	2
152	на место	1	2
153	как совокупность	2	2
154	и то	3	2
155	и самого	1	2
156	между собой	1	2
157	не все	2	2
158	отношение к	1	2
159	за пределы	2	2
160	что именно	1	2
161	как к	1	2
162	могли бы	2	2
163	его к	1	2
164	в противоположность	1	2
165	то в	1	2
166	в которой	5	2
167	все эти	2	2
168	бы не	5	2
169	из этих	4	2
170	думать что	3	2
171	рассказ о	1	2
172	и до	1	2
173	от которого	1	2
174	не к	1	2
175	из виду	1	2
176	какой бы	1	2
177	и по	2	2
178	на этом	2	2
179	и с	1	2
180	на все	3	2
181	из них	5	2
182	вовсе не	9	2
183	так как	10	2
184	для чего	1	2
185	жизни но	1	2
186	такой же	4	2
187	одного и	6	2
