N	2gram	Bakhtin_fo_2	VelikijI
1	и не	9	20
2	и в	46	16
3	так как	6	9
4	то что	7	9
5	еще не	6	8
6	в истории	4	8
7	от бога	1	8
8	что они	4	7
9	на земле	2	7
10	а не	4	7
11	и потому	2	7
12	человека и	4	6
13	но и	9	5
14	того что	3	5
15	хотя и	3	5
16	в мире	4	5
17	бога и	2	5
18	все это	6	5
19	что есть	1	5
20	как бы	10	5
21	и есть	2	4
22	в образе	4	4
23	говорить о	2	4
24	в его	8	4
25	в этом	22	4
26	что он	3	4
27	потому что	8	4
28	в нем	5	4
29	так и	7	4
30	что все	2	4
31	что не	1	4
32	как и	8	4
33	в котором	4	4
34	в ней	1	4
35	мира от	1	4
36	и все	6	4
37	все что	2	4
38	от этого	2	3
39	этого мира	2	3
40	и что	1	3
41	должна быть	1	3
42	как не	1	3
43	лишь в	2	3
44	в чем	1	3
45	с его	1	3
46	во всех	11	3
47	что и	3	3
48	в том	10	3
49	тот же	3	3
50	но в	10	3
51	бы и	1	3
52	по этому	1	3
53	все эти	5	3
54	и вечной	1	3
55	и они	3	3
56	они в	1	3
57	в конце	2	3
58	их в	4	3
59	в своей	1	3
60	ни в	1	3
61	в них	7	3
62	не было	3	3
63	должно быть	5	3
64	если не	2	3
65	в этих	3	3
66	что во	1	3
67	не в	9	3
68	тому что	1	3
69	но это	2	3
70	не имеет	1	3
71	никогда не	6	3
72	и для	9	3
73	к тому	3	3
74	жизни и	8	3
75	что в	5	3
76	оно не	1	3
77	и это	2	2
78	того чтобы	8	2
79	и то	1	2
80	у людей	1	2
81	но мы	1	2
82	это мы	1	2
83	и сам	1	2
84	и т	14	2
85	мы не	1	2
86	что от	1	2
87	свободной и	1	2
88	в последнем	2	2
89	с ним	4	2
90	вместо того	1	2
91	под этим	1	2
92	мы это	1	2
93	ее и	2	2
94	и во	6	2
95	так для	1	2
96	между тем	1	2
97	высокие горы	1	2
98	нет и	3	2
99	на нас	3	2
100	его к	1	2
101	только в	11	2
102	в себя	2	2
103	ничего и	1	2
104	конечно не	4	2
105	уже не	3	2
106	не только	11	2
107	на этих	1	2
108	превращаются в	1	2
109	для человечества	1	2
110	для него	3	2
111	в прошлом	3	2
112	не могли	3	2
113	вот почему	1	2
114	тем что	3	2
115	это не	2	2
116	т д	3	2
117	прежде всего	14	2
118	все равно	1	2
119	с тем	2	2
120	один из	2	2
121	для человека	1	2
122	для их	1	2
123	и тогда	1	2
124	мира в	3	2
125	когда я	1	2
126	от веры	1	2
127	не могут	1	2
128	над ними	2	2
129	что было	3	2
130	да и	1	2
131	одна из	1	2
132	уже на	1	2
133	так много	1	2
134	почему в	1	2
135	том что	4	2
136	в форме	3	2
137	ее в	3	2
138	до того	2	2
139	людей и	2	2
140	а в	3	2
141	но не	5	2
142	в духе	2	2
143	могут быть	2	2
144	всего в	3	2
145	во всяком	2	2
146	всегда в	1	1
147	к полному	1	1
148	кто бы	1	1
149	эта новая	1	1
150	как мы	6	1
151	в виду	3	1
152	для себя	1	1
153	в ее	1	1
154	и до	2	1
155	роль в	3	1
156	свое место	1	1
157	он всегда	1	1
158	и самое	4	1
159	не имеют	1	1
160	полноту своего	1	1
161	мы будем	3	1
162	то же	8	1
163	их и	1	1
164	земле то	1	1
165	вечное и	1	1
166	и которые	1	1
167	в результате	1	1
168	человеческой природы	2	1
169	по сравнению	1	1
170	что уже	1	1
171	вопрос о	1	1
172	самой жизни	3	1
173	и вообще	1	1
174	природе его	1	1
175	для раскрытия	2	1
176	нас это	3	1
177	находится в	2	1
178	и ее	1	1
179	веке в	1	1
180	не был	2	1
181	же что	1	1
182	в их	3	1
183	и на	7	1
184	он был	2	1
185	людей как	1	1
186	пока они	1	1
187	оно ни	1	1
188	вечной жизни	1	1
189	жизни с	2	1
190	это имеет	1	1
191	все в	2	1
192	что люди	1	1
193	ее к	2	1
194	но как	1	1
195	человек был	1	1
196	если в	2	1
197	менее всего	1	1
198	себе и	1	1
199	бы в	1	1
200	мире и	2	1
201	человеческую жизнь	2	1
202	это самое	1	1
203	и ложь	1	1
204	его на	1	1
205	как в	4	1
206	в свободные	1	1
207	в своем	5	1
208	потребность в	1	1
209	я был	1	1
210	все же	6	1
211	в двух	2	1
212	целая философия	1	1
213	мы видим	2	1
214	и каким	1	1
215	было что	1	1
216	мы увидим	1	1
217	ли он	1	1
218	они принесли	1	1
219	в разные	1	1
220	и так	2	1
221	он дал	1	1
222	в самом	1	1
223	у них	2	1
224	говорил с	1	1
225	в которой	1	1
226	бы ни	1	1
227	их не	2	1
228	законам природы	1	1
229	в этой	2	1
230	им в	1	1
231	уже в	4	1
232	жизнь как	2	1
233	то и	1	1
234	под землей	2	1
235	достоинства и	1	1
236	в виде	1	1
237	но прежде	1	1
238	и стало	1	1
239	и путем	1	1
240	перестает быть	2	1
241	и вот	2	1
242	вовсе не	13	1
243	не для	2	1
244	отношение к	3	1
245	те что	1	1
246	но что	1	1
247	бытия и	1	1
248	у него	9	1
249	этом мире	6	1
250	и по	3	1
251	на этом	2	1
252	он так	2	1
253	и вместе	1	1
254	ее на	1	1
255	человека в	6	1
256	для того	8	1
257	им по	1	1
258	в состоянии	1	1
259	их во	1	1
260	не были	2	1
261	и с	6	1
262	с другой	2	1
263	есть не	1	1
264	миру и	1	1
265	близок к	1	1
266	лишь на	1	1
267	еще и	1	1
268	бытия в	1	1
269	весь мир	3	1
270	и тем	1	1
271	души и	1	1
272	них и	1	1
273	формах в	1	1
274	мы скажем	1	1
275	ничем не	1	1
276	человеческой жизни	4	1
277	и уже	1	1
278	для чего	2	1
279	его по	1	1
280	было для	1	1
281	жизни но	2	1
282	о чем	3	1
283	и было	4	1
284	него не	1	1
285	стороны в	1	1
286	какая же	1	1
287	действии и	1	1
288	вместе с	9	1
289	так же	2	1
290	как это	2	1
291	за которым	1	1
292	то есть	10	1
293	что всякий	1	1
294	вот к	1	1
295	мы в	1	1
296	их к	1	1
297	у нас	2	1
298	в которых	3	1
299	в изображении	1	1
300	сравнению с	1	1
301	для всякого	1	1
302	с ложью	1	1
303	что тот	1	1
304	времени с	1	1
305	в одном	7	1
306	а потом	2	1
307	в тот	1	1
308	человек с	1	1
309	это значит	3	1
310	и великого	2	1
311	мира с	1	1
312	этот мир	2	1
313	и всех	2	1
314	и смерти	1	1
315	этого слова	1	1
316	с этой	4	1
317	раз и	1	1
318	нет никакого	1	1
319	любви и	1	1
320	какие бы	1	1
321	и сказал	1	1
322	как можно	3	1
323	ни для	2	1
324	есть прежде	1	1
325	к ним	2	1
326	и новой	1	1
327	на котором	2	1
328	на два	1	1
329	не по	1	1
330	людей от	1	1
331	указать на	1	1
332	должна раскрыться	1	1
333	миру в	1	1
334	и от	2	1
335	в день	2	1
