N	3gram	Berdyaev_N_1	Dialekti
1	это значит что	1	8
2	в том что	1	6
3	о том что	1	4
4	с другой стороны	2	4
5	в том смысле	1	4
6	сами по себе	1	3
7	как будто бы	1	3
8	то время как	1	3
9	не может быть	4	3
10	в то время	1	3
11	не значит что	3	3
12	религия не может	1	2
13	как это было	1	2
14	до сих пор	1	2
15	в зависимости от	1	2
16	может быть только	1	2
17	не только в	1	2
18	и должно быть	2	2
19	не могут быть	1	2
20	это не значит	2	2
21	во всяком случае	1	2
22	не должно быть	1	2
23	та или иная	1	2
24	что в нем	2	2
25	я думаю что	1	1
26	что она не	1	1
27	мы говорим о	1	1
28	только потому что	1	1
29	но это значит	1	1
30	равно как и	2	1
31	нет у него	1	1
32	это время как	1	1
33	имея в виду	1	1
34	и до сих	1	1
35	подобно тому как	3	1
36	в этом смысле	2	1
37	в том и	2	1
38	мы приближаемся к	1	1
39	же как и	1	1
40	не было и	1	1
41	и не может	1	1
42	но и в	1	1
43	я уже говорил	1	1
44	из глубины и	1	1
45	час тоски невыразимой	1	1
46	со всех сторон	3	1
47	вместе с тем	2	1
48	так же как	2	1
49	не в том	1	1
50	с одной стороны	2	1
51	в каком-то новом	1	1
52	в нем не	1	1
53	я не могу	1	1
54	когда мы говорим	2	1
55	не только потому	1	1
56	и пр в	1	1
57	и вместе с	1	1
58	это и есть	1	1
59	все в мире	1	1
60	вопрос о том	2	1
61	которые могут быть	1	1
62	есть прежде всего	1	1
63	она не может	2	1
