N	3gram	Bakhtin_Fr_4	slovoVRo
1	то же время	8	12
2	в то же	8	12
3	в узком смысле	2	10
4	с точки зрения	2	8
5	в большинстве случаев	5	6
6	и в то	4	5
7	зрения на мир	1	4
8	как мы сказали	1	4
9	с одной стороны	2	4
10	с другой стороны	3	4
11	но в то	1	4
12	быть тем чем	1	3
13	точки зрения на	1	3
14	в данном случае	1	3
15	более или менее	3	3
16	таким образом в	3	3
17	так и в	1	3
18	мы уже сказали	1	2
19	до сих пор	1	2
20	и не может	1	2
21	до известной степени	1	2
22	одно и то	1	2
23	то время как	1	2
24	не только в	2	2
25	в то время	2	2
26	и то же	1	2
27	на том же	1	2
28	то же слово	1	2
29	в свою очередь	1	2
30	как мы уже	5	2
31	они вводятся как	1	1
32	а следовательно и	1	1
33	да и в	1	1
34	в нем до	1	1
35	и специальное значение	1	1
36	не значит конечно	1	1
37	значит конечно что	1	1
38	дело в том	1	1
39	но это не	1	1
40	и так сказать	1	1
41	это отношение к	1	1
42	и это отношение	1	1
43	его контексте и	1	1
44	той же задаче	2	1
45	в его контексте	1	1
46	в отличие от	1	1
47	не видят и	1	1
48	но и в	3	1
49	на самом же	2	1
50	в этом отношении	1	1
51	хотя может быть	1	1
52	с этими словами	1	1
53	со всех сторон	1	1
54	может быть и	1	1
55	в сущности только	1	1
56	тем чем они	1	1
57	своему смыслу и	1	1
58	всех этих форм	1	1
59	одной из них	1	1
60	и в них	1	1
61	в первый раз	1	1
62	мы не знаем	1	1
63	и все его	1	1
64	а также и	1	1
65	и на его	1	1
66	к одному из	1	1
67	нем до конца	1	1
68	перед нами в	1	1
69	это не значит	1	1
70	на смертном одре	1	1
71	и др все	1	1
72	создают вокруг себя	1	1
73	не может быть	1	1
74	с ее методами	1	1
75	до наших дней	2	1
76	и до наших	1	1
77	здесь перед нами	1	1
78	о том что	2	1
79	они не только	1	1
80	большинстве случаев все	1	1
81	узком смысле слова	1	1
82	то есть в	2	1
83	с самого начала	3	1
84	включает в себя	1	1
85	между ними и	1	1
86	можно сказать что	1	1
87	и в самых	1	1
88	мы видим что	1	1
89	и по своей	2	1
90	конечно не только	1	1
91	тех или иных	1	1
92	чем они были	1	1
93	самом же деле	2	1
94	для того чтобы	3	1
95	в том что	1	1
96	и в плане	1	1
97	случаев все эти	1	1
98	неразрывно связанные с	1	1
99	гл xviii здесь	1	1
100	как мы видели	2	1
