N	2gram	Bakhtin_sl_1	Russkaja
1	не может	14	22
2	и не	16	19
3	в том	3	17
4	в этом	12	17
5	и в	41	14
6	с другом	2	14
7	друг с	2	14
8	то же	14	11
9	точки зрения	16	11
10	таким образом	9	11
11	в то	14	10
12	же время	12	10
13	но и	16	10
14	в себе	3	9
15	не только	16	9
16	том что	2	9
17	с точки	8	9
18	может быть	14	9
19	во всяком	7	9
20	того чтобы	1	8
21	прежде всего	8	8
22	как на	1	8
23	и если	1	7
24	и с	4	7
25	в данном	3	7
26	к тому	3	7
27	о том	3	7
28	в своем	3	6
29	и к	5	6
30	если бы	1	6
31	все это	5	6
32	и для	4	6
33	для того	2	6
34	всяком случае	5	6
35	для него	3	6
36	на самом	2	6
37	а между	2	5
38	и на	14	5
39	между собой	2	5
40	во всех	17	5
41	на то	1	5
42	в нем	30	5
43	при этом	6	5
44	он не	3	5
45	он должен	1	5
46	было бы	3	5
47	в своей	7	5
48	никогда не	3	5
49	потому что	2	5
50	между тем	2	5
51	а потому	1	5
52	и только	1	5
53	только в	6	5
54	хотя бы	3	5
55	конечно не	3	5
56	в последние	2	5
57	или иной	9	5
58	до сих	2	5
59	себя и	1	5
60	по существу	3	5
61	сих пор	2	5
62	а в	6	5
63	и то	2	4
64	смотреть на	1	4
65	бы то	1	4
66	но не	2	4
67	себя в	9	4
68	все же	7	4
69	более или	3	4
70	не в	7	4
71	в этой	1	4
72	то ни	1	4
73	его в	3	4
74	как и	4	4
75	или менее	3	4
76	в их	4	4
77	точку зрения	3	4
78	во всем	1	4
79	а лишь	1	4
80	от того	1	4
81	не могут	3	4
82	приводит к	1	4
83	можно было	2	4
84	в его	13	4
85	так как	3	4
86	со стороны	1	4
87	вместе с	1	4
88	как бы	12	4
89	жизни и	1	4
90	все что	1	4
91	и т	28	3
92	то в	2	3
93	еще не	4	3
94	из этих	3	3
95	что они	2	3
96	в самом	5	3
97	на том	2	3
98	и по	2	3
99	в другом	2	3
100	лишь в	4	3
101	для них	2	3
102	о которых	1	3
103	несмотря на	1	3
104	должно быть	2	3
105	всех этих	4	3
106	но если	1	3
107	таким же	1	3
108	мы говорили	1	3
109	одна из	2	3
110	связи с	2	3
111	в сознании	2	3
112	точке зрения	2	3
113	той или	9	3
114	что все	2	3
115	данном случае	3	3
116	может только	1	3
117	что может	1	3
118	для этого	1	3
119	сводится к	1	3
120	может не	8	3
121	в вопросах	1	3
122	в значительной	1	3
123	и во	3	3
124	что и	1	3
125	а следовательно	1	3
126	в лучшем	2	3
127	того что	3	3
128	одной из	3	3
129	в качестве	3	3
130	в большинстве	10	3
131	в виде	2	3
132	из них	3	3
133	себя от	2	3
134	друг друга	3	3
135	именно в	3	3
136	что для	1	3
137	не было	3	3
138	ко всем	1	3
139	и потому	4	3
140	да и	1	3
141	этом случае	2	3
142	лучшем случае	2	3
143	или в	8	3
144	о котором	1	3
145	ибо в	1	3
146	все они	7	3
147	не есть	2	3
148	из этого	3	3
149	себя как	1	2
150	от этой	2	2
151	бы для	1	2
152	к данному	1	2
153	и есть	1	2
154	из всех	1	2
155	приводят к	1	2
156	но она	1	2
157	но даже	1	2
158	полное и	1	2
159	в ней	4	2
160	в таком	1	2
161	время в	1	2
162	там и	1	2
163	именно на	1	2
164	не просто	1	2
165	с этим	3	2
166	целый ряд	1	2
167	и наконец	4	2
168	но в	8	2
169	все эти	9	2
170	и тот	1	2
171	другом случае	2	2
172	и те	2	2
173	не к	1	2
174	мы уже	2	2
175	того или	2	2
176	на почве	4	2
177	и тем	2	2
178	ведь в	1	2
179	одному из	2	2
180	этого не	1	2
181	нисколько не	2	2
182	в этих	2	2
183	котором идет	1	2
184	могут не	2	2
185	в котором	2	2
186	место в	1	2
187	друг другу	2	2
188	и более	1	2
189	том и	2	2
190	том же	4	2
191	тому что	2	2
192	она не	3	2
193	для нас	2	2
194	у него	3	2
195	к такому	1	2
196	следовательно и	3	2
197	людей и	1	2
198	отличается от	1	2
199	будучи по	2	2
200	россию и	1	2
201	и о	2	2
202	культуры и	1	2
203	это только	1	2
204	и что	1	2
205	от него	1	2
206	к нему	5	2
207	быть и	4	2
208	сделать это	1	2
209	совершенно не	2	2
210	бы ни	3	2
211	так что	2	2
212	уже не	2	2
213	только на	2	2
214	в начале	1	2
215	его и	3	2
216	ни в	1	2
217	только с	1	2
218	к той	1	2
219	в других	3	2
220	и даже	6	2
221	а с	2	2
222	а не	15	2
223	большинстве случаев	6	2
224	на эту	1	2
225	в частности	2	2
226	так же	2	2
227	в меру	1	2
228	в течение	1	2
229	или иного	2	2
230	есть и	1	2
231	но это	1	2
232	и от	4	2
233	в результате	3	2
234	с ним	7	2
235	отношении к	6	2
236	бы его	2	2
237	на это	1	2
238	пути к	1	2
239	не должны	2	1
240	должен быть	1	1
241	того же	6	1
242	он может	2	1
243	силы и	1	1
244	тех же	1	1
245	к своей	2	1
246	всякое иное	1	1
247	исходят из	1	1
248	ту же	4	1
249	противном случае	1	1
250	с таким	1	1
251	в зависимости	3	1
252	также и	3	1
253	есть не	1	1
254	от всякой	3	1
255	мы не	2	1
256	же как	2	1
257	и ничего	1	1
258	неизбежно приводит	1	1
259	же то	1	1
260	самостоятельность и	1	1
261	в каждый	5	1
262	в сущности	13	1
263	это отношение	2	1
264	они были	2	1
265	без всякого	1	1
266	с отказом	1	1
267	стоят на	1	1
268	он был	1	1
269	не был	1	1
270	столь же	2	1
271	подходе к	1	1
272	к этому	2	1
273	но как	1	1
274	а только	1	1
275	точка зрения	8	1
276	в общем	1	1
277	отказом от	1	1
278	человек может	1	1
279	которые не	1	1
280	в истории	3	1
281	в одной	1	1
282	данный момент	4	1
283	которой они	1	1
284	по которому	1	1
285	в противном	1	1
286	перед нами	4	1
287	что по	1	1
288	от этого	2	1
289	не признают	1	1
290	еще на	1	1
291	в которой	4	1
292	бы не	1	1
293	сущности и	1	1
294	выражение в	3	1
295	быть как	1	1
296	то и	1	1
297	только один	1	1
298	вследствие этого	1	1
299	углубляют его	1	1
300	вообще не	3	1
301	на его	8	1
302	как оно	3	1
303	не могла	2	1
304	выражается в	1	1
305	тем не	1	1
306	время и	2	1
307	отказа от	1	1
308	от которого	1	1
309	которой на	1	1
310	они в	2	1
311	к одному	1	1
312	политического деятеля	1	1
313	тоже нет	1	1
314	войти в	2	1
315	языком и	1	1
316	же за	1	1
317	его можно	1	1
318	значительной степени	1	1
319	подход к	1	1
320	могла бы	1	1
321	может создать	1	1
322	то есть	26	1
323	или даже	2	1
324	всех областях	1	1
325	входит в	4	1
326	заключается в	1	1
327	те или	3	1
328	не умеет	1	1
329	с другими	5	1
330	это не	6	1
331	чаще всего	1	1
332	в жизни	1	1
333	этого слова	1	1
334	но вся	1	1
335	исторический момент	2	1
336	бы невозможным	1	1
337	всегда и	1	1
338	жизни но	2	1
339	как сказано	3	1
340	нет и	1	1
341	в один	1	1
342	и того	1	1
343	привело к	1	1
344	от своего	1	1
345	может лишь	2	1
346	и без	1	1
347	от чисто	2	1
348	наиболее полное	1	1
349	не столько	1	1
350	он принимает	1	1
351	в которых	1	1
352	может сделать	1	1
353	он весь	2	1
354	для всякого	1	1
355	быта и	1	1
356	для данного	1	1
357	по крайней	1	1
358	и эти	2	1
359	ни было	2	1
360	образованием и	1	1
361	ним в	1	1
362	противоречат друг	1	1
363	вовсе не	7	1
364	даже в	2	1
365	же мы	1	1
366	и вся	1	1
367	не менее	1	1
368	до известной	2	1
369	самого начала	1	1
370	и проч	2	1
371	дело в	1	1
372	ее с	1	1
373	на себе	1	1
374	и форм	2	1
375	в основе	5	1
376	он еще	1	1
377	образом в	3	1
378	но только	1	1
379	только не	1	1
380	ними не	1	1
381	того и	1	1
382	самого предмета	3	1
383	возможно и	1	1
384	преимущественно в	4	1
385	в разных	3	1
386	с одним	1	1
387	явление в	2	1
388	соотношения между	1	1
389	этом отношении	1	1
390	или иных	1	1
391	областях жизни	1	1
392	исходить из	1	1
393	стороны и	1	1
394	в духе	2	1
395	есть только	1	1
396	могут быть	19	1
397	человека в	1	1
398	как только	3	1
399	слова но	1	1
400	всего в	1	1
401	все попытки	1	1
402	поколение в	1	1
403	и это	1	1
404	оно может	2	1
405	как мы	8	1
406	но по	2	1
407	с ее	4	1
408	свою очередь	2	1
409	и единственный	3	1
410	в ее	2	1
411	не могло	3	1
412	языка и	12	1
413	в себя	1	1
414	с самого	1	1
415	степени и	1	1
416	роль в	2	1
417	понимание и	1	1
418	так и	11	1
419	те же	2	1
420	его жизни	1	1
421	собой в	1	1
422	из одного	2	1
423	полное слияние	1	1
424	тем чем	3	1
425	существенных особенностей	1	1
426	движения и	1	1
427	представителей и	1	1
428	эта точка	1	1
429	язык и	10	1
430	одного из	2	1
431	можно сказать	2	1
432	там в	1	1
433	в различных	1	1
434	с другой	5	1
435	по их	1	1
436	борьба с	1	1
437	от них	1	1
438	переходит в	3	1
439	крайней мере	1	1
440	может иметь	1	1
441	самостоятельно и	1	1
442	такой человек	1	1
443	и следует	3	1
444	на будущее	1	1
445	оставаясь в	2	1
446	по своей	1	1
447	один из	4	1
448	оно и	4	1
449	работы по	1	1
450	с ними	3	1
451	зрения в	1	1
452	к чисто	1	1
453	они могут	7	1
454	никак нельзя	1	1
455	же он	1	1
456	же и	2	1
457	требует такого	1	1
458	в сторону	1	1
459	и у	2	1
460	если мы	2	1
461	и других	3	1
462	конечно нет	1	1
463	к своим	1	1
464	в действительном	1	1
465	и их	1	1
466	в известной	2	1
467	свою точку	1	1
468	словом на	1	1
469	к ним	1	1
470	случае не	1	1
471	не вступать	1	1
472	другом в	1	1
473	то у	1	1
474	ближайшим образом	1	1
475	в очень	1	1
476	которые как	1	1
477	с общим	1	1
478	в свои	1	1
479	за ними	1	1
480	влияние на	1	1
481	главное и	1	1
482	по своим	6	1
483	и прежде	1	1
484	что не	1	1
485	а главное	1	1
486	быть тем	3	1
487	бы друг	1	1
488	а на	2	1
489	был в	1	1
490	на этот	1	1
491	которых мы	1	1
492	до конца	12	1
493	ничем не	1	1
494	не на	5	1
495	однако и	1	1
496	с которым	2	1
497	из области	1	1
498	ближе к	1	1
499	в руках	1	1
500	связь с	2	1
501	разные виды	1	1
502	о себе	1	1
503	эта идея	1	1
504	в самой	1	1
505	играют в	1	1
506	как та	1	1
507	только эта	1	1
508	по своему	2	1
509	которые являются	2	1
510	в чужих	3	1
511	культурой в	1	1
512	не видят	2	1
513	это его	1	1
514	в состоянии	1	1
515	быть не	1	1
516	каждый данный	5	1
517	с этой	3	1
518	и некоторые	1	1
519	между прочим	1	1
520	с элементами	1	1
521	нем самом	1	1
522	с большой	1	1
523	тех или	1	1
