N	2gram	Bakhtin_Fr_2	RusskieA
1	и в	49	29
2	том что	4	22
3	в том	3	22
4	что в	2	22
5	как бы	11	18
6	и другие	2	14
7	так как	6	13
8	может быть	5	13
9	во время	12	12
10	там же	2	12
11	в этом	15	11
12	как и	11	11
13	одна из	4	11
14	не только	17	10
15	и с	6	10
16	все это	9	10
17	о том	3	9
18	а в	4	9
19	его в	1	8
20	или на	1	8
21	но и	13	8
22	ее в	2	8
23	как в	1	7
24	мы видели	3	7
25	в день	3	7
26	мы имеем	1	6
27	еще не	2	6
28	и на	17	6
29	при этом	5	6
30	таким образом	7	6
31	того чтобы	2	6
32	на голову	1	6
33	в обряде	2	6
34	для нас	1	6
35	для того	1	6
36	с тем	1	6
37	вместе с	2	6
38	этом случае	1	6
39	же в	3	6
40	но не	5	5
41	но в	4	5
42	на земле	3	5
43	это не	1	5
44	не может	7	5
45	представление о	1	5
46	потому что	1	5
47	для этого	1	5
48	будто бы	1	5
49	то что	6	5
50	с ней	1	5
51	к этому	1	5
52	то же	7	4
53	на них	1	4
54	видели что	1	4
55	что по	1	4
56	их в	3	4
57	том же	1	4
58	а затем	3	4
59	в них	13	4
60	далеко не	3	4
61	становятся в	1	4
62	не в	1	4
63	тогда когда	1	4
64	как объяснить	1	4
65	к нему	3	4
66	так что	1	4
67	в виде	1	4
68	из них	3	4
69	именно в	6	4
70	а не	1	4
71	о чем	3	4
72	так же	2	4
73	по существу	2	4
74	и все	3	4
75	ставили в	1	4
76	в году	13	3
77	и о	4	3
78	в xix	3	3
79	в ее	3	3
80	только тогда	1	3
81	все эти	7	3
82	в этой	10	3
83	главным образом	1	3
84	подобно тому	2	3
85	и по	1	3
86	на этом	1	3
87	в народе	1	3
88	и других	3	3
89	должен был	2	3
90	не всегда	1	3
91	в эту	5	3
92	в этих	4	3
93	в котором	1	3
94	не будем	1	3
95	но он	6	3
96	и под	3	3
97	она не	1	3
98	и смех	4	3
99	новый год	2	3
100	и после	2	3
101	такие же	1	3
102	как мы	7	3
103	должно было	1	3
104	во всех	6	3
105	в свете	1	3
106	того что	1	3
107	что здесь	1	3
108	как например	1	3
109	в качестве	2	3
110	связь с	3	3
111	за ним	1	3
112	связаны с	2	3
113	тем что	4	3
114	что для	3	3
115	до конца	2	3
116	в честь	1	3
117	пишет в	1	3
118	тому как	2	3
119	и там	1	3
120	и от	1	3
121	на новый	2	3
122	было бы	3	3
123	но если	1	3
124	вряд ли	2	2
125	одним из	2	2
126	мы здесь	2	2
127	и то	1	2
128	на самом	2	2
129	это и	2	2
130	иванов день	1	2
131	но она	1	2
132	видеть как	1	2
133	не был	3	2
134	особую силу	1	2
135	здесь имеем	1	2
136	с одной	3	2
137	иногда и	1	2
138	все же	7	2
139	а и	1	2
140	и как	1	2
141	не было	4	2
142	к числу	2	2
143	в руках	1	2
144	них как	1	2
145	та же	2	2
146	в которой	1	2
147	из этих	5	2
148	ряд других	1	2
149	том чтобы	1	2
150	и обрядов	2	2
151	людей и	1	2
152	в образе	1	2
153	здесь мы	1	2
154	связанные с	2	2
155	об этом	1	2
156	и иногда	1	2
157	что один	1	2
158	для них	2	2
159	старого года	1	2
160	в церкви	1	2
161	можно больше	1	2
162	и еще	2	2
163	так в	3	2
164	в своей	5	2
165	в их	2	2
166	должны были	1	2
167	силу и	1	2
168	была не	1	2
169	не менее	1	2
170	а иногда	1	2
171	как можно	1	2
172	в то	6	2
173	того как	2	2
174	с элементами	1	2
175	когда они	1	2
176	и смеха	1	2
177	никогда не	5	2
178	к ней	2	2
179	во всем	3	2
180	связи с	2	2
181	смехом и	1	2
182	говорит о	1	2
183	должен быть	1	2
184	в виду	3	2
185	смерти в	1	2
186	можно было	3	2
187	еще в	2	2
188	жизнь и	2	2
189	образом в	1	2
