N	2gram	Bakhtin_fo_2	Poddanst
1	не только	11	17
2	и в	46	14
3	и не	9	12
4	в этом	22	10
5	в отношении	2	10
6	в качестве	3	9
7	но в	10	9
8	то же	8	9
9	в том	10	9
10	в пределах	5	8
11	только в	11	7
12	в то	5	7
13	же время	4	7
14	в ней	1	6
15	было бы	2	6
16	но и	9	6
17	в смысле	5	6
18	в которых	3	5
19	с другой	2	5
20	может быть	7	5
21	и пр	2	5
22	не в	9	5
23	и о	2	5
24	если бы	1	4
25	а также	3	4
26	в своем	5	4
27	и к	2	4
28	как бы	10	4
29	том что	4	4
30	не может	2	4
31	и потому	2	4
32	в котором	4	4
33	по себе	2	4
34	что в	5	4
35	же в	4	4
36	а в	3	4
37	то что	7	4
38	и т	14	3
39	мы не	1	3
40	сводится к	1	3
41	в порядке	1	3
42	между тем	1	3
43	это не	2	3
44	экономического и	1	3
45	хотя и	3	3
46	и как	3	3
47	тот же	3	3
48	с одной	2	3
49	в себе	4	3
50	в нем	5	3
51	сами по	2	3
52	для того	8	3
53	прежде всего	14	3
54	одной стороны	1	3
55	с тем	2	3
56	с точки	8	3
57	но не	5	3
58	наряду с	2	3
59	могут быть	2	3
60	потому что	8	3
61	точки зрения	10	3
62	и это	2	2
63	отношения к	4	2
64	например в	1	2
65	значительной мере	1	2
66	в ее	1	2
67	и есть	2	2
68	в мире	4	2
69	было в	1	2
70	есть не	1	2
71	которую мы	1	2
72	по сравнению	1	2
73	есть нечто	1	2
74	но к	1	2
75	никак не	1	2
76	время в	1	2
77	в значительной	1	2
78	во всех	11	2
79	говорить о	2	2
80	если в	2	2
81	в общем	1	2
82	отнюдь не	4	2
83	с этим	5	2
84	того что	3	2
85	xiii в	1	2
86	бы ни	1	2
87	есть в	1	2
88	и других	2	2
89	в его	8	2
90	из них	8	2
91	в виде	1	2
92	и вот	2	2
93	и с	6	2
94	точек зрения	1	2
95	именно в	2	2
96	iii в	1	2
97	мира с	1	2
98	и тем	1	2
99	в них	7	2
100	не было	3	2
101	а не	4	2
102	в ряду	4	2
103	должно быть	5	2
104	не столько	1	2
105	реальность и	1	2
106	друг другу	2	2
107	в тот	1	2
108	все это	6	2
109	между прочим	1	2
110	на этих	1	2
111	одна из	1	2
112	она ни	3	2
113	да и	1	2
114	в полной	1	2
115	еще более	4	2
116	тем более	3	2
117	в частности	5	2
118	взгляда на	1	2
119	так называемые	1	2
120	как на	2	2
121	том числе	3	2
122	которых не	1	1
123	с формами	2	1
124	также и	4	1
125	с другом	4	1
126	но чтобы	1	1
127	и то	1	1
128	на основе	3	1
129	в позднем	1	1
130	тем же	2	1
131	и этим	1	1
132	в себя	2	1
133	культуры и	1	1
134	так было	1	1
135	по преимуществу	1	1
136	к смерти	4	1
137	они стремятся	1	1
138	должна быть	1	1
139	был и	1	1
140	и ясный	1	1
141	те же	6	1
142	особенно в	2	1
143	в борьбе	3	1
144	и среди	1	1
145	еще в	1	1
146	что уже	1	1
147	в эпоху	4	1
148	находится в	2	1
149	с европой	1	1
150	с ее	1	1
151	и ее	1	1
152	и здесь	1	1
153	видение и	1	1
154	подчеркнуть что	1	1
155	может не	1	1
156	и что	1	1
157	еще не	6	1
158	и на	7	1
159	он был	2	1
160	и силы	1	1
161	оно ни	1	1
162	в различных	1	1
163	с его	1	1
164	вопросу о	4	1
165	это имеет	1	1
166	бы она	2	1
167	ибо то	1	1
168	с трудом	1	1
169	борьбе с	2	1
170	что и	3	1
171	отличие от	1	1
172	в стадии	1	1
173	есть с	1	1
174	в истории	4	1
175	тем больше	1	1
176	которой в	1	1
177	что во	1	1
178	не входят	1	1
179	тех пор	1	1
180	все же	6	1
181	культурного развития	1	1
182	мы видим	2	1
183	жизни она	2	1
184	должен быть	1	1
185	тяготеет к	1	1
186	в самом	1	1
187	в условиях	1	1
188	но как	1	1
189	в которой	1	1
190	во времени	3	1
191	бы и	1	1
192	и культурного	1	1
193	их не	2	1
194	формы в	1	1
195	вопрос об	1	1
196	из этих	4	1
197	тот или	1	1
198	именно на	1	1
199	себя в	1	1
200	отчасти и	3	1
201	в глубины	1	1
202	оказывается в	1	1
203	только один	2	1
204	церкви св	1	1
205	уже в	4	1
206	в большинстве	3	1
207	и положительной	1	1
208	в наших	1	1
209	в европейском	1	1
210	не могла	2	1
211	веры и	1	1
212	т д	3	1
213	было с	1	1
214	мир в	4	1
215	есть как	1	1
216	при виде	3	1
217	не как	1	1
218	богов и	1	1
219	к ним	2	1
220	чтобы в	1	1
221	мы можем	1	1
222	чтобы это	1	1
223	самосознание и	1	1
224	и только	2	1
225	каждый из	2	1
226	широко и	1	1
227	и по	3	1
228	дело идет	2	1
229	прежде чем	3	1
230	с собой	1	1
231	одно и	1	1
232	от нее	1	1
233	в каждом	1	1
234	а затем	3	1
